"","1","2","3","4","5"
"Probability of clinician DLT",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD",0.5004,0.2332,0.133,0.0434,0.009
"Probability of clinician DLT1",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy1",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD1",0.6656,0.1732,0.0608,0.0136,0.0034
"Probability of clinician DLT2",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy2",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD2",0.2232,0.4158,0.2034,0.0656,0.0116
"Probability of clinician DLT3",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy3",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD3",0.2542,0.5114,0.1296,0.0304,0.0046
"Probability of clinician DLT4",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy4",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD4",0.0602,0.2888,0.4448,0.1036,0.0222
"Probability of clinician DLT5",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy5",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD5",0.0718,0.295,0.4808,0.0682,0.0094
"Probability of clinician DLT6",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy6",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD6",0.021,0.1298,0.3916,0.3172,0.0616
"Probability of clinician DLT7",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy7",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD7",0.0214,0.1344,0.408,0.314,0.0418
"Probability of clinician DLT8",0.05,0.1,0.12,0.15,0.2
"Probability of efficacy8",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD8",0.0086,0.0696,0.2762,0.3652,0.2006
"Probability of clinician DLT9",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy9",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD9",0.4832,0.219,0.112,0.0264,0.0044
"Probability of clinician DLT10",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy10",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD10",0.6222,0.159,0.0586,0.0106,8e-04
"Probability of clinician DLT11",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy11",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD11",0.2218,0.4046,0.172,0.0386,0.0058
"Probability of clinician DLT12",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy12",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD12",0.2548,0.46,0.1146,0.0202,0.0026
"Probability of clinician DLT13",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy13",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD13",0.0766,0.315,0.3674,0.069,0.0106
"Probability of clinician DLT14",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy14",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD14",0.089,0.3324,0.379,0.0396,0.0048
"Probability of clinician DLT15",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy15",0.25,0.38,0.5,0.63,0.63
"Probability recommended as MTD15",0.0356,0.1866,0.393,0.2084,0.0244
"Probability of clinician DLT16",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy16",0.25,0.38,0.5,0.63,0.5
"Probability recommended as MTD16",0.036,0.1926,0.3994,0.2044,0.0144
"Probability of clinician DLT17",0.1,0.12,0.15,0.2,0.25
"Probability of efficacy17",0.13,0.25,0.38,0.5,0.63
"Probability recommended as MTD17",0.0216,0.1402,0.3426,0.261,0.0822
"Probability of clinician DLT18",0.12,0.15,0.2,0.25,0.4
"Probability of efficacy18",0.63,0.63,0.63,0.63,0.63
"Probability recommended as MTD18",0.4802,0.2064,0.078,0.0138,4e-04
"Probability of clinician DLT19",0.12,0.15,0.2,0.25,0.4
"Probability of efficacy19",0.63,0.5,0.38,0.25,0.13
"Probability recommended as MTD19",0.5746,0.1494,0.0482,0.0054,2e-04
"Probability of clinician DLT20",0.12,0.15,0.2,0.25,0.4
"Probability of efficacy20",0.5,0.63,0.63,0.63,0.63
"Probability recommended as MTD20",0.24,0.39,0.1212,0.0172,8e-04
"Probability of clinician DLT21",0.12,0.15,0.2,0.25,0.4
"Probability of efficacy21",0.5,0.63,0.5,0.38,0.25
"Probability recommended as MTD21",0.2614,0.4236,0.0808,0.0098,6e-04
"Probability of clinician DLT22",0.12,0.15,0.2,0.25,0.4
"Probability of efficacy22",0.38,0.5,0.63,0.63,0.63
"Probability recommended as MTD22",0.1134,0.361,0.2616,0.0344,0.001
"Probability of clinician DLT23",0.12,0.15,0.2,0.25,0.4
"Probability of efficacy23",0.38,0.5,0.63,0.5,0.38
"Probability recommended as MTD23",0.112,0.3694,0.279,0.0224,8e-04
