"","V1","V2","V3","V4","V5"
"1",0,2,0,0,0
"2",1,6,0,0,0
"3",5,1,0,1,0
"4",4,0,0,2,0
"5",0,1,3,0,0
"6",0,3,0,0,0
"7",0,3,1,0,1
"8",2,5,0,0,0
"9",1,0,0,0,0
"10",0,0,5,2,0
"11",5,0,0,2,0
"12",1,1,0,0,0
"13",0,0,9,0,0
"14",5,1,0,0,0
"15",0,1,1,3,0
"16",6,1,1,0,0
"17",4,0,3,0,0
"18",3,0,0,0,0
"19",2,0,1,0,0
"20",0,0,2,0,0
"21",7,0,0,0,0
"22",1,0,0,0,0
"23",1,0,0,0,0
"24",1,4,0,0,0
"25",3,0,1,0,0
"26",0,4,0,1,0
"27",1,1,2,1,0
"28",2,5,1,0,0
"29",1,0,1,0,0
"30",0,0,7,0,0
"31",6,0,0,0,0
"32",0,0,6,0,0
"33",2,0,0,0,0
"34",0,2,0,0,0
"35",1,0,0,0,0
"36",1,5,1,0,0
"37",1,1,0,0,0
"38",4,0,1,0,0
"39",0,6,0,0,1
"40",1,4,1,0,0
"41",1,1,4,0,0
"42",3,0,1,0,0
"43",0,2,0,0,0
"44",1,2,1,0,0
"45",1,1,1,0,0
"46",1,0,1,0,0
"47",8,1,1,0,0
"48",2,0,0,0,1
"49",1,0,6,0,0
"50",1,0,0,0,0
"51",4,0,2,0,0
"52",0,5,0,2,0
"53",5,0,1,0,0
"54",0,4,0,0,0
"55",1,0,0,0,0
"56",0,5,1,0,0
"57",7,0,1,0,0
"58",1,4,0,0,0
"59",2,1,0,0,0
"60",6,0,1,0,0
"61",0,4,0,0,0
"62",0,3,0,0,0
"63",0,2,0,0,1
"64",1,4,1,0,1
"65",0,3,0,1,2
"66",2,4,0,1,0
"67",0,1,6,0,0
"68",1,3,2,0,0
"69",0,2,1,0,0
"70",0,5,0,0,2
"71",0,7,1,0,0
"72",0,0,5,0,0
"73",1,0,1,0,0
"74",0,8,0,0,0
"75",1,0,1,0,0
"76",2,1,1,0,0
"77",2,3,0,0,0
"78",0,0,2,0,0
"79",4,1,0,0,3
"80",2,3,1,0,0
"81",1,0,0,0,0
"82",1,1,0,0,0
"83",7,1,0,0,0
"84",1,6,1,0,0
"85",2,0,1,0,0
"86",3,0,0,0,0
"87",3,0,0,1,0
"88",1,1,0,0,0
"89",1,0,0,0,0
"90",0,4,1,0,0
"91",1,0,0,0,0
"92",1,5,0,1,0
"93",2,6,0,0,0
"94",0,7,0,0,0
"95",1,4,0,0,0
"96",4,0,0,0,0
"97",4,4,0,0,0
"98",1,3,2,1,0
"99",1,0,0,0,0
"100",0,9,0,0,0
"101",0,5,0,0,0
"102",1,1,0,0,0
"103",0,2,0,0,1
"104",2,1,0,0,0
"105",1,0,1,0,0
"106",4,1,0,0,0
"107",0,3,3,0,0
"108",3,0,2,0,0
"109",0,0,2,0,0
"110",0,0,2,1,0
"111",1,5,0,0,0
"112",0,0,3,0,0
"113",0,1,1,0,0
"114",0,2,0,0,0
"115",2,1,0,0,0
"116",0,6,0,0,2
"117",1,1,0,0,0
"118",1,0,0,0,0
"119",0,0,2,0,0
"120",3,0,1,0,0
"121",0,2,0,0,0
"122",0,1,8,0,0
"123",0,5,0,1,0
"124",2,0,1,0,0
"125",1,1,4,1,0
"126",0,0,2,0,0
"127",2,0,1,0,0
"128",0,3,0,2,0
"129",0,0,5,0,0
"130",0,3,0,0,0
"131",1,1,0,0,0
"132",6,0,0,0,0
"133",1,0,4,0,0
"134",1,0,1,0,0
"135",5,0,0,0,0
"136",0,0,2,0,0
"137",0,3,0,0,0
"138",1,1,0,0,0
"139",5,0,0,0,1
"140",0,5,0,1,0
"141",0,2,0,0,0
"142",0,3,0,0,0
"143",0,6,1,0,0
"144",1,0,6,0,1
"145",0,3,2,0,0
"146",3,2,0,0,0
"147",0,5,0,0,2
"148",0,6,1,0,0
"149",1,0,0,1,0
"150",0,3,2,1,1
"151",0,1,6,0,2
"152",4,0,1,0,0
"153",8,0,0,1,0
"154",1,0,4,1,0
"155",3,1,1,0,0
"156",0,0,4,1,3
"157",6,3,0,1,0
"158",5,0,2,0,0
"159",6,1,0,1,0
"160",1,5,1,0,0
"161",1,0,0,0,0
"162",0,0,0,10,0
"163",1,4,1,0,0
"164",1,0,0,0,0
"165",0,0,0,5,0
"166",5,1,0,0,0
"167",2,0,0,0,0
"168",1,4,1,0,0
"169",0,2,8,0,0
"170",2,0,1,0,1
"171",0,6,0,0,0
"172",2,5,1,0,0
"173",0,6,3,0,0
"174",4,0,2,0,0
"175",5,3,0,0,0
"176",0,7,1,0,0
"177",1,1,1,0,0
"178",0,0,6,0,0
"179",3,0,1,0,0
"180",0,0,4,0,1
"181",1,0,0,1,0
"182",0,0,7,0,2
"183",2,1,0,0,0
"184",2,4,0,2,0
"185",6,0,1,0,0
"186",3,0,0,3,0
"187",3,0,2,0,0
"188",0,2,5,0,0
"189",1,3,1,0,0
"190",0,3,0,0,1
"191",0,4,0,1,0
"192",2,4,0,0,0
"193",0,3,0,0,0
"194",0,0,5,2,0
"195",3,4,0,0,1
"196",4,0,0,0,1
"197",5,1,0,0,0
"198",4,3,0,0,0
"199",4,0,0,1,0
"200",0,1,3,0,0
"201",0,1,0,0,0
"202",1,2,1,0,0
"203",1,2,0,0,0
"204",0,3,0,0,0
"205",3,1,1,0,0
"206",0,0,2,0,0
"207",1,0,0,0,0
"208",7,0,1,0,0
"209",0,3,0,0,0
"210",2,5,1,0,0
"211",1,4,1,0,0
"212",3,3,1,0,0
"213",0,7,2,0,0
"214",4,0,0,2,1
"215",0,0,7,1,0
"216",0,1,0,0,0
"217",0,0,2,4,0
"218",3,2,0,1,0
"219",1,0,0,0,2
"220",1,0,0,0,0
"221",0,5,0,0,0
"222",1,1,0,0,0
"223",1,0,0,0,0
"224",3,8,0,0,0
"225",1,0,0,0,0
"226",0,2,0,0,0
"227",0,2,0,0,0
"228",0,0,0,5,2
"229",4,8,1,0,0
"230",1,2,0,0,0
"231",1,5,1,0,0
"232",1,1,0,1,0
"233",0,4,1,0,0
"234",1,0,0,0,0
"235",1,5,1,0,0
"236",0,5,0,2,0
"237",3,1,1,0,1
"238",0,0,1,0,0
"239",0,1,0,0,1
"240",0,5,1,0,0
"241",2,0,0,3,0
"242",2,0,1,0,0
"243",0,5,0,0,3
"244",0,6,0,0,0
"245",2,2,1,0,0
"246",0,5,3,0,0
"247",7,0,1,0,0
"248",0,0,2,0,0
"249",0,0,2,0,0
"250",0,0,6,0,0
"251",0,2,0,0,0
"252",0,0,7,0,0
"253",1,6,0,0,0
"254",2,3,0,1,0
"255",0,5,0,0,0
"256",0,5,0,0,1
"257",0,3,0,0,0
"258",1,1,0,0,0
"259",1,0,0,0,0
"260",1,1,0,0,0
"261",0,3,0,0,2
"262",0,4,0,0,1
"263",0,5,0,0,0
"264",0,4,0,0,0
"265",2,2,1,1,0
"266",0,0,3,1,0
"267",1,0,0,0,0
"268",0,2,0,0,0
"269",0,6,1,0,0
"270",1,1,0,0,0
"271",1,5,1,0,0
"272",2,1,2,1,0
"273",0,0,2,0,0
"274",0,2,1,0,0
"275",4,1,0,0,0
"276",2,0,1,0,0
"277",4,1,1,0,0
"278",0,0,0,7,0
"279",0,3,2,0,0
"280",0,1,0,0,0
"281",4,2,1,0,0
"282",0,4,0,0,0
"283",1,0,1,0,0
"284",0,1,6,0,0
"285",2,1,0,0,0
"286",0,0,2,0,0
"287",0,2,0,0,0
"288",4,0,1,0,0
"289",3,1,0,0,0
"290",0,3,0,0,2
"291",0,2,1,0,0
"292",2,1,0,0,0
"293",3,0,1,0,0
"294",1,0,0,1,0
"295",4,2,0,0,0
"296",1,2,0,0,0
