"","V1","V2","V3","V4","V5"
"1",6,30,3,0,0
"2",15,24,0,0,0
"3",30,6,0,3,0
"4",30,3,3,3,0
"5",12,6,21,0,0
"6",0,30,3,3,3
"7",3,18,15,0,3
"8",15,24,0,0,0
"9",3,0,0,0,0
"10",3,0,33,3,0
"11",36,0,0,3,0
"12",3,3,0,0,0
"13",3,6,30,0,0
"14",27,9,0,3,0
"15",12,6,9,12,0
"16",33,3,3,0,0
"17",30,3,6,0,0
"18",36,3,0,0,0
"19",6,0,3,0,0
"20",0,0,3,0,0
"21",30,0,3,6,0
"22",3,0,0,0,0
"23",3,0,0,0,0
"24",9,24,6,0,0
"25",30,6,3,0,0
"26",12,24,0,3,0
"27",18,12,6,3,0
"28",15,18,6,0,0
"29",33,3,3,0,0
"30",3,6,30,0,0
"31",30,3,6,0,0
"32",6,3,30,0,0
"33",3,3,0,0,0
"34",3,33,0,3,0
"35",3,0,0,0,0
"36",9,27,3,0,0
"37",3,3,0,0,0
"38",36,0,3,0,0
"39",0,36,0,0,3
"40",3,30,6,0,0
"41",9,15,15,0,0
"42",36,0,3,0,0
"43",0,3,0,0,0
"44",6,30,3,0,0
"45",30,6,3,0,0
"46",21,9,9,0,0
"47",27,6,6,0,0
"48",27,6,3,0,3
"49",3,0,33,3,0
"50",3,0,0,0,0
"51",30,3,6,0,0
"52",3,27,3,6,0
"53",36,0,3,0,0
"54",3,30,6,0,0
"55",3,0,0,0,0
"56",6,30,3,0,0
"57",36,0,3,0,0
"58",9,30,0,0,0
"59",30,9,0,0,0
"60",36,0,3,0,0
"61",0,36,3,0,0
"62",0,33,6,0,0
"63",0,36,0,0,3
"64",3,27,6,0,3
"65",0,27,6,3,3
"66",3,27,3,6,0
"67",3,6,27,3,0
"68",9,24,6,0,0
"69",0,3,3,0,0
"70",0,21,12,3,3
"71",3,30,6,0,0
"72",3,3,33,0,0
"73",27,0,12,0,0
"74",12,24,3,0,0
"75",36,0,3,0,0
"76",30,6,3,0,0
"77",30,6,3,0,0
"78",0,0,3,0,0
"79",30,3,3,0,3
"80",6,27,6,0,0
"81",3,0,0,0,0
"82",3,3,0,0,0
"83",36,3,0,0,0
"84",6,27,6,0,0
"85",6,0,3,0,0
"86",30,3,0,6,0
"87",27,3,3,6,0
"88",3,3,0,0,0
"89",3,0,0,0,0
"90",6,30,3,0,0
"91",3,0,0,0,0
"92",12,21,3,3,0
"93",18,21,0,0,0
"94",9,30,0,0,0
"95",3,36,0,0,0
"96",39,0,0,0,0
"97",30,9,0,0,0
"98",15,15,6,3,0
"99",3,0,0,0,0
"100",6,33,0,0,0
"101",3,30,3,3,0
"102",3,3,0,0,0
"103",0,33,3,0,3
"104",30,3,3,3,0
"105",36,0,3,0,0
"106",30,9,0,0,0
"107",6,24,9,0,0
"108",33,3,3,0,0
"109",0,0,3,0,0
"110",3,9,24,3,0
"111",9,27,3,0,0
"112",3,6,27,3,0
"113",3,15,21,0,0
"114",0,3,0,0,0
"115",3,3,0,0,0
"116",0,36,0,0,3
"117",3,3,0,0,0
"118",33,0,3,3,0
"119",0,0,3,0,0
"120",33,3,3,0,0
"121",0,3,0,0,0
"122",3,12,24,0,0
"123",0,33,3,3,0
"124",6,0,3,0,0
"125",6,18,12,3,0
"126",0,0,3,0,0
"127",3,0,3,0,0
"128",0,30,3,6,0
"129",3,3,33,0,0
"130",0,36,0,0,3
"131",3,3,0,0,0
"132",30,0,6,3,0
"133",3,6,30,0,0
"134",33,3,3,0,0
"135",36,3,0,0,0
"136",0,0,3,0,0
"137",3,33,0,0,3
"138",3,3,0,0,0
"139",30,3,3,0,3
"140",3,30,3,3,0
"141",0,3,0,0,0
"142",3,33,0,3,0
"143",0,33,6,0,0
"144",3,9,24,0,3
"145",3,30,6,0,0
