"","V1","V2","V3","V4","V5"
"1",1,3,12,0,0
"2",5,3,6,0,0
"3",6,9,0,0,0
"4",0,0,0,0,0
"5",3,1,0,0,0
"6",0,11,5,0,0
"7",2,10,2,0,0
"8",4,12,0,0,0
"9",0,0,17,3,0
"10",0,0,0,0,0
"11",0,15,0,2,0
"12",0,1,0,0,0
"13",1,0,0,0,0
"14",1,0,0,0,0
"15",2,3,11,0,0
"16",0,13,4,0,0
"17",4,5,5,3,2
"18",6,1,1,0,0
"19",0,10,1,2,0
"20",1,0,2,0,0
"21",2,10,1,0,0
"22",1,0,0,0,0
"23",3,3,9,0,0
"24",6,2,0,0,0
"25",6,1,3,0,0
"26",1,7,7,1,2
"27",0,19,1,0,0
"28",1,6,8,2,0
"29",0,3,8,0,1
"30",3,4,1,0,0
"31",1,8,2,0,2
"32",0,0,2,0,0
"33",0,15,1,0,0
"34",0,0,1,0,0
"35",5,4,3,0,0
"36",1,1,12,0,0
"37",2,8,4,0,0
"38",1,3,15,0,0
"39",3,5,6,2,0
"40",0,2,0,0,0
"41",2,4,10,2,0
"42",0,0,2,0,0
"43",0,1,0,0,0
"44",0,2,11,1,0
"45",0,6,11,0,0
"46",0,1,12,6,0
"47",0,1,0,0,0
"48",9,3,3,0,0
"49",0,2,19,0,0
"50",0,0,18,3,0
"51",7,6,2,0,0
"52",0,2,16,5,0
"53",5,1,0,1,0
"54",7,3,0,0,0
"55",0,10,1,2,0
"56",2,4,12,3,0
"57",3,12,1,0,0
"58",0,12,1,0,0
"59",0,1,15,1,0
"60",1,1,0,0,0
"61",3,8,1,0,0
"62",0,1,2,0,0
"63",2,15,0,2,0
"64",1,8,8,0,2
"65",1,1,0,0,0
"66",5,3,9,0,0
"67",1,5,13,0,0
"68",4,8,0,0,0
"69",1,0,2,15,0
"70",1,0,5,18,0
"71",0,0,2,0,0
"72",0,0,0,0,0
"73",0,3,9,7,0
"74",5,7,0,3,0
"75",12,0,0,0,0
"76",3,0,14,0,3
"77",4,9,2,0,0
"78",2,0,2,0,0
"79",1,4,11,2,2
"80",0,1,0,0,0
"81",4,5,2,0,0
"82",0,11,0,0,0
"83",5,4,3,2,0
"84",7,5,0,0,0
"85",1,10,4,0,0
"86",5,8,0,0,1
"87",0,11,4,2,0
"88",2,13,0,2,0
"89",4,8,1,0,0
"90",0,1,21,1,0
"91",0,0,2,0,0
"92",2,10,0,0,0
"93",4,8,0,3,0
"94",1,0,2,0,0
"95",0,5,10,2,2
"96",4,7,0,0,0
"97",2,8,9,0,0
"98",1,0,0,0,0
"99",2,0,0,0,0
"100",5,2,1,0,0
"101",8,8,0,0,0
"102",2,10,2,0,0
"103",3,14,3,0,0
"104",0,1,0,0,0
"105",1,9,6,0,0
"106",0,3,13,1,1
"107",2,13,2,0,0
"108",0,0,16,5,0
"109",7,4,1,0,0
