"","V1","V2","V3","V4","V5"
"1",3,27,9,0,0
"2",12,18,6,0,3
"3",27,6,6,0,0
"4",3,18,18,0,0
"5",6,30,3,0,0
"6",9,24,6,0,0
"7",0,3,3,15,18
"8",33,3,3,0,0
"9",6,27,3,3,0
"10",3,33,3,0,0
"11",9,24,6,0,0
"12",3,0,0,0,0
"13",6,0,0,12,21
"14",0,0,3,0,0
"15",27,3,6,3,0
"16",0,6,27,6,0
"17",3,33,3,0,0
"18",18,21,0,0,0
"19",30,0,6,0,3
"20",6,30,3,0,0
"21",6,30,0,3,0
"22",3,24,12,0,0
"23",6,30,3,0,0
"24",33,6,0,0,0
"25",3,21,9,6,0
"26",6,27,6,0,0
"27",0,3,3,30,3
"28",21,3,15,0,0
"29",0,0,33,3,3
"30",3,18,6,12,0
"31",33,0,3,3,0
"32",3,9,24,3,0
"33",3,18,18,0,0
"34",0,18,18,3,0
"35",3,3,21,12,0
"36",27,3,6,3,0
"37",3,3,0,0,0
"38",6,27,3,0,3
"39",36,3,0,0,0
"40",3,30,0,3,3
"41",3,36,0,0,0
"42",3,0,3,33,0
"43",30,9,0,0,0
"44",6,0,6,27,0
"45",0,3,33,0,3
"46",12,27,0,0,0
"47",30,6,0,3,0
"48",0,33,6,0,0
"49",3,0,33,3,0
"50",3,15,18,0,3
"51",6,0,15,18,0
"52",3,21,12,3,0
"53",9,27,0,3,0
"54",0,12,24,0,3
"55",3,3,33,0,0
"56",0,0,30,3,6
"57",6,21,12,0,0
"58",0,9,27,0,3
"59",6,0,33,0,0
"60",9,21,9,0,0
"61",6,30,3,0,0
"62",0,3,9,6,21
"63",0,3,30,6,0
"64",0,3,36,0,0
"65",0,30,9,0,0
"66",6,24,6,3,0
"67",3,33,3,0,0
"68",0,6,27,0,6
"69",33,0,6,0,0
"70",0,3,0,0,0
"71",0,3,3,30,3
"72",0,0,3,0,0
"73",36,0,3,0,0
"74",12,24,3,0,0
"75",15,18,6,0,0
"76",6,30,3,0,0
"77",3,0,33,3,0
"78",36,3,0,0,0
"79",6,9,21,3,0
"80",0,9,30,0,0
"81",3,0,0,0,0
"82",33,3,0,3,0
"83",33,3,3,0,0
"84",9,27,3,0,0
"85",3,6,3,27,0
"86",3,30,6,0,0
"87",12,21,3,3,0
"88",3,0,0,0,0
"89",6,0,12,21,0
"90",3,6,9,18,3
"91",6,30,3,0,0
"92",33,3,3,0,0
"93",30,9,0,0,0
"94",24,3,3,9,0
"95",3,0,0,0,0
"96",0,6,24,9,0
"97",9,30,0,0,0
"98",30,6,3,0,0
"99",24,6,6,3,0
"100",12,27,0,0,0
"101",0,30,0,6,3
"102",15,18,6,0,0
"103",0,0,3,0,0
"104",9,18,6,3,3
"105",0,0,33,3,3
"106",3,15,21,0,0
"107",3,15,9,12,0
"108",0,6,33,0,0
"109",3,0,0,0,0
"110",21,9,3,3,3
"111",9,24,6,0,0
"112",3,3,6,24,3
"113",6,0,3,0,0
"114",24,9,3,0,3
"115",12,15,9,0,3
"116",3,30,3,3,0
"117",21,15,3,0,0
"118",6,30,3,0,0
"119",24,9,3,0,3
"120",3,12,24,0,0
"121",3,12,24,0,0
"122",0,6,30,0,3
"123",0,3,6,6,24
"124",0,0,3,0,0
"125",3,30,0,6,0
"126",3,21,6,9,0
"127",12,24,3,0,0
"128",6,0,33,0,0
"129",9,30,0,0,0
"130",3,0,27,6,3
"131",36,3,0,0,0
"132",30,3,3,0,3
"133",27,6,6,0,0
"134",3,18,6,3,9
"135",6,33,0,0,0
"136",3,24,9,3,0
"137",3,0,3,15,18
"138",3,18,18,0,0
"139",3,6,30,0,0
"140",6,3,30,0,0
"141",9,9,18,0,3
"142",0,3,6,15,15
"143",30,3,0,0,6
"144",9,27,3,0,0
"145",6,0,24,6,3
"146",24,12,0,3,0
"147",33,0,6,0,0
"148",0,0,3,21,15
"149",33,6,0,0,0
"150",0,0,3,0,0
"151",33,6,0,0,0
"152",9,21,9,0,0
"153",0,0,6,24,9
"154",0,6,9,21,3
"155",0,3,3,0,0
"156",9,3,21,3,3
"157",6,30,3,0,0
"158",0,6,6,27,0
