"","V1","V2","V3","V4","V5"
"1",0,0,1,8,0
"2",0,0,2,0,0
"3",2,4,0,0,0
"4",1,0,0,0,0
"5",3,0,0,2,0
"6",1,0,0,6,0
"7",0,0,3,1,0
"8",1,0,0,0,0
"9",0,2,3,3,0
"10",2,1,0,0,0
"11",2,1,0,0,0
"12",0,5,4,0,0
"13",2,2,1,0,3
"14",1,0,0,0,0
"15",2,5,3,0,0
"16",5,3,2,0,0
"17",0,1,1,1,0
"18",1,1,0,0,0
"19",0,2,2,0,0
"20",0,4,2,0,0
"21",2,1,0,0,0
"22",7,2,1,0,0
"23",3,2,1,0,0
"24",1,4,3,0,0
"25",0,1,4,0,0
"26",0,4,0,2,0
"27",2,1,1,0,0
"28",1,8,0,1,0
"29",0,0,7,0,0
"30",0,0,5,2,0
"31",1,2,0,0,0
"32",0,0,4,4,0
"33",0,0,7,0,0
"34",1,2,0,1,0
"35",1,4,2,0,0
"36",4,1,1,0,0
"37",0,3,3,0,0
"38",1,2,4,0,0
"39",1,0,0,0,0
"40",1,1,5,0,1
"41",1,3,1,0,0
"42",0,3,5,0,0
"43",1,0,5,0,0
"44",1,1,1,0,0
"45",2,1,1,0,0
"46",0,0,4,5,0
"47",4,0,0,0,0
"48",0,1,7,0,0
"49",2,4,1,0,0
"50",3,0,1,0,0
"51",0,7,2,0,0
"52",0,5,3,0,0
"53",0,3,2,0,0
"54",0,0,1,4,0
"55",0,6,0,1,0
"56",0,0,5,0,0
"57",0,0,2,0,4
"58",0,0,3,2,1
"59",0,1,7,0,0
"60",4,0,0,0,0
"61",0,0,4,0,0
"62",0,3,2,0,0
"63",2,3,0,0,0
"64",0,3,5,0,0
"65",0,1,4,0,0
"66",2,0,0,0,0
"67",2,0,1,0,0
"68",1,3,5,0,0
"69",1,0,3,0,0
"70",2,4,0,0,0
"71",2,4,0,0,0
"72",0,6,0,0,0
"73",1,0,0,0,0
"74",0,4,2,0,0
"75",4,2,0,0,0
"76",0,0,7,2,0
"77",1,4,1,0,0
"78",0,4,1,0,0
"79",0,9,0,0,0
"80",6,0,1,0,0
"81",0,4,3,0,0
"82",4,4,0,2,0
"83",0,0,6,2,0
"84",2,3,0,0,0
"85",2,3,0,1,0
"86",0,0,2,0,0
"87",0,0,5,3,1
"88",4,2,0,0,1
"89",0,5,2,0,0
"90",3,0,0,0,0
"91",1,7,0,0,0
"92",0,5,1,0,0
"93",3,4,0,2,0
"94",1,0,0,0,0
"95",1,1,5,0,1
"96",1,0,0,0,0
"97",0,0,8,0,0
"98",0,3,5,0,0
"99",0,5,0,2,0
"100",0,0,7,0,0
"101",1,0,2,1,1
"102",1,4,0,2,0
"103",0,1,7,3,0
"104",0,0,9,0,0
"105",0,1,2,2,0
"106",0,6,0,2,0
"107",0,2,4,0,0
"108",0,9,1,0,0
"109",2,2,1,0,0
"110",0,2,3,0,0
"111",7,1,1,0,0
"112",0,4,1,0,0
"113",0,0,0,3,0
"114",0,1,2,0,3
"115",1,4,5,0,0
"116",0,0,5,4,0
"117",0,1,6,0,0
"118",0,4,3,1,0
"119",2,4,0,0,1
"120",0,0,4,0,0
"121",0,1,0,0,0
"122",0,4,0,1,0
"123",0,2,1,0,0
"124",1,0,0,0,0
"125",0,6,1,0,0
