"","V1","V2","V3","V4","V5"
"1",1,0,6,18,0
"2",0,0,2,0,0
"3",8,10,0,0,0
"4",0,0,0,0,0
"5",13,8,0,2,0
"6",0,3,6,15,0
"7",1,2,21,2,0
"8",1,0,0,0,0
"9",0,8,7,4,0
"10",1,2,0,0,0
"11",1,1,0,0,0
"12",1,10,9,0,0
"13",5,10,3,0,2
"14",1,0,0,0,0
"15",9,5,4,0,0
"16",8,5,3,0,0
"17",3,11,2,1,0
"18",2,2,0,0,0
"19",1,3,19,0,0
"20",1,10,2,0,0
"21",1,1,0,0,0
"22",11,2,1,0,0
"23",8,10,2,0,0
"24",3,6,6,0,0
"25",1,7,11,2,2
"26",1,12,2,3,0
"27",6,13,3,0,0
"28",1,13,3,2,0
"29",2,0,22,1,0
"30",1,0,24,2,0
"31",3,2,0,0,0
"32",1,0,9,15,0
"33",2,0,22,0,0
"34",2,15,0,0,0
"35",6,9,4,0,0
"36",12,4,2,0,0
"37",0,12,8,0,0
"38",1,8,7,0,0
"39",0,0,0,0,0
"40",0,12,12,0,2
"41",2,14,1,0,0
"42",1,13,7,0,0
"43",1,2,15,3,0
"44",6,4,10,0,0
"45",13,6,4,0,0
"46",0,2,11,13,0
"47",13,2,1,0,0
"48",1,8,14,0,0
"49",4,13,1,0,0
"50",14,1,2,0,0
"51",4,15,4,0,0
"52",5,11,6,0,0
"53",1,17,0,0,0
"54",1,2,3,19,0
"55",2,15,0,1,0
"56",0,3,27,0,0
"57",1,1,18,0,4
"58",0,0,24,1,2
"59",0,6,18,0,0
"60",17,1,0,0,0
"61",2,2,19,0,0
"62",2,11,3,0,0
"63",3,14,0,0,0
"64",4,12,12,0,0
"65",4,3,19,0,0
"66",0,0,0,0,0
"67",2,0,1,0,0
"68",5,2,12,0,0
"69",2,2,21,0,0
"70",7,10,0,0,0
"71",2,15,3,0,0
"72",1,16,0,0,0
"73",2,0,0,0,0
"74",1,14,7,0,0
"75",16,3,0,0,0
"76",0,2,13,2,0
"77",3,18,1,0,0
"78",0,16,1,0,0
"79",0,18,6,0,0
"80",12,0,0,0,0
"81",2,13,5,0,0
"82",9,6,0,0,0
"83",2,0,23,2,0
"84",2,19,0,0,0
"85",3,15,0,1,0
"86",0,0,2,0,0
"87",1,1,14,4,3
"88",9,6,2,0,0
"89",1,15,5,0,0
"90",9,1,0,0,0
"91",8,10,0,0,0
"92",1,14,3,1,0
"93",5,5,2,3,0
"94",1,0,0,0,0
"95",3,2,14,0,1
"96",3,0,0,0,0
"97",1,0,19,0,0
"98",1,9,10,0,0
"99",2,21,0,2,0
"100",2,1,17,0,0
"101",9,1,3,4,2
"102",6,11,0,3,0
"103",0,6,12,6,0
"104",0,2,21,0,0
"105",1,3,20,2,0
"106",2,20,0,1,0
"107",1,8,11,0,0
"108",0,14,2,0,0
"109",13,4,2,0,0
"110",1,15,9,0,0
"111",16,0,1,0,0
"112",1,13,2,0,0
"113",5,0,1,14,0
"114",0,7,13,0,1
"115",3,7,9,2,0
"116",0,0,12,5,0
"117",0,2,16,0,0
"118",0,16,2,3,0
"119",2,18,0,0,0
"120",0,14,11,0,0
"121",11,13,0,0,0
