"","n.functions","scenario","C_shape","C_rate","P_shape","P_rate","divergence","time_to_run"
"1",1,1,NA,NA,NA,NA,NA,0.02
"2",16,1,10,10,10,10,0.239135082569928,0.0590000000000001
"3",81,1,5.005,5.005,5.005,5.005,0.0733214575506775,0.288
"4",256,1,3.34,3.34,3.34,3.34,0.0337445389532639,0.948
"5",625,1,5.005,5.005,2.5075,2.5075,0.0271531653419429,2.315
"6",1296,1,4.006,4.006,4.006,4.006,0.0269100850717666,4.83
"7",2401,1,8.335,6.67,1.675,1.675,0.0224626632765262,9.008
"8",4096,1,4.29142857142857,5.71857142857143,10,1.43714285714286,0.00843419808601316,15.427
"9",6561,1,3.75625,5.005,10,2.5075,0.0106239051658737,24.808
"10",10000,1,7.78,1.12,3.34,4.45,0.00881157290953443,38.137
