"","n.functions","scenario","C_shape","C_rate","P_shape","P_rate","divergence","time_to_run"
"1",1,4,1.6347882603863,0.538972289204495,1.61667202205611,0.98989898989899,0.0207112938663416,0.286000000000001
"2",2,4,1.68921106913786,0.450201649774722,1.78674463214228,1.13131313131313,0.0176153511836266,0.307999999999993
"3",3,4,1.98063083305712,0.0584360983281274,2.46734652765932,2.01,0.00541371654332577,0.373999999999995
"4",4,4,1.9428163156031,0.0936570844433451,2.31731793682687,1.94939393939394,0.00417283726610056,0.427000000000007
"5",5,4,1.94817283227108,0.0857252562414985,2.33795399789549,1.94939393939394,0.00406927442729249,0.518000000000001
"6",16,4,2.77577451412171,2.36661494395842,1.02224575657365,0,0.00394801388637845,1.22
"7",20,4,2.77577451412171,2.36661494395842,1.02224575657365,0,0.00394801388637845,1.46199999999999
"8",25,4,2.77577451412171,2.36661494395842,1.02224575657365,0,0.00394801388637845,1.80300000000001
"9",50,4,2.77577451412171,2.36661494395842,1.02224575657365,0,0.00394801388637845,2.434
"10",75,4,2.77577451412171,2.36661494395842,1.02224575657365,0,0.00394801388637845,2.46900000000001
"11",10000,4,2.77577451412171,2.36661494395842,1.02224575657365,0,0.00394801388637845,2.458
