"","V1","V2","V3","V4","V5"
"1",3,3,30,3,0
"2",3,3,3,9,21
"3",3,3,3,3,27
"4",3,3,12,18,3
"5",3,3,3,9,21
"6",3,3,6,27,0
"7",3,3,3,3,27
"8",3,3,3,3,27
"9",3,3,9,24,0
"10",3,3,3,3,27
"11",3,3,3,21,9
"12",3,3,3,3,27
"13",3,3,3,15,15
"14",3,3,3,6,24
"15",3,3,3,3,27
"16",3,3,3,3,27
"17",3,3,3,3,27
"18",3,30,6,0,0
"19",3,3,30,3,0
"20",3,3,3,15,15
"21",3,3,3,24,6
"22",3,3,3,3,27
"23",3,3,27,6,0
"24",3,3,3,3,27
"25",3,3,3,3,27
"26",3,3,3,30,0
"27",3,3,9,24,0
"28",3,3,3,12,18
"29",3,3,3,12,18
"30",3,3,3,3,27
"31",3,3,6,18,9
"32",3,3,3,12,18
"33",3,3,3,3,27
"34",3,3,12,21,0
"35",3,3,3,30,0
"36",3,3,9,24,0
"37",3,3,27,6,0
"38",3,3,12,21,0
"39",3,3,3,6,24
"40",3,3,9,9,15
"41",3,3,3,6,24
"42",3,3,6,27,0
"43",3,3,3,3,27
"44",3,6,12,18,0
"45",3,3,15,18,0
"46",3,3,3,18,12
"47",3,3,3,3,27
"48",3,3,6,27,0
"49",3,3,3,3,27
"50",3,3,3,3,27
"51",3,3,3,3,27
"52",3,3,3,3,27
"53",3,3,15,18,0
"54",3,3,3,12,18
"55",3,3,15,18,0
"56",3,3,3,27,3
"57",3,3,3,3,27
"58",3,3,6,15,12
"59",3,3,3,3,27
"60",3,3,6,15,12
"61",3,3,3,24,6
"62",3,3,6,18,9
"63",3,3,3,3,27
"64",3,3,3,6,24
"65",3,3,3,30,0
"66",3,3,15,18,0
"67",3,3,3,3,27
"68",3,3,3,3,27
"69",3,3,3,3,27
"70",3,3,3,3,27
"71",3,3,3,3,27
"72",3,3,3,3,27
"73",3,3,6,9,18
"74",3,15,21,0,0
"75",3,3,9,24,0
"76",3,3,3,27,3
"77",3,3,3,9,21
"78",3,3,3,30,0
"79",3,3,3,6,24
"80",3,3,3,6,24
"81",3,3,3,3,27
"82",3,3,3,24,6
"83",3,3,3,30,0
"84",3,3,6,27,0
"85",3,3,3,30,0
"86",3,3,3,3,27
"87",3,3,3,9,21
"88",3,3,3,9,21
"89",3,6,9,21,0
"90",3,3,12,21,0
"91",3,3,3,3,27
"92",3,3,3,9,21
"93",3,3,3,21,9
"94",3,3,6,9,18
"95",3,3,3,3,27
"96",9,12,18,0,0
"97",3,3,30,3,0
"98",3,3,3,3,27
"99",3,3,3,12,18
"100",3,9,12,15,0
"101",3,3,3,3,27
"102",3,3,3,3,27
"103",3,3,3,6,24
"104",3,3,3,27,3
"105",3,3,3,3,27
"106",3,3,3,6,24
"107",3,3,3,3,27
"108",3,3,3,12,18
"109",3,3,3,9,21
"110",3,3,3,18,12
"111",3,18,18,0,0
"112",3,3,3,3,27
"113",3,3,3,30,0
"114",3,3,3,27,3
"115",3,3,9,24,0
"116",3,3,3,12,18
"117",3,3,3,3,27
"118",3,3,6,27,0
"119",3,3,3,27,3
"120",3,3,3,30,0
"121",3,3,6,27,0
"122",3,3,3,9,21
"123",6,33,0,0,0
"124",3,3,3,6,24
"125",3,3,3,15,15
"126",3,3,3,3,27
"127",3,3,3,3,27
"128",3,3,3,3,27
"129",3,3,3,12,18
"130",3,6,9,21,0
"131",3,12,18,6,0
"132",3,6,30,0,0
"133",3,3,3,3,27
"134",3,3,15,18,0
"135",3,3,3,3,27
"136",3,3,3,27,3
"137",3,3,3,27,3
"138",3,6,6,24,0
"139",3,3,3,12,18
"140",3,3,3,3,27
"141",3,3,9,24,0
"142",3,3,3,6,24
"143",3,3,3,3,27
"144",3,3,3,9,21
"145",18,21,0,0,0
"146",3,3,12,21,0
"147",3,3,3,9,21
"148",3,3,3,24,6
"149",3,3,3,3,27
"150",3,3,3,6,24
"151",3,3,3,12,18
"152",3,21,15,0,0
"153",3,3,3,30,0
"154",3,3,15,18,0
"155",3,3,15,18,0
"156",3,3,27,6,0
"157",3,3,3,30,0
"158",3,3,3,3,27
"159",3,3,3,6,24
"160",3,3,3,30,0
"161",3,3,33,0,0
"162",3,3,3,12,18
"163",3,3,3,3,27
"164",3,6,18,12,0
"165",3,3,3,6,24
"166",3,3,3,3,27
"167",3,3,3,12,18
"168",3,6,30,0,0
"169",3,3,3,3,27
"170",3,3,3,12,18
"171",3,3,12,21,0
"172",3,3,12,21,0
"173",3,3,15,18,0
"174",3,3,3,3,27
"175",3,3,3,6,24
"176",3,3,3,3,27
"177",3,3,3,6,24
"178",3,3,6,9,18
"179",3,3,6,9,18
"180",3,9,15,12,0
"181",3,3,3,6,24
"182",3,3,15,15,3
"183",3,3,3,30,0
"184",3,3,3,3,27
"185",3,3,3,6,24
"186",3,3,15,15,3
"187",3,3,33,0,0
"188",3,3,3,30,0
"189",3,3,3,18,12
"190",3,3,6,27,0
"191",3,3,3,6,24
"192",3,3,3,3,27
"193",3,3,3,24,6
"194",3,3,3,30,0
"195",3,3,3,12,18
"196",3,3,6,27,0
"197",3,18,18,0,0
"198",3,3,18,15,0
"199",3,3,9,24,0
