"","x"
"1",15
"2",15
"3",17
"4",14
"5",15
"6",17
"7",15
"8",18
"9",14
"10",13
"11",18
"12",17
"13",16
"14",19
"15",15
"16",18
"17",17
"18",16
"19",16
"20",19
"21",14
"22",14
"23",14
"24",18
"25",15
"26",17
"27",18
"28",14
"29",17
"30",18
"31",16
"32",13
"33",19
"34",16
"35",13
"36",16
"37",17
"38",15
"39",17
"40",17
"41",16
"42",16
"43",17
"44",17
"45",15
"46",18
"47",17
"48",16
"49",16
"50",16
"51",15
"52",17
"53",17
"54",19
"55",17
"56",18
"57",16
"58",17
"59",15
"60",18
"61",19
"62",17
"63",17
"64",17
"65",18
"66",16
"67",15
"68",18
"69",18
"70",14
"71",14
"72",11
"73",13
"74",17
"75",19
"76",19
"77",11
"78",14
"79",16
"80",19
"81",20
"82",15
"83",19
"84",18
"85",16
"86",18
"87",14
"88",20
"89",20
"90",17
"91",13
"92",14
"93",20
"94",17
"95",16
"96",17
"97",13
"98",18
"99",18
"100",16
"101",14
"102",14
"103",16
"104",18
"105",17
"106",15
"107",16
"108",15
"109",17
"110",17
"111",19
"112",18
"113",16
"114",21
"115",17
"116",16
"117",19
"118",19
"119",12
"120",15
"121",17
"122",16
"123",17
"124",17
"125",16
"126",19
"127",19
"128",15
"129",18
"130",18
"131",18
"132",16
"133",17
"134",18
"135",17
"136",14
"137",18
"138",18
"139",19
"140",19
"141",16
"142",14
"143",16
"144",21
"145",14
"146",17
"147",13
"148",17
"149",18
"150",17
"151",19
"152",15
"153",16
"154",12
"155",16
"156",15
"157",19
"158",13
"159",16
"160",16
"161",14
"162",19
"163",17
"164",17
"165",14
"166",17
"167",17
"168",19
"169",16
"170",17
"171",21
"172",16
"173",19
"174",15
"175",17
"176",17
"177",19
"178",18
"179",15
"180",15
"181",17
"182",18
"183",15
"184",18
"185",16
"186",19
"187",20
"188",16
"189",13
"190",15
"191",17
"192",14
"193",15
"194",18
"195",19
"196",14
"197",16
"198",18
"199",15
"200",15
"201",15
"202",16
"203",16
"204",19
"205",17
"206",21
"207",16
"208",13
"209",18
"210",16
"211",19
"212",16
"213",16
"214",21
"215",14
"216",17
"217",17
"218",16
"219",14
"220",16
"221",13
"222",15
"223",16
"224",18
"225",15
"226",19
"227",15
"228",13
"229",17
"230",14
"231",16
"232",15
"233",12
"234",17
"235",17
"236",19
"237",21
"238",13
"239",22
"240",21
"241",15
"242",16
"243",17
"244",14
"245",17
"246",20
"247",16
"248",12
"249",18
"250",15
"251",14
"252",18
"253",19
"254",19
"255",17
"256",15
"257",16
"258",15
"259",19
"260",15
"261",17
"262",20
"263",17
"264",20
"265",14
"266",17
"267",18
"268",16
"269",20
"270",17
"271",19
"272",20
"273",19
"274",16
"275",21
"276",18
"277",16
"278",17
"279",16
"280",15
"281",12
"282",17
"283",15
"284",18
"285",17
"286",17
"287",16
"288",14
"289",21
"290",17
"291",11
"292",13
"293",16
"294",14
"295",14
"296",16
"297",16
"298",16
"299",17
"300",16
"301",15
"302",17
"303",16
"304",15
"305",16
"306",12
"307",16
"308",17
"309",19
"310",13
"311",14
"312",16
"313",15
"314",19
"315",15
"316",15
"317",19
"318",16
"319",13
"320",16
"321",19
"322",15
"323",12
"324",13
"325",15
"326",19
"327",17
"328",15
"329",14
"330",15
"331",14
"332",16
"333",20
"334",18
"335",19
"336",13
"337",19
"338",19
"339",16
"340",15
"341",23
"342",16
"343",15
"344",17
"345",16
"346",15
"347",14
"348",14
"349",16
"350",17
"351",17
"352",17
"353",18
"354",19
"355",14
"356",16
"357",20
"358",15
"359",17
"360",15
"361",16
"362",17
"363",12
"364",21
"365",18
"366",16
"367",16
"368",15
"369",13
"370",14
"371",20
"372",15
"373",17
"374",13
"375",19
"376",19
"377",14
"378",16
"379",18
"380",18
"381",17
"382",19
"383",17
"384",17
"385",16
"386",17
"387",19
"388",16
"389",17
"390",17
"391",21
"392",16
"393",20
"394",16
"395",19
"396",17
"397",15
"398",17
"399",16
"400",13
"401",16
"402",19
"403",16
"404",16
"405",16
"406",11
"407",16
"408",17
"409",18
"410",15
"411",20
"412",15
"413",20
"414",17
"415",18
"416",16
"417",21
"418",17
"419",14
"420",18
"421",20
"422",19
"423",15
"424",18
"425",15
"426",20
"427",16
"428",16
"429",19
"430",13
"431",15
"432",17
"433",19
"434",16
"435",16
"436",16
"437",14
"438",18
"439",18
"440",15
"441",19
"442",15
"443",14
"444",18
"445",18
"446",16
