"","V1","V2","V3","V4","V5"
"1",27,12,0,0,0
"2",39,0,0,0,0
"3",33,6,0,0,0
"4",39,0,0,0,0
"5",39,0,0,0,0
"6",36,3,0,0,0
"7",24,15,0,0,0
"8",27,12,0,0,0
"9",33,6,0,0,0
"10",15,0,0,0,0
"11",39,0,0,0,0
"12",33,6,0,0,0
"13",33,6,0,0,0
"14",33,6,0,0,0
"15",39,0,0,0,0
"16",27,12,0,0,0
"17",18,18,3,0,0
"18",39,0,0,0,0
"19",33,6,0,0,0
"20",30,9,0,0,0
"21",27,9,3,0,0
"22",39,0,0,0,0
"23",36,3,0,0,0
"24",30,9,0,0,0
"25",36,3,0,0,0
"26",30,9,0,0,0
"27",39,0,0,0,0
"28",39,0,0,0,0
"29",30,6,3,0,0
"30",30,9,0,0,0
"31",36,3,0,0,0
"32",33,6,0,0,0
"33",33,6,0,0,0
"34",21,9,6,3,0
"35",33,6,0,0,0
"36",30,9,0,0,0
"37",39,0,0,0,0
"38",36,3,0,0,0
"39",33,6,0,0,0
"40",36,0,0,0,0
"41",39,0,0,0,0
"42",33,6,0,0,0
"43",39,0,0,0,0
"44",30,6,3,0,0
"45",24,15,0,0,0
"46",39,0,0,0,0
"47",30,9,0,0,0
"48",18,21,0,0,0
"49",39,0,0,0,0
"50",30,9,0,0,0
"51",33,6,0,0,0
"52",18,21,0,0,0
"53",33,6,0,0,0
"54",39,0,0,0,0
"55",39,0,0,0,0
"56",39,0,0,0,0
"57",30,0,0,0,0
"58",33,6,0,0,0
"59",36,3,0,0,0
"60",30,9,0,0,0
"61",33,6,0,0,0
"62",33,6,0,0,0
"63",36,3,0,0,0
"64",33,6,0,0,0
"65",36,3,0,0,0
"66",33,6,0,0,0
"67",39,0,0,0,0
"68",39,0,0,0,0
"69",33,6,0,0,0
"70",33,6,0,0,0
"71",36,3,0,0,0
"72",39,0,0,0,0
"73",33,6,0,0,0
"74",39,0,0,0,0
"75",24,15,0,0,0
"76",33,6,0,0,0
"77",33,6,0,0,0
"78",39,0,0,0,0
"79",39,0,0,0,0
"80",18,18,3,0,0
"81",15,24,0,0,0
"82",39,0,0,0,0
"83",39,0,0,0,0
"84",39,0,0,0,0
"85",36,3,0,0,0
"86",36,3,0,0,0
"87",39,0,0,0,0
"88",33,6,0,0,0
"89",39,0,0,0,0
"90",30,9,0,0,0
"91",36,3,0,0,0
"92",39,0,0,0,0
"93",36,3,0,0,0
"94",33,6,0,0,0
"95",36,0,0,0,0
"96",33,6,0,0,0
"97",36,3,0,0,0
"98",30,9,0,0,0
"99",33,6,0,0,0
"100",27,9,3,0,0
"101",30,9,0,0,0
"102",39,0,0,0,0
"103",33,6,0,0,0
"104",39,0,0,0,0
"105",30,6,3,0,0
"106",39,0,0,0,0
"107",30,9,0,0,0
"108",39,0,0,0,0
"109",27,9,3,0,0
"110",39,0,0,0,0
"111",30,9,0,0,0
"112",39,0,0,0,0
"113",33,6,0,0,0
"114",33,6,0,0,0
"115",36,3,0,0,0
"116",39,0,0,0,0
"117",36,3,0,0,0
"118",27,12,0,0,0
"119",39,0,0,0,0
"120",33,6,0,0,0
"121",30,6,3,0,0
"122",36,3,0,0,0
"123",36,3,0,0,0
"124",39,0,0,0,0
"125",18,15,6,0,0
"126",39,0,0,0,0
"127",21,0,0,0,0
"128",39,0,0,0,0
"129",36,3,0,0,0
"130",36,3,0,0,0
"131",33,6,0,0,0
"132",24,15,0,0,0
"133",39,0,0,0,0
"134",18,18,3,0,0
"135",33,6,0,0,0
"136",24,12,3,0,0
"137",39,0,0,0,0
"138",18,21,0,0,0
"139",36,3,0,0,0
"140",36,3,0,0,0
"141",36,3,0,0,0
"142",33,6,0,0,0
"143",27,6,6,0,0
"144",30,9,0,0,0
"145",39,0,0,0,0
"146",36,3,0,0,0
"147",30,0,0,0,0
"148",30,6,3,0,0
"149",30,9,0,0,0
"150",39,0,0,0,0
"151",39,0,0,0,0
"152",39,0,0,0,0
"153",39,0,0,0,0
"154",39,0,0,0,0
"155",36,3,0,0,0
"156",39,0,0,0,0
"157",33,6,0,0,0
"158",33,6,0,0,0
"159",33,6,0,0,0
"160",39,0,0,0,0
"161",33,6,0,0,0
"162",39,0,0,0,0
"163",39,0,0,0,0
"164",39,0,0,0,0
"165",39,0,0,0,0
"166",39,0,0,0,0
"167",39,0,0,0,0
"168",33,6,0,0,0
"169",39,0,0,0,0
"170",27,9,3,0,0
"171",39,0,0,0,0
"172",33,6,0,0,0
"173",33,6,0,0,0
"174",36,0,0,0,0
"175",30,6,3,0,0
"176",27,6,6,0,0
"177",33,6,0,0,0
"178",30,6,3,0,0
"179",30,9,0,0,0
"180",39,0,0,0,0
"181",36,3,0,0,0
"182",36,3,0,0,0
"183",27,6,6,0,0
"184",30,9,0,0,0
"185",27,9,3,0,0
"186",33,6,0,0,0
"187",24,0,0,0,0
"188",36,3,0,0,0
"189",27,12,0,0,0
"190",39,0,0,0,0
"191",39,0,0,0,0
"192",36,3,0,0,0
"193",39,0,0,0,0
"194",39,0,0,0,0
"195",30,9,0,0,0
"196",18,12,9,0,0
"197",30,9,0,0,0
"198",30,6,3,0,0
"199",30,9,0,0,0
"200",33,6,0,0,0
"201",27,12,0,0,0
"202",33,6,0,0,0
"203",39,0,0,0,0
"204",30,9,0,0,0
"205",24,15,0,0,0
"206",36,3,0,0,0
"207",36,3,0,0,0
"208",30,9,0,0,0
"209",33,6,0,0,0
"210",36,3,0,0,0
"211",27,12,0,0,0
"212",27,9,3,0,0
"213",27,12,0,0,0
"214",30,9,0,0,0
"215",39,0,0,0,0
"216",33,6,0,0,0
"217",39,0,0,0,0
"218",33,6,0,0,0
"219",33,6,0,0,0
"220",18,18,3,0,0
"221",39,0,0,0,0
"222",30,9,0,0,0
"223",33,6,0,0,0
"224",12,18,9,0,0
"225",39,0,0,0,0
"226",36,3,0,0,0
"227",39,0,0,0,0
"228",33,6,0,0,0
"229",33,6,0,0,0
"230",39,0,0,0,0
"231",18,0,0,0,0
"232",39,0,0,0,0
"233",39,0,0,0,0
"234",36,3,0,0,0
"235",36,3,0,0,0
"236",39,0,0,0,0
"237",33,6,0,0,0
"238",36,3,0,0,0
"239",27,9,3,0,0
"240",33,6,0,0,0
"241",39,0,0,0,0
"242",39,0,0,0,0
"243",39,0,0,0,0
"244",30,9,0,0,0
"245",33,6,0,0,0
"246",39,0,0,0,0
"247",27,12,0,0,0
"248",36,3,0,0,0
"249",39,0,0,0,0
"250",33,6,0,0,0
"251",39,0,0,0,0
"252",39,0,0,0,0
"253",33,6,0,0,0
"254",39,0,0,0,0
"255",9,27,3,0,0
"256",39,0,0,0,0
"257",36,3,0,0,0
"258",33,6,0,0,0
"259",21,12,6,0,0
"260",36,3,0,0,0
"261",27,9,3,0,0
"262",39,0,0,0,0
"263",33,6,0,0,0
"264",39,0,0,0,0
"265",39,0,0,0,0
"266",33,6,0,0,0
"267",33,6,0,0,0
"268",39,0,0,0,0
"269",36,3,0,0,0
"270",39,0,0,0,0
"271",39,0,0,0,0
"272",30,6,3,0,0
"273",39,0,0,0,0
"274",39,0,0,0,0
"275",21,18,0,0,0
"276",36,3,0,0,0
"277",33,6,0,0,0
"278",33,6,0,0,0
"279",27,12,0,0,0
"280",39,0,0,0,0
"281",9,30,0,0,0
"282",9,30,0,0,0
"283",33,6,0,0,0
"284",39,0,0,0,0
"285",30,6,0,0,0
"286",36,3,0,0,0
"287",33,6,0,0,0
"288",33,6,0,0,0
"289",39,0,0,0,0
"290",39,0,0,0,0
"291",39,0,0,0,0
"292",39,0,0,0,0
"293",39,0,0,0,0
"294",36,3,0,0,0
"295",24,0,0,0,0
"296",30,6,3,0,0
"297",33,6,0,0,0
"298",30,9,0,0,0
"299",33,6,0,0,0
"300",39,0,0,0,0
"301",12,24,3,0,0
"302",39,0,0,0,0
"303",39,0,0,0,0
"304",39,0,0,0,0
"305",36,0,0,0,0
"306",33,6,0,0,0
"307",39,0,0,0,0
"308",39,0,0,0,0
"309",24,15,0,0,0
"310",39,0,0,0,0
"311",39,0,0,0,0
"312",39,0,0,0,0
"313",36,3,0,0,0
"314",30,9,0,0,0
"315",39,0,0,0,0
"316",36,3,0,0,0
"317",33,6,0,0,0
"318",33,6,0,0,0
"319",39,0,0,0,0
"320",6,33,0,0,0
"321",3,27,9,0,0
"322",33,6,0,0,0
"323",39,0,0,0,0
"324",36,3,0,0,0
"325",39,0,0,0,0
"326",27,0,0,0,0
"327",18,15,6,0,0
"328",39,0,0,0,0
"329",33,6,0,0,0
"330",39,0,0,0,0
"331",39,0,0,0,0
"332",33,6,0,0,0
"333",39,0,0,0,0
"334",27,12,0,0,0
"335",36,3,0,0,0
"336",21,18,0,0,0
"337",27,6,6,0,0
"338",39,0,0,0,0
"339",39,0,0,0,0
"340",33,6,0,0,0
"341",27,9,3,0,0
"342",36,3,0,0,0
"343",33,6,0,0,0
"344",27,9,3,0,0
"345",39,0,0,0,0
"346",39,0,0,0,0
"347",30,9,0,0,0
"348",33,6,0,0,0
"349",33,6,0,0,0
"350",21,15,3,0,0
"351",33,6,0,0,0
"352",39,0,0,0,0
"353",21,18,0,0,0
"354",39,0,0,0,0
"355",36,3,0,0,0
"356",33,6,0,0,0
"357",39,0,0,0,0
"358",30,0,0,0,0
"359",33,6,0,0,0
"360",39,0,0,0,0
"361",36,3,0,0,0
"362",24,15,0,0,0
"363",33,6,0,0,0
"364",36,3,0,0,0
"365",30,9,0,0,0
"366",39,0,0,0,0
"367",30,9,0,0,0
"368",36,3,0,0,0
"369",12,21,6,0,0
"370",30,9,0,0,0
"371",39,0,0,0,0
"372",3,33,3,0,0
"373",39,0,0,0,0
"374",30,9,0,0,0
"375",39,0,0,0,0
"376",30,9,0,0,0
"377",24,12,3,0,0
"378",30,9,0,0,0
"379",36,3,0,0,0
"380",39,0,0,0,0
"381",33,6,0,0,0
"382",30,9,0,0,0
"383",36,3,0,0,0
"384",36,3,0,0,0
"385",36,3,0,0,0
"386",39,0,0,0,0
"387",33,6,0,0,0
"388",39,0,0,0,0
"389",39,0,0,0,0
"390",39,0,0,0,0
"391",33,6,0,0,0
"392",39,0,0,0,0
"393",39,0,0,0,0
"394",39,0,0,0,0
"395",27,12,0,0,0
"396",27,12,0,0,0
"397",36,3,0,0,0
"398",30,6,3,0,0
"399",24,12,3,0,0
"400",39,0,0,0,0
"401",39,0,0,0,0
"402",30,9,0,0,0
"403",39,0,0,0,0
"404",39,0,0,0,0
"405",30,6,3,0,0
"406",39,0,0,0,0
"407",27,0,0,0,0
"408",30,9,0,0,0
"409",27,6,6,0,0
"410",36,3,0,0,0
"411",39,0,0,0,0
"412",33,6,0,0,0
"413",24,9,0,0,0
"414",36,3,0,0,0
"415",33,6,0,0,0
"416",39,0,0,0,0
"417",30,9,0,0,0
"418",27,12,0,0,0
"419",39,0,0,0,0
"420",30,6,3,0,0
"421",36,3,0,0,0
"422",36,3,0,0,0
"423",39,0,0,0,0
"424",39,0,0,0,0
"425",33,6,0,0,0
"426",39,0,0,0,0
"427",39,0,0,0,0
"428",39,0,0,0,0
"429",18,21,0,0,0
"430",33,6,0,0,0
"431",36,3,0,0,0
"432",15,18,6,0,0
"433",33,6,0,0,0
"434",30,9,0,0,0
"435",39,0,0,0,0
"436",33,6,0,0,0
"437",39,0,0,0,0
"438",39,0,0,0,0
"439",39,0,0,0,0
"440",39,0,0,0,0
"441",15,18,6,0,0
"442",36,3,0,0,0
"443",24,12,3,0,0
"444",3,33,3,0,0
"445",33,6,0,0,0
"446",33,6,0,0,0
"447",27,12,0,0,0
"448",36,3,0,0,0
"449",39,0,0,0,0
"450",39,0,0,0,0
"451",39,0,0,0,0
"452",18,0,0,0,0
"453",30,9,0,0,0
"454",33,6,0,0,0
"455",30,9,0,0,0
"456",21,18,0,0,0
"457",39,0,0,0,0
"458",39,0,0,0,0
"459",36,3,0,0,0
"460",33,6,0,0,0
"461",33,6,0,0,0
"462",30,9,0,0,0
"463",39,0,0,0,0
"464",3,21,15,0,0
"465",39,0,0,0,0
"466",33,6,0,0,0
"467",30,0,0,0,0
"468",36,3,0,0,0
"469",33,6,0,0,0
"470",39,0,0,0,0
"471",21,9,9,0,0
"472",27,12,0,0,0
"473",24,12,3,0,0
"474",24,15,0,0,0
"475",24,0,0,0,0
"476",33,6,0,0,0
"477",21,12,6,0,0
"478",39,0,0,0,0
"479",39,0,0,0,0
"480",39,0,0,0,0
"481",39,0,0,0,0
"482",33,6,0,0,0
"483",30,6,3,0,0
"484",36,3,0,0,0
"485",39,0,0,0,0
"486",39,0,0,0,0
"487",27,12,0,0,0
"488",30,9,0,0,0
"489",15,0,0,0,0
"490",33,6,0,0,0
"491",39,0,0,0,0
"492",39,0,0,0,0
"493",30,0,0,0,0
"494",30,9,0,0,0
"495",39,0,0,0,0
"496",30,9,0,0,0
