"","x"
"1",9
"2",13
"3",13
"4",11
"5",11
"6",12
"7",13
"8",15
"9",13
"10",12
"11",13
"12",9
"13",12
"14",9
"15",16
"16",14
"17",15
"18",12
"19",11
"20",16
"21",16
"22",9
"23",11
"24",15
"25",11
"26",12
"27",13
"28",13
"29",11
"30",13
"31",12
"32",14
"33",12
"34",11
"35",11
"36",15
"37",12
"38",15
"39",15
"40",12
"41",12
"42",14
"43",16
"44",13
"45",10
"46",16
"47",14
"48",13
"49",14
"50",12
"51",11
"52",12
"53",17
"54",13
"55",11
"56",14
"57",13
"58",10
"59",16
"60",12
"61",11
"62",17
"63",14
"64",10
"65",10
"66",14
"67",10
"68",14
"69",10
"70",10
"71",10
"72",12
"73",14
"74",13
"75",13
"76",15
"77",13
"78",12
"79",13
"80",9
"81",10
"82",12
"83",15
"84",13
"85",16
"86",6
"87",13
"88",12
"89",13
"90",11
"91",12
"92",12
"93",14
"94",13
"95",15
"96",15
"97",13
"98",12
"99",15
"100",10
"101",12
"102",9
"103",14
"104",13
"105",11
"106",12
"107",10
"108",10
"109",15
"110",9
"111",12
"112",13
"113",14
"114",16
"115",10
"116",18
"117",14
"118",12
"119",10
"120",15
"121",11
"122",13
"123",9
"124",14
"125",13
"126",15
"127",13
"128",13
"129",11
"130",11
"131",13
"132",10
"133",14
"134",14
"135",16
"136",10
"137",12
"138",17
"139",14
"140",13
"141",13
"142",12
"143",12
"144",15
"145",12
"146",10
"147",14
"148",14
"149",14
"150",11
"151",11
"152",13
"153",16
"154",12
"155",8
"156",16
"157",12
"158",16
"159",12
"160",19
"161",11
"162",15
"163",13
"164",12
"165",12
"166",10
"167",11
"168",10
"169",14
"170",14
"171",12
"172",11
"173",13
"174",13
"175",11
"176",15
"177",14
"178",17
"179",16
"180",14
"181",13
"182",14
"183",11
"184",11
"185",14
"186",13
"187",15
"188",14
"189",12
"190",12
"191",12
"192",14
"193",10
"194",11
"195",15
"196",15
"197",13
"198",15
"199",15
"200",11
"201",13
"202",14
"203",15
"204",11
"205",16
"206",10
"207",14
"208",11
"209",11
"210",15
"211",9
"212",13
"213",14
"214",10
"215",11
"216",11
"217",14
"218",13
"219",10
"220",15
"221",11
"222",15
"223",14
"224",11
"225",15
"226",14
"227",12
"228",11
"229",12
"230",14
"231",19
"232",12
"233",14
"234",12
"235",15
"236",12
"237",12
"238",13
"239",15
"240",14
"241",10
"242",13
"243",11
"244",12
"245",14
"246",12
"247",10
"248",13
"249",12
"250",16
"251",13
"252",12
"253",11
"254",13
"255",10
"256",12
"257",10
"258",11
"259",14
"260",13
"261",15
"262",13
"263",19
"264",10
"265",11
"266",14
"267",16
"268",12
"269",13
"270",12
"271",11
"272",14
"273",11
"274",15
"275",10
"276",12
"277",12
