"","x"
"1",1
"2",3
"3",0
"4",1
"5",2
"6",1
"7",1
"8",2
"9",4
"10",2
"11",1
"12",1
"13",1
"14",3
"15",1
"16",2
"17",1
"18",3
"19",1
"20",2
"21",2
"22",1
"23",4
"24",2
"25",3
"26",1
"27",2
"28",0
"29",1
"30",1
"31",3
"32",4
"33",2
"34",1
"35",0
"36",3
"37",3
"38",1
"39",2
"40",2
"41",1
"42",1
"43",1
"44",3
"45",3
"46",3
"47",2
"48",2
"49",1
"50",2
"51",3
"52",2
"53",1
"54",3
"55",3
"56",1
"57",3
"58",1
"59",1
"60",2
"61",2
"62",1
"63",2
"64",3
"65",4
"66",3
"67",3
"68",1
"69",1
"70",3
"71",3
"72",4
"73",3
"74",1
"75",3
"76",1
"77",4
"78",0
"79",0
"80",1
"81",3
"82",0
"83",1
"84",0
"85",3
"86",2
"87",2
"88",2
"89",2
"90",1
"91",2
"92",1
"93",3
"94",2
"95",3
"96",1
"97",2
"98",2
"99",2
"100",1
"101",3
"102",3
"103",2
"104",3
"105",1
"106",3
"107",1
"108",1
"109",4
"110",1
"111",1
"112",2
"113",3
"114",1
"115",3
"116",3
"117",3
"118",3
"119",3
"120",2
"121",1
"122",2
"123",3
"124",2
"125",3
"126",2
"127",0
"128",2
"129",0
"130",1
"131",3
"132",2
"133",3
"134",0
"135",1
"136",2
"137",3
"138",0
"139",1
"140",2
"141",3
"142",3
"143",3
"144",2
"145",3
"146",2
"147",1
"148",2
"149",4
"150",3
"151",3
"152",2
"153",1
"154",3
"155",2
"156",1
"157",1
"158",0
"159",3
"160",3
"161",2
"162",2
"163",2
"164",3
"165",3
"166",2
"167",4
"168",0
"169",3
"170",2
"171",4
"172",2
"173",0
"174",0
"175",2
"176",2
"177",3
"178",3
"179",1
"180",1
"181",2
"182",1
"183",1
"184",3
"185",2
"186",1
"187",2
"188",2
"189",0
"190",4
"191",0
"192",2
"193",2
"194",4
"195",1
"196",3
"197",4
"198",1
"199",2
"200",2
"201",2
"202",2
"203",1
"204",2
"205",1
"206",1
"207",2
"208",2
"209",1
"210",1
"211",1
"212",4
"213",2
"214",3
"215",2
"216",2
"217",3
"218",3
"219",2
"220",3
"221",2
"222",4
"223",1
"224",2
"225",2
"226",1
"227",1
"228",1
"229",0
