"","x"
"1",3
"2",1
"3",5
"4",4
"5",1
"6",2
"7",4
"8",3
"9",4
"10",1
"11",1
"12",3
"13",3
"14",1
"15",5
"16",1
"17",4
"18",4
"19",1
"20",0
"21",5
"22",4
"23",3
"24",3
"25",4
"26",3
"27",4
"28",4
"29",6
"30",4
"31",4
"32",7
"33",6
"34",5
"35",7
"36",5
"37",0
"38",7
"39",4
"40",4
"41",2
"42",3
"43",4
"44",2
"45",4
"46",2
"47",2
"48",5
"49",3
"50",4
"51",3
"52",3
"53",4
"54",3
"55",4
"56",5
"57",5
"58",4
"59",4
"60",4
"61",3
"62",3
"63",4
"64",3
"65",5
"66",5
"67",3
"68",4
"69",6
"70",2
"71",5
"72",7
"73",2
"74",4
"75",5
"76",3
"77",4
"78",2
"79",6
"80",4
"81",4
"82",3
"83",4
"84",3
"85",4
"86",3
"87",3
"88",4
"89",3
"90",5
"91",3
"92",5
"93",7
"94",5
"95",3
"96",5
"97",4
"98",3
"99",4
"100",2
"101",6
"102",5
"103",4
"104",4
"105",5
"106",5
"107",4
"108",3
"109",5
"110",5
"111",4
"112",5
"113",3
"114",5
"115",1
"116",2
"117",4
"118",3
"119",1
"120",4
"121",3
"122",3
"123",2
"124",5
"125",2
"126",3
"127",5
"128",4
"129",5
"130",5
"131",2
"132",4
"133",1
"134",3
"135",4
"136",4
"137",5
"138",2
"139",6
"140",3
"141",3
"142",5
"143",4
"144",5
"145",5
"146",2
"147",4
"148",4
"149",5
"150",6
"151",3
"152",3
"153",5
"154",5
"155",4
"156",4
"157",4
"158",3
"159",7
"160",5
"161",4
"162",4
"163",4
"164",5
"165",5
"166",2
"167",3
"168",2
"169",6
"170",5
"171",3
"172",4
"173",5
"174",3
"175",4
"176",3
"177",4
"178",4
"179",3
"180",3
"181",3
"182",4
"183",5
"184",2
"185",2
"186",2
"187",2
"188",5
"189",3
"190",4
"191",4
"192",5
"193",4
"194",5
"195",2
"196",2
"197",4
"198",4
"199",2
"200",3
"201",4
"202",3
"203",5
"204",2
"205",1
"206",3
"207",4
"208",2
"209",4
"210",4
"211",4
"212",2
"213",3
"214",1
"215",2
"216",6
"217",6
"218",6
"219",1
"220",4
"221",5
"222",2
"223",4
"224",2
"225",3
"226",3
"227",4
"228",4
"229",4
"230",3
"231",1
"232",5
"233",4
"234",4
"235",5
"236",5
"237",4
"238",4
"239",1
"240",3
"241",4
"242",6
"243",4
"244",1
"245",4
"246",4
"247",6
"248",1
"249",4
"250",3
"251",5
"252",5
"253",6
"254",1
"255",1
"256",4
"257",4
"258",1
"259",2
"260",3
"261",4
"262",2
"263",3
"264",1
"265",2
"266",2
"267",4
"268",4
"269",3
"270",2
"271",2
"272",4
"273",3
"274",4
"275",6
"276",3
"277",5
"278",5
"279",3
"280",5
"281",3
"282",3
"283",2
"284",3
"285",2
"286",4
"287",4
"288",0
"289",4
"290",2
"291",5
"292",3
"293",3
"294",1
"295",4
"296",6
"297",3
"298",3
"299",4
"300",5
"301",3
"302",5
"303",6
"304",3
"305",3
"306",5
"307",6
"308",4
"309",5
"310",3
"311",3
"312",4
"313",4
"314",4
"315",5
"316",4
"317",3
"318",4
"319",4
"320",2
"321",4
"322",4
"323",5
"324",4
"325",6
"326",3
"327",2
"328",3
"329",6
"330",2
"331",5
"332",5
"333",4
"334",6
"335",2
"336",4
"337",6
"338",2
"339",1
"340",3
"341",3
"342",5
"343",4
"344",3
"345",3
"346",4
"347",4
"348",2
"349",5
"350",3
"351",5
"352",2
"353",4
"354",3
"355",3
"356",6
"357",5
"358",5
"359",6
"360",3
"361",7
"362",4
"363",5
"364",3
"365",3
"366",4
"367",2
"368",3
"369",2
"370",5
