"","V1","V2","V3","V4","V5"
"1",6,9,24,0,0
"2",3,3,3,18,12
"3",3,3,9,24,0
"4",12,12,15,0,0
"5",3,3,18,15,0
"6",3,3,12,21,0
"7",3,3,3,15,15
"8",3,3,27,6,0
"9",3,3,3,3,27
"10",18,21,0,0,0
"11",3,3,30,3,0
"12",3,18,18,0,0
"13",3,9,27,0,0
"14",3,3,3,24,6
"15",3,9,12,15,0
"16",3,3,18,15,0
"17",3,3,9,24,0
"18",3,3,21,12,0
"19",3,18,18,0,0
"20",3,3,33,0,0
"21",3,3,15,18,0
"22",3,3,18,15,0
"23",3,3,6,24,3
"24",6,3,21,9,0
"25",3,3,12,21,0
"26",3,3,18,15,0
"27",3,3,9,24,0
"28",3,3,6,27,0
"29",3,36,0,0,0
"30",3,9,27,0,0
"31",3,6,21,9,0
"32",3,3,9,18,6
"33",3,3,3,30,0
"34",3,6,18,12,0
"35",3,21,15,0,0
"36",3,3,6,21,6
"37",3,15,21,0,0
"38",3,3,6,27,0
"39",3,9,27,0,0
"40",3,3,3,30,0
"41",3,3,3,6,24
"42",3,3,6,21,6
"43",6,3,30,0,0
"44",3,3,3,30,0
"45",3,3,15,15,3
"46",3,3,3,9,21
"47",3,3,12,21,0
"48",3,3,3,30,0
"49",3,9,27,0,0
"50",3,3,9,24,0
"51",3,36,0,0,0
"52",9,30,0,0,0
"53",3,6,30,0,0
"54",3,6,15,15,0
"55",3,9,27,0,0
"56",3,3,12,21,0
"57",3,3,9,24,0
"58",3,3,6,9,18
"59",3,3,3,6,24
"60",3,3,33,0,0
"61",6,21,12,0,0
"62",12,15,12,0,0
"63",3,3,15,18,0
"64",3,3,24,9,0
"65",3,3,30,3,0
"66",3,3,3,21,9
"67",3,30,6,0,0
"68",3,9,15,12,0
"69",3,3,3,3,27
"70",3,3,12,21,0
"71",3,3,24,9,0
"72",9,15,15,0,0
"73",3,3,27,6,0
"74",3,3,33,0,0
"75",3,3,9,24,0
"76",3,15,21,0,0
"77",3,3,6,27,0
"78",24,15,0,0,0
"79",3,3,33,0,0
"80",3,3,27,6,0
"81",3,3,24,9,0
"82",3,3,27,6,0
"83",3,3,18,15,0
"84",3,6,30,0,0
"85",9,24,6,0,0
"86",6,15,18,0,0
"87",12,15,12,0,0
"88",3,9,12,15,0
"89",3,3,3,9,21
"90",3,3,3,30,0
"91",3,3,24,9,0
"92",3,3,33,0,0
"93",3,3,9,24,0
"94",3,3,9,24,0
"95",3,9,27,0,0
"96",3,3,3,30,0
"97",3,9,27,0,0
"98",3,9,18,9,0
"99",3,3,12,21,0
"100",3,3,9,24,0
"101",3,3,21,12,0
"102",3,3,30,3,0
"103",3,12,24,0,0
"104",3,3,3,30,0
"105",3,3,18,15,0
"106",3,9,27,0,0
"107",3,3,3,30,0
"108",3,3,27,6,0
"109",3,3,9,24,0
"110",3,12,15,9,0
"111",3,3,3,21,9
"112",3,3,3,18,12
"113",3,3,12,21,0
"114",3,3,6,27,0
"115",3,6,30,0,0
"116",3,3,24,9,0
"117",3,3,9,24,0
"118",3,15,21,0,0
"119",3,12,24,0,0
"120",3,6,30,0,0
"121",3,9,27,0,0
"122",3,3,3,30,0
"123",3,3,3,27,3
"124",3,18,18,0,0
"125",3,36,0,0,0
"126",3,3,3,24,6
"127",6,21,12,0,0
"128",3,6,9,21,0
"129",3,3,15,18,0
"130",3,3,24,9,0
"131",3,6,18,12,0
"132",3,3,3,24,6
"133",3,18,18,0,0
"134",3,3,33,0,0
"135",3,3,3,30,0
"136",3,3,30,3,0
"137",3,3,6,27,0
"138",3,3,15,18,0
"139",3,3,33,0,0
"140",3,3,3,24,6
"141",3,3,3,12,18
"142",3,3,3,18,12
"143",9,24,6,0,0
"144",3,3,15,18,0
"145",3,3,9,15,9
"146",3,3,6,27,0
"147",3,3,30,3,0
"148",3,12,24,0,0
"149",3,3,18,15,0
"150",12,27,0,0,0
"151",3,3,9,15,9
"152",3,12,24,0,0
"153",3,3,6,27,0
"154",3,3,3,30,0
"155",3,3,3,27,3
"156",3,3,9,18,6
"157",3,3,3,21,9
"158",3,3,9,24,0
"159",3,3,33,0,0
"160",9,18,12,0,0
"161",3,18,18,0,0
"162",3,3,6,27,0
"163",3,3,3,3,27
"164",6,33,0,0,0
"165",3,3,24,9,0
"166",3,3,3,15,15
"167",3,3,3,21,9
"168",9,6,24,0,0
"169",3,3,3,30,0
"170",3,3,15,15,3
"171",3,3,3,30,0
"172",3,15,21,0,0
"173",3,9,6,21,0
"174",6,24,9,0,0
"175",3,3,6,21,6
"176",3,3,9,21,3
"177",3,3,3,9,21
"178",3,3,12,21,0
"179",9,27,3,0,0
"180",3,3,12,21,0
"181",3,3,21,12,0
"182",3,3,9,24,0
"183",3,3,3,30,0
"184",3,15,21,0,0
"185",3,3,3,30,0
"186",3,3,3,30,0
"187",3,3,9,18,6
"188",3,3,24,9,0
"189",3,3,18,15,0
"190",6,15,18,0,0
"191",3,3,3,3,27
"192",3,6,30,0,0
"193",3,3,3,15,15
"194",3,3,12,21,0
"195",3,6,24,6,0
"196",3,3,9,24,0
"197",3,3,6,21,6
"198",3,3,3,3,27
"199",3,3,3,12,18
"200",3,3,3,30,0
"201",3,3,3,3,27
"202",3,9,12,15,0
"203",3,6,15,15,0
"204",3,9,24,3,0
"205",3,6,21,9,0
"206",3,27,9,0,0
"207",3,3,3,15,15
"208",3,3,18,15,0
"209",3,3,6,27,0
"210",9,12,18,0,0
"211",3,3,3,15,15
"212",3,3,21,12,0
"213",3,30,6,0,0
"214",3,3,9,24,0
"215",3,6,9,21,0
"216",3,3,24,9,0
"217",3,3,6,27,0
"218",3,3,6,27,0
"219",3,3,3,24,6
"220",3,9,27,0,0
"221",3,9,21,6,0
"222",9,30,0,0,0
"223",3,3,3,30,0
"224",3,3,3,24,6
"225",3,15,21,0,0
"226",3,3,9,24,0
"227",6,3,24,6,0
"228",15,24,0,0,0
"229",3,3,30,3,0
"230",3,3,12,21,0
"231",3,3,12,21,0
"232",3,3,6,27,0
"233",3,3,3,27,3
"234",3,3,3,18,12
"235",3,3,6,27,0
"236",3,3,3,27,3
"237",3,6,30,0,0
"238",3,3,9,21,3
"239",3,3,3,18,12
"240",3,3,9,24,0
"241",3,3,3,12,18
"242",3,3,33,0,0
"243",3,3,3,21,9
"244",3,3,3,30,0
"245",3,3,12,18,3
"246",3,3,3,30,0
"247",3,3,27,6,0
"248",3,3,3,21,9
"249",9,30,0,0,0
"250",3,3,3,30,0
"251",3,3,3,30,0
"252",3,3,12,21,0
"253",3,3,9,24,0
"254",3,3,24,6,3
"255",3,3,33,0,0
"256",3,3,3,30,0
"257",3,3,6,27,0
"258",3,3,24,9,0
"259",3,6,30,0,0
"260",3,3,6,27,0
"261",12,15,12,0,0
"262",3,3,3,27,3
"263",3,12,24,0,0
"264",12,24,3,0,0
"265",3,12,24,0,0
"266",3,3,27,6,0
"267",27,12,0,0,0
"268",9,21,9,0,0
"269",3,3,6,18,9
"270",3,3,6,27,0
"271",3,6,6,21,3
"272",3,3,33,0,0
