"","x"
"1",12
"2",5
"3",6
"4",12
"5",9
"6",10
"7",10
"8",13
"9",8
"10",10
"11",10
"12",7
"13",8
"14",4
"15",8
"16",13
"17",14
"18",14
"19",15
"20",13
"21",10
"22",6
"23",5
"24",8
"25",11
"26",8
"27",9
"28",11
"29",14
"30",10
"31",9
"32",6
"33",7
"34",11
"35",14
"36",12
"37",11
"38",13
"39",5
"40",7
"41",9
"42",9
"43",12
"44",12
"45",14
"46",14
"47",12
"48",9
"49",9
"50",14
"51",12
"52",10
"53",10
"54",11
"55",10
"56",4
"57",10
"58",11
"59",11
"60",11
"61",10
"62",11
"63",9
"64",8
"65",7
"66",10
"67",9
"68",12
"69",12
"70",12
"71",8
"72",10
"73",14
"74",10
"75",9
"76",10
"77",12
"78",12
"79",10
"80",12
"81",12
"82",10
"83",8
"84",6
"85",12
"86",7
"87",7
"88",8
"89",3
"90",13
"91",12
"92",8
"93",14
"94",11
"95",6
"96",5
"97",9
"98",10
"99",12
"100",9
"101",8
"102",5
"103",11
"104",10
"105",10
"106",15
"107",11
"108",11
"109",10
"110",14
"111",10
"112",9
"113",10
"114",9
"115",10
"116",6
"117",9
"118",7
"119",6
"120",13
"121",10
"122",4
"123",13
"124",15
"125",7
"126",8
"127",12
"128",8
"129",5
"130",10
"131",9
"132",10
"133",8
"134",9
"135",7
"136",8
"137",12
"138",12
"139",12
"140",8
"141",10
"142",14
"143",12
"144",9
"145",12
"146",8
"147",10
"148",8
"149",12
"150",11
"151",6
"152",7
"153",10
"154",14
"155",11
"156",13
"157",8
"158",11
"159",14
"160",6
"161",5
"162",10
"163",10
"164",14
"165",12
"166",9
"167",12
"168",10
"169",6
"170",8
"171",12
"172",12
"173",9
"174",13
"175",14
"176",12
"177",5
"178",10
"179",11
"180",11
"181",4
"182",14
"183",8
"184",11
"185",14
"186",7
"187",11
"188",12
"189",7
"190",12
"191",4
"192",12
"193",12
"194",12
"195",12
"196",12
"197",11
"198",5
"199",11
"200",5
"201",5
"202",14
"203",9
"204",8
"205",11
"206",7
"207",7
"208",9
"209",8
"210",12
"211",10
"212",13
"213",11
"214",10
"215",9
"216",15
"217",16
"218",6
"219",9
"220",13
"221",13
"222",14
"223",12
"224",10
"225",11
"226",12
"227",7
"228",12
"229",8
"230",12
"231",5
"232",11
"233",8
"234",14
"235",8
"236",5
"237",10
"238",14
"239",14
"240",12
"241",15
"242",12
"243",5
"244",15
"245",10
"246",9
"247",9
"248",6
"249",9
"250",10
"251",10
"252",7
"253",9
"254",12
"255",8
"256",11
"257",2
"258",4
"259",9
"260",8
"261",10
"262",11
"263",16
"264",5
"265",9
"266",5
"267",11
"268",6
"269",4
"270",10
"271",9
"272",7
"273",10
"274",13
"275",9
"276",7
"277",7
"278",13
"279",11
"280",10
"281",7
"282",10
"283",6
"284",16
"285",9
"286",10
"287",11
"288",10
"289",10
"290",11
"291",7
"292",6
"293",10
"294",10
"295",12
"296",8
"297",10
"298",10
"299",9
"300",9
"301",6
"302",14
"303",11
"304",9
"305",4
"306",8
"307",12
"308",13
"309",10
"310",10
"311",6
"312",11
"313",9
"314",7
"315",8
"316",10
"317",6
"318",6
"319",15
"320",15
"321",7
"322",10
"323",14
"324",7
"325",13
"326",7
"327",14
"328",10
"329",11
"330",8
"331",10
"332",6
"333",9
"334",10
"335",11
"336",7
"337",7
"338",14
"339",17
"340",9
"341",8
"342",8
"343",14
"344",9
"345",13
"346",7
"347",8
"348",17
"349",8
"350",12
"351",14
"352",10
"353",11
"354",8
"355",14
"356",11
"357",12
"358",10
"359",10
"360",7
"361",13
"362",9
"363",9
"364",10
"365",10
"366",12
"367",13
"368",13
"369",14
"370",10
"371",6
"372",17
"373",11
"374",10
"375",8
"376",10
"377",12
"378",8
"379",9
"380",12
"381",13
"382",5
"383",8
"384",7
"385",13
"386",11
"387",11
"388",10
"389",9
"390",12
"391",11
"392",7
"393",17
"394",7
"395",15
"396",9
"397",13
"398",13
"399",12
"400",13
"401",1
"402",9
"403",11
"404",6
"405",8
"406",10
"407",6
"408",13
"409",10
"410",18
"411",13
"412",10
"413",11
"414",8
"415",6
"416",14
"417",11
"418",12
"419",10
"420",11
"421",12
"422",9
"423",14
"424",10
"425",9
"426",11
"427",8
"428",3
"429",10
"430",14
"431",9
"432",7
"433",10
"434",11
"435",13
"436",14
"437",6
"438",14
"439",12
"440",7
"441",13
"442",9
"443",12
"444",7
"445",13
"446",15
"447",14
"448",10
"449",14
"450",8
"451",14
"452",10
"453",7
"454",11
"455",6
"456",8
"457",6
"458",8
"459",10
"460",13
"461",14
"462",13
"463",9
"464",14
"465",12
"466",12
"467",13
"468",11
"469",14
"470",10
"471",10
"472",14
"473",10
"474",7
"475",9
"476",11
"477",14
"478",12
"479",11
"480",12
"481",14
"482",3
"483",5
"484",11
"485",5
"486",8
"487",10
"488",9
"489",13
"490",9
"491",10
"492",12
"493",10
"494",13
"495",7
"496",9
"497",6
"498",10
"499",12
"500",12
"501",12
"502",10
"503",8
"504",4
"505",13
"506",12
"507",13
"508",9
"509",10
"510",13
"511",11
"512",9
"513",5
"514",13
"515",7
"516",13
"517",12
"518",12
"519",15
"520",12
"521",8
"522",8
"523",10
"524",14
"525",5
"526",10
"527",11
"528",14
"529",10
"530",7
"531",10
"532",13
"533",9
"534",11
"535",11
"536",9
"537",8
"538",9
"539",6
"540",6
"541",8
"542",13
"543",13
"544",10
"545",11
"546",11
"547",10
"548",10
"549",8
"550",8
"551",17
"552",8
"553",7
"554",9
"555",9
"556",12
"557",9
"558",9
"559",8
"560",14
"561",9
"562",6
"563",11
"564",13
"565",9
"566",7
"567",10
"568",11
"569",12
"570",12
"571",13
"572",10
"573",9
"574",12
"575",13
"576",9
"577",15
"578",13
"579",7
"580",5
"581",8
"582",11
"583",14
"584",9
"585",10
"586",11
"587",13
"588",13
"589",11
"590",15
"591",12
"592",8
"593",10
"594",8
"595",8
"596",9
"597",11
"598",13
"599",10
"600",14
"601",10
"602",15
"603",6
"604",12
"605",11
"606",11
"607",11
"608",12
"609",5
"610",14
"611",7
"612",11
"613",6
"614",11
"615",10
"616",15
"617",11
"618",11
"619",10
"620",10
"621",8
"622",8
"623",11
"624",14
"625",9
"626",9
"627",6
"628",10
"629",13
"630",12
"631",6
"632",9
"633",10
"634",6
"635",8
"636",11
"637",11
"638",10
"639",14
"640",10
"641",14
"642",10
"643",11
"644",12
"645",11
"646",14
"647",11
"648",9
"649",12
"650",10
"651",6
"652",9
"653",6
"654",7
"655",4
"656",9
"657",10
"658",7
"659",9
"660",12
"661",14
"662",9
"663",14
"664",5
"665",9
"666",9
"667",13
"668",12
"669",16
"670",11
"671",10
"672",10
"673",13
"674",9
"675",9
"676",12
"677",7
"678",12
"679",8
"680",10
"681",8
"682",9
"683",8
"684",7
"685",12
"686",10
"687",13
"688",15
"689",11
"690",10
"691",9
"692",11
"693",13
"694",12
"695",10
"696",5
"697",13
"698",11
"699",10
"700",12
"701",12
"702",10
"703",12
"704",10
"705",12
"706",9
"707",11
"708",8
"709",13
"710",8
"711",10
"712",10
"713",13
"714",9
"715",16
"716",10
"717",14
"718",7
"719",16
"720",10
"721",10
"722",14
"723",9
"724",6
"725",10
"726",9
"727",12
"728",6
"729",9
"730",17
"731",8
"732",12
"733",7
"734",7
"735",12
"736",11
"737",12
"738",10
"739",12
"740",12
"741",9
"742",15
"743",11
