"","1","2","3","4","5"
"Probability of clinician DLT",0.05,0.05,0.25,0.4,0.55
"Probability of patient DLT",0.17,0.18,0.35,0.5,0.65
"Probability recommended as MTD",0.0042,0.1812,0.7672,0.0474,0
"Probability of clinician DLT1",0.05,0.25,0.4,0.55,0.7
"Probability of patient DLT1",0.1,0.15,0.35,0.5,0.65
"Probability recommended as MTD1",0.0534,0.7412,0.2036,0.0018,0
"Probability of clinician DLT2",0.01,0.02,0.05,0.1,0.25
"Probability of patient DLT2",0.04,0.09,0.17,0.2,0.35
"Probability recommended as MTD2",0,2e-04,0.0438,0.4076,0.5484
"Probability of clinician DLT3",0.02,0.05,0.1,0.25,0.4
"Probability of patient DLT3",0.09,0.17,0.2,0.35,0.5
"Probability recommended as MTD3",0,0.0202,0.326,0.6324,0.0214
"Probability of clinician DLT4",0.05,0.1,0.16,0.25,0.4
"Probability of patient DLT4",0.05,0.2,0.35,0.5,0.65
"Probability recommended as MTD4",0,0.148,0.7306,0.121,4e-04
"Probability of clinician DLT5",0.05,0.18,0.2,0.25,0.4
"Probability of patient DLT5",0.17,0.35,0.5,0.65,0.8
"Probability recommended as MTD5",0.0734,0.7626,0.162,0.002,0
"Probability of clinician DLT6",0.01,0.05,0.1,0.16,0.25
"Probability of patient DLT6",0.04,0.05,0.2,0.35,0.5
"Probability recommended as MTD6",0,8e-04,0.186,0.7184,0.0948
"Probability of clinician DLT7",0.25,0.4,0.55,0.7,0.8
"Probability of patient DLT7",0.35,0.5,0.65,0.8,0.85
"Probability recommended as MTD7",0.9218,0.0768,0,0,0
"Probability of clinician DLT8",0.45,0.5,0.55,0.7,0.8
"Probability of patient DLT8",0.55,0.6,0.65,0.8,0.85
"Probability recommended as MTD8",0.6932,8e-04,0,0,0
