"","x"
"1",10
"2",9
"3",11
"4",11
"5",12
"6",12
"7",9
"8",12
"9",12
"10",15
"11",10
"12",10
"13",8
"14",13
"15",12
"16",11
"17",14
"18",12
"19",10
"20",10
"21",13
"22",10
"23",13
"24",11
"25",10
"26",13
"27",11
"28",11
"29",15
"30",10
"31",10
"32",11
"33",11
"34",11
"35",10
"36",11
"37",10
"38",9
"39",12
"40",13
"41",12
"42",11
"43",13
"44",12
"45",11
"46",13
"47",12
"48",13
"49",16
"50",11
"51",15
"52",14
"53",8
"54",16
"55",12
"56",11
"57",12
"58",11
"59",9
"60",10
"61",13
"62",8
"63",10
"64",14
"65",12
"66",10
"67",8
"68",13
"69",10
"70",15
"71",14
"72",12
"73",9
"74",7
"75",11
"76",10
"77",14
"78",11
"79",12
"80",13
"81",11
"82",13
"83",14
"84",11
"85",11
"86",13
"87",12
"88",10
"89",12
"90",8
"91",13
"92",9
"93",10
"94",13
"95",13
"96",6
"97",8
"98",13
"99",11
"100",8
"101",15
"102",11
"103",13
"104",14
"105",13
"106",12
"107",12
"108",10
"109",11
"110",13
"111",7
"112",13
"113",11
"114",14
"115",12
"116",13
"117",13
"118",8
"119",13
"120",10
"121",10
"122",9
"123",12
"124",11
"125",12
"126",9
"127",13
"128",11
"129",12
"130",13
"131",13
"132",9
"133",10
"134",8
"135",12
"136",13
"137",14
"138",12
"139",8
"140",12
"141",11
"142",9
"143",11
"144",8
"145",5
"146",12
"147",12
"148",8
"149",12
"150",13
"151",9
"152",11
"153",9
"154",11
"155",10
"156",11
"157",12
"158",12
"159",14
"160",7
"161",14
"162",7
"163",12
"164",13
"165",10
"166",11
"167",14
"168",9
"169",14
"170",12
"171",15
"172",11
"173",10
"174",13
"175",11
"176",12
"177",9
"178",13
"179",8
"180",8
"181",12
"182",10
"183",15
"184",8
"185",12
"186",8
"187",10
"188",3
"189",12
"190",12
"191",11
"192",11
"193",14
"194",13
"195",9
"196",10
"197",9
"198",13
"199",12
"200",15
"201",12
"202",12
"203",12
"204",14
"205",12
"206",14
"207",13
"208",10
"209",12
"210",16
"211",11
"212",10
"213",11
"214",11
"215",13
"216",9
"217",11
"218",10
"219",13
"220",11
"221",14
"222",10
"223",13
"224",12
"225",12
"226",14
"227",10
"228",10
"229",14
"230",13
"231",13
"232",12
"233",12
"234",14
"235",16
"236",14
"237",12
"238",10
"239",4
"240",10
"241",13
"242",12
"243",8
"244",15
"245",10
"246",11
"247",12
"248",16
"249",14
"250",13
"251",14
"252",13
"253",6
"254",13
"255",13
"256",14
"257",14
"258",11
"259",12
"260",11
"261",9
"262",11
"263",10
"264",5
"265",9
"266",7
"267",10
"268",12
"269",10
"270",13
"271",9
"272",11
"273",10
"274",12
"275",11
"276",11
"277",11
"278",11
"279",13
"280",8
"281",8
"282",7
"283",9
"284",7
"285",9
"286",13
"287",9
"288",11
"289",12
"290",9
"291",12
"292",15
"293",14
"294",10
"295",7
"296",10
"297",14
"298",11
"299",14
"300",12
"301",10
"302",10
"303",10
"304",11
"305",13
"306",13
"307",8
"308",13
"309",10
"310",13
