"","x"
"1",5
"2",12
"3",4
"4",1
"5",6
"6",4
"7",8
"8",12
"9",8
"10",9
"11",6
"12",5
"13",5
"14",5
"15",8
"16",6
"17",5
"18",8
"19",11
"20",3
"21",9
"22",2
"23",6
"24",6
"25",7
"26",6
"27",9
"28",6
"29",6
"30",7
"31",6
"32",5
"33",5
"34",2
"35",7
"36",11
"37",2
"38",4
"39",9
"40",11
"41",6
"42",8
"43",0
"44",3
"45",6
"46",6
"47",3
"48",2
"49",6
"50",5
"51",4
"52",3
"53",9
"54",3
"55",5
"56",5
"57",6
"58",8
"59",7
"60",4
"61",6
"62",5
"63",11
"64",10
"65",6
"66",7
"67",3
"68",8
"69",4
"70",5
"71",9
"72",5
"73",8
"74",5
"75",9
"76",9
"77",6
"78",6
"79",4
"80",4
"81",6
"82",8
"83",9
"84",2
"85",7
"86",3
"87",8
"88",8
"89",8
"90",4
"91",7
"92",8
"93",5
"94",4
"95",8
"96",5
"97",6
"98",4
"99",6
"100",7
"101",11
"102",6
"103",6
"104",6
"105",7
"106",9
"107",5
"108",6
"109",6
"110",6
"111",10
"112",4
"113",8
"114",3
"115",4
"116",8
"117",5
"118",9
"119",8
"120",9
"121",9
"122",6
"123",4
"124",6
"125",6
"126",5
"127",8
"128",4
"129",9
"130",6
"131",5
"132",9
"133",5
"134",4
"135",4
"136",9
"137",12
"138",3
"139",5
"140",4
"141",5
"142",4
"143",8
"144",6
"145",9
"146",4
"147",4
"148",1
"149",10
"150",3
"151",10
"152",5
"153",9
"154",5
"155",9
"156",8
"157",6
"158",9
"159",5
"160",10
"161",4
"162",5
"163",7
"164",9
"165",3
"166",5
"167",9
"168",7
"169",11
"170",8
"171",8
"172",9
"173",7
"174",11
"175",8
"176",4
"177",11
"178",5
"179",3
"180",6
"181",6
"182",6
"183",6
"184",4
"185",7
"186",2
"187",5
"188",8
"189",6
"190",6
"191",4
"192",8
"193",6
"194",8
"195",8
"196",11
"197",11
"198",7
"199",6
"200",6
"201",4
"202",4
"203",6
"204",7
"205",8
"206",4
"207",8
"208",6
"209",11
"210",3
"211",6
"212",9
"213",4
"214",6
"215",4
"216",5
"217",3
"218",9
"219",6
"220",8
"221",9
"222",9
"223",7
"224",6
"225",7
"226",5
"227",7
"228",8
"229",5
"230",6
"231",7
"232",7
"233",6
"234",3
"235",10
"236",3
"237",1
"238",8
"239",9
"240",9
"241",8
"242",2
"243",10
"244",6
"245",5
"246",3
"247",7
"248",10
"249",11
"250",5
"251",5
"252",6
"253",5
"254",6
"255",7
"256",3
"257",8
"258",4
"259",6
"260",5
"261",6
"262",3
"263",8
"264",7
"265",3
"266",3
"267",4
"268",4
"269",5
"270",5
"271",5
"272",4
"273",6
"274",8
"275",9
"276",6
"277",8
"278",7
"279",8
"280",5
"281",6
"282",6
"283",7
"284",5
"285",5
"286",6
"287",4
"288",8
"289",5
"290",3
"291",2
"292",11
"293",6
"294",2
"295",9
"296",7
"297",8
"298",8
"299",10
"300",7
"301",7
"302",6
"303",7
"304",7
"305",5
"306",5
"307",2
"308",2
"309",4
"310",9
"311",7
"312",7
"313",8
"314",10
"315",11
"316",1
"317",7
"318",6
"319",8
"320",9
"321",7
"322",3
"323",4
"324",5
"325",7
"326",3
"327",10
"328",9
"329",9
"330",5
"331",6
"332",6
"333",4
"334",6
"335",6
"336",7
"337",6
"338",5
"339",5
"340",6
"341",11
"342",4
"343",7
"344",6
"345",4
"346",7
"347",4
"348",7
"349",7
"350",4
"351",7
"352",10
"353",11
"354",6
"355",7
"356",4
"357",8
"358",2
"359",5
"360",3
"361",6
"362",4
"363",8
"364",5
"365",9
"366",4
"367",10
"368",4
"369",6
"370",5
"371",7
"372",7
"373",7
"374",5
"375",6
"376",6
"377",10
"378",9
"379",9
"380",9
"381",8
"382",11
"383",6
"384",7
"385",7
"386",7
"387",6
"388",4
"389",7
"390",8
"391",7
"392",6
"393",6
"394",7
"395",7
"396",6
"397",6
"398",2
"399",5
"400",4
"401",6
"402",6
"403",2
"404",5
"405",7
"406",8
"407",4
"408",2
"409",4
"410",5
"411",6
"412",7
"413",5
"414",4
