"","V1","V2","V3","V4","V5"
"1",39,0,0,0,0
"2",36,3,0,0,0
"3",33,6,0,0,0
"4",24,15,0,0,0
"5",36,3,0,0,0
"6",33,6,0,0,0
"7",36,3,0,0,0
"8",36,3,0,0,0
"9",39,0,0,0,0
"10",36,3,0,0,0
"11",27,12,0,0,0
"12",39,0,0,0,0
"13",33,6,0,0,0
"14",33,6,0,0,0
"15",3,36,0,0,0
"16",36,3,0,0,0
"17",12,24,3,0,0
"18",36,3,0,0,0
"19",24,15,0,0,0
"20",33,6,0,0,0
"21",36,3,0,0,0
"22",21,18,0,0,0
"23",39,0,0,0,0
"24",27,9,3,0,0
"25",30,9,0,0,0
"26",24,12,3,0,0
"27",24,12,3,0,0
"28",39,0,0,0,0
"29",36,3,0,0,0
"30",6,33,0,0,0
"31",30,9,0,0,0
"32",33,6,0,0,0
"33",33,6,0,0,0
"34",33,6,0,0,0
"35",36,3,0,0,0
"36",33,6,0,0,0
"37",33,6,0,0,0
"38",33,6,0,0,0
"39",27,12,0,0,0
"40",39,0,0,0,0
"41",39,0,0,0,0
"42",27,12,0,0,0
"43",39,0,0,0,0
"44",36,3,0,0,0
"45",39,0,0,0,0
"46",33,6,0,0,0
"47",30,9,0,0,0
"48",27,12,0,0,0
"49",24,12,3,0,0
"50",24,15,0,0,0
"51",39,0,0,0,0
"52",36,3,0,0,0
"53",39,0,0,0,0
"54",36,3,0,0,0
"55",39,0,0,0,0
"56",36,3,0,0,0
"57",27,9,3,0,0
"58",39,0,0,0,0
"59",36,3,0,0,0
"60",39,0,0,0,0
"61",6,33,0,0,0
"62",39,0,0,0,0
"63",24,15,0,0,0
"64",30,9,0,0,0
"65",36,3,0,0,0
"66",39,0,0,0,0
"67",27,9,3,0,0
"68",33,6,0,0,0
"69",6,24,9,0,0
"70",3,30,6,0,0
"71",36,3,0,0,0
"72",30,9,0,0,0
"73",36,3,0,0,0
"74",36,3,0,0,0
"75",21,18,0,0,0
"76",15,24,0,0,0
"77",39,0,0,0,0
"78",27,9,3,0,0
"79",9,18,12,0,0
"80",3,33,3,0,0
"81",39,0,0,0,0
"82",39,0,0,0,0
"83",21,18,0,0,0
"84",27,12,0,0,0
"85",36,3,0,0,0
"86",33,6,0,0,0
"87",39,0,0,0,0
"88",30,6,3,0,0
"89",24,15,0,0,0
"90",39,0,0,0,0
"91",39,0,0,0,0
"92",15,24,0,0,0
"93",39,0,0,0,0
"94",9,30,0,0,0
"95",33,6,0,0,0
"96",21,15,3,0,0
"97",30,9,0,0,0
"98",33,6,0,0,0
"99",6,33,0,0,0
"100",33,6,0,0,0
"101",27,12,0,0,0
"102",27,9,3,0,0
"103",39,0,0,0,0
"104",36,3,0,0,0
"105",39,0,0,0,0
"106",39,0,0,0,0
"107",9,30,0,0,0
"108",39,0,0,0,0
"109",36,3,0,0,0
"110",15,24,0,0,0
"111",36,3,0,0,0
"112",27,6,6,0,0
"113",36,3,0,0,0
"114",30,9,0,0,0
"115",36,3,0,0,0
"116",27,6,6,0,0
"117",36,3,0,0,0
"118",27,12,0,0,0
"119",39,0,0,0,0
"120",27,12,0,0,0
"121",39,0,0,0,0
"122",36,3,0,0,0
"123",39,0,0,0,0
"124",30,9,0,0,0
"125",36,3,0,0,0
"126",24,15,0,0,0
"127",30,9,0,0,0
"128",39,0,0,0,0
"129",24,15,0,0,0
"130",39,0,0,0,0
"131",39,0,0,0,0
"132",39,0,0,0,0
"133",33,6,0,0,0
"134",36,3,0,0,0
"135",39,0,0,0,0
"136",18,18,3,0,0
"137",39,0,0,0,0
"138",39,0,0,0,0
"139",39,0,0,0,0
"140",39,0,0,0,0
"141",30,9,0,0,0
"142",39,0,0,0,0
"143",39,0,0,0,0
"144",18,21,0,0,0
"145",39,0,0,0,0
"146",33,6,0,0,0
"147",6,33,0,0,0
"148",33,6,0,0,0
"149",24,15,0,0,0
"150",36,3,0,0,0
"151",39,0,0,0,0
"152",36,3,0,0,0
"153",27,12,0,0,0
"154",33,6,0,0,0
"155",36,3,0,0,0
"156",39,0,0,0,0
"157",33,6,0,0,0
"158",36,3,0,0,0
"159",39,0,0,0,0
"160",33,6,0,0,0
"161",36,3,0,0,0
"162",30,9,0,0,0
"163",36,3,0,0,0
"164",21,18,0,0,0
"165",18,18,3,0,0
"166",36,3,0,0,0
"167",36,3,0,0,0
"168",36,3,0,0,0
"169",36,3,0,0,0
"170",36,3,0,0,0
"171",39,0,0,0,0
"172",24,15,0,0,0
"173",36,3,0,0,0
"174",39,0,0,0,0
"175",39,0,0,0,0
"176",39,0,0,0,0
"177",21,12,6,0,0
"178",24,15,0,0,0
"179",39,0,0,0,0
"180",39,0,0,0,0
"181",30,9,0,0,0
"182",36,3,0,0,0
"183",36,3,0,0,0
"184",36,3,0,0,0
"185",39,0,0,0,0
"186",33,6,0,0,0
"187",39,0,0,0,0
"188",30,9,0,0,0
"189",33,6,0,0,0
"190",3,36,0,0,0
"191",39,0,0,0,0
"192",39,0,0,0,0
"193",33,6,0,0,0
"194",3,18,18,0,0
"195",39,0,0,0,0
"196",33,6,0,0,0
"197",36,3,0,0,0
"198",39,0,0,0,0
"199",30,9,0,0,0
"200",30,9,0,0,0
"201",30,9,0,0,0
"202",36,3,0,0,0
"203",33,6,0,0,0
"204",3,9,27,0,0
"205",24,15,0,0,0
"206",24,15,0,0,0
"207",30,9,0,0,0
"208",6,33,0,0,0
"209",33,6,0,0,0
"210",30,9,0,0,0
"211",39,0,0,0,0
"212",39,0,0,0,0
"213",24,12,3,0,0
"214",39,0,0,0,0
"215",39,0,0,0,0
"216",21,18,0,0,0
