"","1","2","3","4","5"
"Probability of clinician DLT",0.05,0.1,0.12,0.15,0.2
"Probability of patient DLT",0.04,0.09,0.17,0.2,0.25
"Probability recommended as MTD",0,0.0048,0.1056,0.472,0.4176
"Probability of clinician DLT1",0.05,0.1,0.12,0.15,0.2
"Probability of patient DLT1",0.09,0.17,0.2,0.25,0.35
"Probability recommended as MTD1",0,0.0208,0.2272,0.5272,0.2248
"Probability of clinician DLT2",0.05,0.1,0.12,0.15,0.2
"Probability of patient DLT2",0.17,0.2,0.25,0.35,0.5
"Probability recommended as MTD2",0.0056,0.0544,0.3824,0.5128,0.0448
"Probability of clinician DLT3",0.05,0.1,0.12,0.15,0.2
"Probability of patient DLT3",0.2,0.25,0.35,0.5,0.65
"Probability recommended as MTD3",0.0264,0.2336,0.6088,0.1296,0.0016
"Probability of clinician DLT4",0.05,0.1,0.12,0.15,0.2
"Probability of patient DLT4",0.25,0.35,0.5,0.65,0.8
"Probability recommended as MTD4",0.1552,0.6296,0.2128,0.0024,0
"Probability of clinician DLT5",0.05,0.1,0.12,0.15,0.2
"Probability of patient DLT5",0.35,0.5,0.65,0.8,0.85
"Probability recommended as MTD5",0.7496,0.2448,0.0056,0,0
"Probability of clinician DLT6",0.1,0.12,0.15,0.2,0.25
"Probability of patient DLT6",0.04,0.09,0.17,0.2,0.25
"Probability recommended as MTD6",0.0056,0.044,0.24,0.4984,0.212
"Probability of clinician DLT7",0.1,0.12,0.15,0.2,0.25
"Probability of patient DLT7",0.09,0.17,0.2,0.25,0.35
"Probability recommended as MTD7",0.0032,0.0464,0.3032,0.5008,0.1464
"Probability of clinician DLT8",0.1,0.12,0.15,0.2,0.25
"Probability of patient DLT8",0.17,0.2,0.25,0.35,0.5
"Probability recommended as MTD8",0.0096,0.1152,0.428,0.4184,0.0288
"Probability of clinician DLT9",0.1,0.12,0.15,0.2,0.25
"Probability of patient DLT9",0.2,0.25,0.35,0.5,0.65
"Probability recommended as MTD9",0.0256,0.2408,0.6144,0.1184,8e-04
"Probability of clinician DLT10",0.1,0.12,0.15,0.2,0.25
"Probability of patient DLT10",0.25,0.35,0.5,0.65,0.8
"Probability recommended as MTD10",0.1616,0.6304,0.2048,0.0032,0
"Probability of clinician DLT11",0.1,0.12,0.15,0.2,0.25
"Probability of patient DLT11",0.35,0.5,0.65,0.8,0.85
"Probability recommended as MTD11",0.7488,0.2464,0.0048,0,0
"Probability of clinician DLT12",0.12,0.15,0.2,0.25,0.4
"Probability of patient DLT12",0.04,0.09,0.17,0.2,0.25
"Probability recommended as MTD12",0.012,0.1072,0.3952,0.4296,0.056
"Probability of clinician DLT13",0.12,0.15,0.2,0.25,0.4
"Probability of patient DLT13",0.09,0.17,0.2,0.25,0.35
"Probability recommended as MTD13",0.008,0.116,0.4248,0.412,0.0392
"Probability of clinician DLT14",0.12,0.15,0.2,0.25,0.4
"Probability of patient DLT14",0.17,0.2,0.25,0.35,0.5
"Probability recommended as MTD14",0.0136,0.1696,0.5056,0.3008,0.0104
"Probability of clinician DLT15",0.12,0.15,0.2,0.25,0.4
"Probability of patient DLT15",0.2,0.25,0.35,0.5,0.65
"Probability recommended as MTD15",0.0224,0.3232,0.5848,0.0696,0
"Probability of clinician DLT16",0.12,0.15,0.2,0.25,0.4
"Probability of patient DLT16",0.25,0.35,0.5,0.65,0.8
"Probability recommended as MTD16",0.1776,0.644,0.1752,0.0032,0
"Probability of clinician DLT17",0.12,0.15,0.2,0.25,0.4
"Probability of patient DLT17",0.35,0.5,0.65,0.8,0.85
"Probability recommended as MTD17",0.7584,0.2384,0.0032,0,0
"Probability of clinician DLT18",0.15,0.2,0.25,0.4,0.55
"Probability of patient DLT18",0.04,0.09,0.17,0.2,0.25
"Probability recommended as MTD18",0.0424,0.2896,0.5448,0.1216,0.0016
"Probability of clinician DLT19",0.15,0.2,0.25,0.4,0.55
"Probability of patient DLT19",0.09,0.17,0.2,0.25,0.35
"Probability recommended as MTD19",0.0368,0.324,0.5264,0.1128,0
"Probability of clinician DLT20",0.15,0.2,0.25,0.4,0.55
"Probability of patient DLT20",0.17,0.2,0.25,0.35,0.5
"Probability recommended as MTD20",0.0592,0.336,0.52,0.0848,0
"Probability of clinician DLT21",0.15,0.2,0.25,0.4,0.55
"Probability of patient DLT21",0.2,0.25,0.35,0.5,0.65
"Probability recommended as MTD21",0.06,0.4176,0.4912,0.0312,0
"Probability of clinician DLT22",0.15,0.2,0.25,0.4,0.55
"Probability of patient DLT22",0.25,0.35,0.5,0.65,0.8
"Probability recommended as MTD22",0.1992,0.6416,0.1584,8e-04,0
"Probability of clinician DLT23",0.15,0.2,0.25,0.4,0.55
"Probability of patient DLT23",0.35,0.5,0.65,0.8,0.85
"Probability recommended as MTD23",0.7512,0.2448,0.004,0,0
"Probability of clinician DLT24",0.2,0.25,0.4,0.55,0.6
"Probability of patient DLT24",0.04,0.09,0.17,0.2,0.25
"Probability recommended as MTD24",0.1848,0.6248,0.188,0.0024,0
"Probability of clinician DLT25",0.2,0.25,0.4,0.55,0.6
"Probability of patient DLT25",0.09,0.17,0.2,0.25,0.35
"Probability recommended as MTD25",0.2232,0.6008,0.1736,0.0024,0
"Probability of clinician DLT26",0.2,0.25,0.4,0.55,0.6
"Probability of patient DLT26",0.17,0.2,0.25,0.35,0.5
"Probability recommended as MTD26",0.2304,0.5896,0.1784,0.0016,0
"Probability of clinician DLT27",0.2,0.25,0.4,0.55,0.6
"Probability of patient DLT27",0.2,0.25,0.35,0.5,0.65
"Probability recommended as MTD27",0.2184,0.6024,0.1792,0,0
"Probability of clinician DLT28",0.2,0.25,0.4,0.55,0.6
"Probability of patient DLT28",0.25,0.35,0.5,0.65,0.8
"Probability recommended as MTD28",0.3096,0.628,0.0624,0,0
"Probability of clinician DLT29",0.2,0.25,0.4,0.55,0.6
"Probability of patient DLT29",0.35,0.5,0.65,0.8,0.85
"Probability recommended as MTD29",0.8048,0.1952,0,0,0
"Probability of clinician DLT30",0.25,0.4,0.55,0.6,0.7
"Probability of patient DLT30",0.04,0.09,0.17,0.2,0.25
"Probability recommended as MTD30",0.748,0.248,0.004,0,0
