"","x"
"1",22
"2",23
"3",17
"4",17
"5",17
"6",19
"7",22
"8",17
"9",23
"10",16
"11",17
"12",25
"13",17
"14",23
"15",24
"16",16
"17",20
"18",21
"19",17
"20",20
"21",22
"22",16
"23",21
"24",20
"25",19
"26",20
"27",15
"28",19
"29",24
"30",20
"31",22
"32",22
"33",24
"34",18
"35",22
"36",19
"37",19
"38",16
"39",19
"40",15
"41",19
"42",24
"43",23
"44",24
"45",16
"46",16
"47",22
"48",23
"49",21
"50",19
"51",21
"52",24
"53",15
"54",20
"55",20
"56",20
"57",16
"58",19
"59",23
"60",22
"61",15
"62",15
"63",17
"64",20
"65",19
"66",19
"67",21
"68",22
"69",18
"70",17
"71",21
"72",22
"73",19
"74",22
"75",21
"76",16
"77",22
"78",21
"79",20
"80",16
"81",22
"82",21
"83",20
"84",19
"85",17
"86",21
"87",19
"88",18
"89",20
"90",21
"91",17
"92",21
"93",19
"94",22
"95",24
"96",19
"97",19
"98",23
"99",17
"100",22
"101",21
"102",19
"103",19
"104",22
"105",19
"106",19
"107",21
"108",20
"109",18
"110",18
"111",16
"112",16
"113",18
"114",24
"115",21
"116",13
"117",18
"118",20
"119",21
"120",21
"121",16
"122",20
"123",17
"124",20
"125",21
"126",26
"127",16
"128",20
"129",20
"130",22
"131",18
"132",18
"133",20
"134",19
"135",20
"136",15
"137",19
"138",26
"139",20
"140",19
"141",21
"142",17
"143",19
"144",21
"145",22
"146",17
"147",22
"148",16
"149",14
"150",17
"151",18
"152",22
"153",19
"154",16
"155",20
"156",18
"157",23
"158",22
"159",22
"160",19
"161",15
"162",18
"163",18
"164",18
"165",21
"166",24
"167",15
"168",22
"169",20
"170",22
"171",19
"172",19
"173",22
"174",21
"175",17
"176",21
"177",17
"178",20
"179",22
"180",16
"181",16
"182",24
"183",18
"184",21
"185",19
"186",23
"187",25
"188",21
"189",22
"190",21
"191",19
"192",16
"193",20
"194",22
"195",24
"196",16
"197",19
"198",15
"199",18
"200",20
"201",15
"202",18
"203",23
"204",17
"205",23
"206",19
"207",22
"208",21
"209",22
"210",26
"211",19
"212",22
"213",18
"214",20
"215",19
"216",20
"217",17
"218",25
"219",26
"220",20
"221",22
"222",19
"223",21
"224",23
"225",16
"226",23
"227",22
"228",23
"229",23
"230",21
"231",18
"232",16
"233",19
"234",19
"235",19
"236",18
"237",24
"238",23
"239",23
"240",17
"241",24
"242",20
"243",20
"244",18
"245",18
"246",21
"247",19
"248",20
"249",19
"250",20
"251",21
"252",18
"253",16
"254",22
"255",24
"256",22
"257",18
"258",25
"259",21
"260",15
"261",19
"262",21
"263",22
"264",21
"265",21
"266",16
"267",18
"268",15
"269",15
"270",15
"271",18
"272",19
"273",20
"274",22
"275",24
"276",20
"277",23
"278",21
"279",20
"280",23
"281",21
"282",20
"283",18
"284",20
"285",23
"286",16
"287",19
"288",22
"289",27
"290",22
"291",23
"292",21
"293",18
"294",21
"295",22
"296",24
"297",19
"298",23
"299",19
"300",20
"301",22
"302",19
"303",24
"304",17
"305",21
"306",19
"307",20
"308",17
"309",22
"310",18
"311",16
"312",25
"313",21
"314",17
"315",24
"316",21
"317",19
"318",16
"319",19
"320",18
"321",21
"322",16
"323",22
"324",19
"325",25
