"","x"
"1",7
"2",8
"3",4
"4",2
"5",6
"6",9
"7",7
"8",5
"9",5
"10",4
"11",7
"12",8
"13",7
"14",6
"15",7
"16",5
"17",6
"18",5
"19",7
"20",6
"21",6
"22",5
"23",6
"24",8
"25",6
"26",7
"27",4
"28",7
"29",4
"30",7
"31",7
"32",6
"33",7
"34",7
"35",7
"36",8
"37",7
"38",5
"39",8
"40",3
"41",6
"42",7
"43",7
"44",6
"45",4
"46",5
"47",6
"48",6
"49",8
"50",7
"51",6
"52",4
"53",6
"54",7
"55",9
"56",8
"57",6
"58",6
"59",4
"60",7
"61",5
"62",6
"63",8
"64",4
"65",7
"66",6
"67",5
"68",6
"69",4
"70",5
"71",6
"72",7
"73",6
"74",6
"75",5
"76",6
"77",5
"78",2
"79",7
"80",4
"81",6
"82",3
"83",5
"84",5
"85",5
"86",7
"87",7
"88",6
"89",6
"90",5
"91",9
"92",7
"93",7
"94",6
"95",5
"96",6
"97",7
"98",6
"99",6
"100",7
"101",9
"102",4
"103",7
"104",7
"105",7
"106",3
"107",6
"108",9
"109",5
"110",6
"111",4
"112",7
"113",5
"114",5
"115",6
"116",3
"117",8
"118",8
"119",6
"120",6
"121",5
"122",7
"123",6
"124",7
"125",6
"126",4
"127",7
"128",4
"129",8
"130",5
"131",8
"132",6
"133",9
"134",7
"135",5
"136",7
"137",7
"138",4
"139",3
"140",7
"141",6
"142",7
"143",5
"144",5
"145",7
"146",8
"147",5
"148",5
"149",6
"150",4
"151",5
"152",7
"153",8
"154",4
"155",6
"156",8
"157",4
"158",9
"159",6
"160",5
"161",6
"162",6
"163",5
"164",8
"165",5
"166",6
"167",5
"168",7
"169",7
"170",8
"171",1
"172",9
"173",7
"174",6
"175",6
"176",7
"177",5
"178",6
"179",7
"180",7
"181",5
"182",4
"183",5
"184",6
"185",6
"186",5
"187",7
"188",8
"189",7
"190",6
"191",7
"192",5
"193",5
"194",0
"195",5
"196",7
"197",4
"198",7
"199",4
"200",7
"201",5
"202",7
"203",6
"204",4
"205",8
"206",7
"207",6
"208",4
"209",7
"210",6
"211",6
"212",7
"213",4
"214",8
"215",5
"216",5
"217",3
"218",7
"219",6
"220",4
"221",4
"222",5
"223",7
"224",7
"225",7
"226",6
"227",5
"228",6
"229",7
"230",4
"231",6
"232",6
"233",5
"234",8
"235",4
"236",6
"237",4
"238",7
"239",5
"240",6
"241",6
"242",6
"243",3
"244",4
"245",7
"246",9
"247",6
"248",6
"249",4
"250",6
"251",5
"252",2
"253",7
"254",3
"255",6
"256",7
"257",6
"258",6
"259",7
"260",8
"261",5
"262",6
"263",4
"264",6
"265",3
"266",5
"267",3
"268",6
"269",7
"270",4
"271",5
"272",6
"273",5
"274",7
"275",6
"276",5
"277",4
"278",8
"279",8
"280",7
"281",3
"282",4
"283",7
"284",5
"285",7
"286",6
"287",7
"288",5
"289",4
"290",6
"291",8
"292",8
"293",7
"294",6
"295",5
"296",6
"297",7
"298",6
"299",5
"300",7
"301",8
"302",6
"303",5
"304",7
"305",7
"306",3
"307",9
"308",6
"309",6
"310",5
"311",7
"312",5
"313",6
"314",5
"315",5
"316",8
"317",5
"318",2
"319",5
"320",7
"321",5
"322",6
"323",7
"324",4
"325",5
"326",5
"327",9
"328",6
"329",5
"330",7
"331",4
"332",7
"333",6
"334",6
"335",6
"336",9
"337",5
"338",7
"339",8
"340",8
"341",5
"342",5
"343",7
"344",6
"345",7
"346",3
"347",6
"348",3
"349",8
"350",8
"351",7
"352",6
"353",9
"354",4
"355",7
"356",5
"357",8
"358",7
"359",6
"360",5
"361",5
"362",5
"363",4
"364",10
"365",6
"366",6
"367",8
"368",6
"369",6
"370",8
"371",7
"372",8
"373",6
"374",4
"375",3
"376",4
"377",4
"378",5
"379",5
"380",7
"381",8
"382",4
"383",7
"384",5
"385",6
"386",7
"387",6
"388",7
"389",3
"390",4
"391",6
"392",8
"393",7
"394",7
"395",6
"396",7
"397",8
"398",5
"399",6
"400",5
"401",7
"402",7
"403",6
"404",7
"405",5
"406",7
"407",7
"408",9
"409",6
"410",6
"411",7
"412",8
"413",4
"414",8
"415",7
"416",7
"417",8
"418",5
"419",6
"420",7
"421",5
"422",7
"423",7
"424",6
"425",5
"426",7
"427",6
"428",5
"429",7
"430",6
"431",3
"432",7
"433",5
"434",7
"435",7
"436",5
"437",6
"438",5
"439",5
"440",6
"441",5
"442",8
"443",7
"444",7
"445",6
"446",6
"447",7
"448",6
"449",5
"450",6
"451",8
"452",6
"453",5
"454",6
"455",8
"456",8
"457",8
"458",6
"459",10
