"","V1","V2","V3","V4","V5"
"1",6,12,0,0,0
"2",12,6,0,0,0
"3",18,0,0,0,0
"4",18,0,0,0,0
"5",6,9,3,0,0
"6",12,6,0,0,0
"7",9,9,0,0,0
"8",15,3,0,0,0
"9",3,15,0,0,0
"10",12,6,0,0,0
"11",15,3,0,0,0
"12",18,0,0,0,0
"13",15,3,0,0,0
"14",6,12,0,0,0
"15",15,3,0,0,0
"16",18,0,0,0,0
"17",6,12,0,0,0
"18",15,3,0,0,0
"19",18,0,0,0,0
"20",3,15,0,0,0
"21",18,0,0,0,0
"22",12,6,0,0,0
"23",18,0,0,0,0
"24",3,15,0,0,0
"25",3,6,9,0,0
"26",6,12,0,0,0
"27",6,12,0,0,0
"28",6,12,0,0,0
"29",12,6,0,0,0
"30",15,3,0,0,0
"31",3,12,3,0,0
"32",3,6,9,0,0
"33",15,3,0,0,0
"34",15,3,0,0,0
"35",18,0,0,0,0
"36",6,12,0,0,0
"37",3,15,0,0,0
"38",12,6,0,0,0
"39",3,15,0,0,0
"40",18,0,0,0,0
"41",6,9,3,0,0
"42",15,3,0,0,0
"43",6,12,0,0,0
"44",12,6,0,0,0
"45",12,6,0,0,0
"46",9,6,3,0,0
"47",3,3,12,0,0
"48",6,12,0,0,0
"49",6,12,0,0,0
"50",6,12,0,0,0
"51",18,0,0,0,0
"52",18,0,0,0,0
"53",18,0,0,0,0
"54",15,3,0,0,0
"55",6,9,3,0,0
"56",12,6,0,0,0
"57",3,12,3,0,0
"58",12,6,0,0,0
"59",6,12,0,0,0
"60",18,0,0,0,0
"61",18,0,0,0,0
"62",18,0,0,0,0
"63",18,0,0,0,0
"64",18,0,0,0,0
"65",9,9,0,0,0
"66",3,9,6,0,0
"67",18,0,0,0,0
"68",18,0,0,0,0
"69",3,12,3,0,0
"70",18,0,0,0,0
"71",3,9,6,0,0
"72",3,12,3,0,0
"73",6,12,0,0,0
"74",3,9,6,0,0
"75",9,9,0,0,0
"76",18,0,0,0,0
"77",9,9,0,0,0
"78",18,0,0,0,0
"79",6,12,0,0,0
"80",6,12,0,0,0
"81",3,15,0,0,0
"82",3,3,12,0,0
"83",18,0,0,0,0
"84",18,0,0,0,0
"85",6,12,0,0,0
"86",12,6,0,0,0
"87",18,0,0,0,0
"88",18,0,0,0,0
"89",12,6,0,0,0
"90",3,6,9,0,0
"91",15,3,0,0,0
"92",18,0,0,0,0
"93",18,0,0,0,0
"94",15,3,0,0,0
"95",12,6,0,0,0
"96",6,9,3,0,0
"97",6,12,0,0,0
"98",3,9,6,0,0
"99",12,6,0,0,0
"100",3,12,3,0,0
"101",18,0,0,0,0
"102",9,9,0,0,0
"103",18,0,0,0,0
"104",6,12,0,0,0
"105",6,9,3,0,0
"106",15,3,0,0,0
"107",12,6,0,0,0
"108",6,6,6,0,0
"109",3,6,9,0,0
"110",18,0,0,0,0
"111",12,6,0,0,0
"112",12,6,0,0,0
"113",9,6,3,0,0
"114",18,0,0,0,0
"115",15,3,0,0,0
"116",18,0,0,0,0
"117",18,0,0,0,0
"118",18,0,0,0,0
"119",18,0,0,0,0
"120",18,0,0,0,0
"121",9,9,0,0,0
"122",18,0,0,0,0
"123",15,3,0,0,0
"124",3,15,0,0,0
"125",9,9,0,0,0
"126",15,3,0,0,0
"127",9,9,0,0,0
"128",3,12,3,0,0
"129",6,12,0,0,0
"130",9,6,3,0,0
"131",3,15,0,0,0
"132",3,3,12,0,0
"133",12,6,0,0,0
"134",12,6,0,0,0
"135",6,12,0,0,0
"136",12,6,0,0,0
"137",3,12,3,0,0
"138",18,0,0,0,0
"139",6,9,3,0,0
"140",15,3,0,0,0
"141",9,9,0,0,0
"142",6,12,0,0,0
"143",15,3,0,0,0
"144",3,15,0,0,0
"145",9,9,0,0,0
"146",18,0,0,0,0
"147",18,0,0,0,0
"148",18,0,0,0,0
"149",6,12,0,0,0
"150",18,0,0,0,0
"151",3,9,6,0,0
"152",18,0,0,0,0
"153",18,0,0,0,0
"154",12,6,0,0,0
"155",18,0,0,0,0
"156",18,0,0,0,0
"157",15,3,0,0,0
"158",18,0,0,0,0
"159",15,3,0,0,0
"160",3,15,0,0,0
"161",6,12,0,0,0
"162",15,3,0,0,0
"163",15,3,0,0,0
"164",9,9,0,0,0
"165",18,0,0,0,0
"166",15,3,0,0,0
"167",6,12,0,0,0
"168",12,6,0,0,0
"169",6,12,0,0,0
"170",15,3,0,0,0
"171",15,3,0,0,0
"172",18,0,0,0,0
"173",6,12,0,0,0
"174",15,3,0,0,0
"175",15,3,0,0,0
"176",15,3,0,0,0
"177",9,9,0,0,0
"178",3,12,3,0,0
"179",3,12,3,0,0
"180",6,12,0,0,0
"181",3,12,3,0,0
"182",18,0,0,0,0
"183",9,9,0,0,0
"184",18,0,0,0,0
"185",6,12,0,0,0
"186",6,12,0,0,0
"187",18,0,0,0,0
"188",3,15,0,0,0
"189",18,0,0,0,0
"190",3,9,6,0,0
"191",18,0,0,0,0
"192",3,3,12,0,0
"193",9,9,0,0,0
"194",9,9,0,0,0
"195",15,3,0,0,0
"196",12,6,0,0,0
"197",3,9,6,0,0
"198",18,0,0,0,0
"199",12,6,0,0,0
"200",18,0,0,0,0
"201",6,12,0,0,0
"202",18,0,0,0,0
"203",15,3,0,0,0
"204",15,3,0,0,0
"205",6,12,0,0,0
"206",18,0,0,0,0
"207",18,0,0,0,0
"208",18,0,0,0,0
"209",3,9,6,0,0
"210",3,3,12,0,0
"211",18,0,0,0,0
"212",12,6,0,0,0
"213",15,3,0,0,0
"214",3,3,12,0,0
"215",18,0,0,0,0
"216",18,0,0,0,0
"217",15,3,0,0,0
"218",18,0,0,0,0
"219",6,12,0,0,0
"220",15,3,0,0,0
"221",9,9,0,0,0
"222",6,6,6,0,0
"223",12,6,0,0,0
"224",3,12,3,0,0
"225",3,15,0,0,0
"226",18,0,0,0,0
"227",9,9,0,0,0
"228",18,0,0,0,0
"229",6,12,0,0,0
"230",6,12,0,0,0
"231",12,6,0,0,0
"232",6,9,3,0,0
"233",12,6,0,0,0
"234",15,3,0,0,0
"235",18,0,0,0,0
"236",9,9,0,0,0
"237",18,0,0,0,0
"238",6,12,0,0,0
"239",3,12,3,0,0
"240",12,6,0,0,0
"241",18,0,0,0,0
"242",6,12,0,0,0
"243",3,3,12,0,0
"244",9,9,0,0,0
"245",18,0,0,0,0
"246",12,6,0,0,0
"247",3,3,12,0,0
"248",3,12,3,0,0
"249",15,3,0,0,0
"250",18,0,0,0,0
"251",6,12,0,0,0
"252",18,0,0,0,0
"253",18,0,0,0,0
"254",3,12,3,0,0
"255",18,0,0,0,0
"256",18,0,0,0,0
"257",15,3,0,0,0
"258",15,3,0,0,0
"259",3,12,3,0,0
"260",18,0,0,0,0
"261",18,0,0,0,0
"262",9,9,0,0,0
"263",9,9,0,0,0
"264",18,0,0,0,0
"265",18,0,0,0,0
"266",15,3,0,0,0
"267",18,0,0,0,0
"268",15,3,0,0,0
"269",3,15,0,0,0
"270",6,9,3,0,0
"271",6,12,0,0,0
"272",6,6,6,0,0
"273",18,0,0,0,0
"274",6,12,0,0,0
"275",3,3,12,0,0
"276",18,0,0,0,0
"277",18,0,0,0,0
"278",6,12,0,0,0
"279",15,3,0,0,0
"280",3,15,0,0,0
"281",18,0,0,0,0
"282",18,0,0,0,0
"283",3,9,6,0,0
"284",12,6,0,0,0
"285",6,9,3,0,0
"286",3,15,0,0,0
"287",3,12,3,0,0
"288",6,12,0,0,0
"289",15,3,0,0,0
"290",15,3,0,0,0
"291",6,12,0,0,0
"292",6,9,3,0,0
"293",15,3,0,0,0
"294",18,0,0,0,0
"295",15,3,0,0,0
"296",12,6,0,0,0
"297",3,15,0,0,0
"298",18,0,0,0,0
"299",18,0,0,0,0
"300",9,9,0,0,0
"301",9,9,0,0,0
"302",6,12,0,0,0
"303",9,9,0,0,0
"304",9,9,0,0,0
"305",15,3,0,0,0
"306",6,12,0,0,0
"307",18,0,0,0,0
"308",3,15,0,0,0
"309",6,12,0,0,0
"310",6,12,0,0,0
"311",6,12,0,0,0
"312",6,9,3,0,0
"313",9,9,0,0,0
"314",3,9,6,0,0
"315",18,0,0,0,0
"316",6,12,0,0,0
"317",9,9,0,0,0
"318",18,0,0,0,0
"319",12,6,0,0,0
"320",12,6,0,0,0
"321",12,6,0,0,0
"322",18,0,0,0,0
"323",18,0,0,0,0
"324",12,6,0,0,0
"325",6,12,0,0,0
"326",15,3,0,0,0
"327",3,9,6,0,0
"328",18,0,0,0,0
"329",3,15,0,0,0
"330",12,6,0,0,0
"331",6,12,0,0,0
"332",18,0,0,0,0
"333",15,3,0,0,0
"334",18,0,0,0,0
"335",12,6,0,0,0
"336",9,9,0,0,0
"337",18,0,0,0,0
"338",3,12,3,0,0
"339",6,9,3,0,0
"340",18,0,0,0,0
"341",15,3,0,0,0
"342",9,9,0,0,0
"343",3,9,6,0,0
"344",3,15,0,0,0
"345",15,3,0,0,0
"346",6,12,0,0,0
"347",15,3,0,0,0
"348",18,0,0,0,0
"349",15,3,0,0,0
"350",6,12,0,0,0
"351",3,15,0,0,0
"352",6,12,0,0,0
"353",3,15,0,0,0
"354",3,15,0,0,0
"355",12,6,0,0,0
"356",6,9,3,0,0
"357",3,12,3,0,0
"358",18,0,0,0,0
"359",12,6,0,0,0
"360",3,3,12,0,0
"361",12,6,0,0,0
"362",3,12,3,0,0
"363",12,6,0,0,0
"364",9,9,0,0,0
"365",18,0,0,0,0
"366",15,3,0,0,0
"367",18,0,0,0,0
"368",18,0,0,0,0
"369",3,12,3,0,0
"370",12,6,0,0,0
"371",3,9,6,0,0
"372",6,12,0,0,0
"373",18,0,0,0,0
"374",18,0,0,0,0
"375",9,9,0,0,0
"376",15,3,0,0,0
"377",15,3,0,0,0
"378",6,12,0,0,0
"379",18,0,0,0,0
"380",18,0,0,0,0
"381",3,12,3,0,0
