"","x"
"1",16
"2",12
"3",9
"4",7
"5",11
"6",9
"7",9
"8",10
"9",8
"10",5
"11",9
"12",10
"13",8
"14",5
"15",13
"16",10
"17",7
"18",11
"19",13
"20",9
"21",15
"22",10
"23",7
"24",3
"25",11
"26",9
"27",9
"28",12
"29",10
"30",13
"31",7
"32",9
"33",14
"34",8
"35",10
"36",10
"37",8
"38",11
"39",11
"40",13
"41",10
"42",9
"43",7
"44",11
"45",13
"46",10
"47",6
"48",11
"49",11
"50",10
"51",14
"52",12
"53",12
"54",14
"55",9
"56",13
"57",12
"58",9
"59",10
"60",7
"61",11
"62",8
"63",9
"64",10
"65",10
"66",14
"67",8
"68",7
"69",12
"70",9
"71",11
"72",6
"73",7
"74",12
"75",7
"76",14
"77",7
"78",9
"79",11
"80",12
"81",5
"82",10
"83",15
"84",11
"85",7
"86",6
"87",10
"88",10
"89",11
"90",8
"91",11
"92",9
"93",9
"94",9
"95",14
"96",10
"97",8
"98",11
"99",11
"100",13
"101",13
"102",5
"103",9
"104",9
"105",7
"106",11
"107",11
"108",7
"109",10
"110",12
"111",13
"112",15
"113",9
"114",11
"115",10
"116",9
"117",7
"118",5
"119",9
"120",6
"121",11
"122",8
"123",20
"124",11
"125",5
"126",9
"127",10
"128",13
"129",9
"130",12
"131",8
"132",8
"133",2
"134",9
"135",8
"136",7
"137",10
"138",10
"139",11
"140",10
"141",9
"142",11
"143",9
"144",12
"145",10
"146",10
"147",10
"148",9
"149",11
"150",10
"151",13
"152",6
"153",13
"154",9
"155",14
"156",12
"157",7
"158",8
"159",10
"160",10
"161",9
"162",9
"163",8
"164",7
"165",6
"166",13
"167",10
"168",11
"169",9
"170",6
"171",9
"172",10
"173",5
"174",10
"175",11
"176",13
"177",7
"178",11
"179",6
"180",11
"181",14
"182",10
"183",14
"184",9
"185",14
"186",10
"187",5
"188",11
"189",15
"190",4
"191",9
"192",10
"193",10
"194",10
"195",11
"196",9
"197",8
"198",7
"199",11
"200",14
"201",18
"202",12
"203",12
"204",13
"205",13
"206",8
"207",10
"208",11
"209",11
"210",8
"211",12
"212",7
"213",11
"214",14
"215",8
"216",11
"217",11
"218",8
"219",12
"220",9
"221",12
"222",13
"223",8
"224",8
"225",10
"226",6
"227",7
"228",8
"229",5
"230",9
"231",5
"232",10
"233",8
"234",9
"235",14
"236",7
"237",17
"238",7
"239",10
"240",13
"241",13
"242",13
"243",13
"244",13
"245",10
"246",9
"247",7
"248",11
"249",6
"250",8
"251",13
"252",8
"253",10
"254",8
"255",11
"256",7
"257",13
"258",10
"259",9
"260",8
"261",5
"262",11
"263",16
"264",11
"265",10
"266",9
"267",7
"268",16
"269",11
"270",9
"271",9
"272",9
"273",15
"274",10
"275",12
"276",10
"277",8
"278",18
"279",14
"280",8
"281",8
"282",10
"283",17
"284",12
"285",11
"286",12
"287",7
"288",5
"289",7
"290",13
"291",13
"292",13
"293",7
"294",8
"295",12
"296",11
"297",11
"298",13
"299",13
"300",11
"301",14
"302",13
"303",7
"304",8
"305",6
"306",7
"307",14
"308",12
"309",11
"310",10
"311",14
"312",12
"313",8
"314",11
"315",12
"316",9
"317",8
"318",15
"319",10
"320",6
"321",9
"322",11
"323",17
"324",14
"325",10
"326",11
"327",10
"328",11
"329",13
"330",12
"331",7
"332",8
"333",13
"334",7
"335",8
"336",9
"337",12
"338",15
"339",17
"340",11
"341",10
"342",8
"343",13
"344",17
"345",8
"346",12
"347",9
"348",9
"349",12
"350",10
"351",8
"352",9
"353",9
"354",13
"355",12
"356",11
"357",14
"358",12
"359",12
"360",7
"361",8
"362",8
"363",13
"364",12
"365",13
"366",14
"367",11
"368",12
"369",12
"370",8
"371",10
"372",9
"373",14
"374",8
"375",11
"376",7
"377",14
"378",10
"379",11
"380",14
"381",12
"382",13
"383",10
"384",13
"385",10
"386",4
"387",13
"388",8
"389",10
"390",9
"391",7
"392",11
"393",13
"394",9
"395",7
"396",10
"397",8
"398",10
"399",13
"400",13
"401",10
"402",12
"403",13
"404",12
"405",8
"406",13
"407",12
"408",12
"409",8
"410",8
"411",8
"412",12
"413",12
"414",11
"415",13
"416",10
"417",8
"418",7
"419",6
"420",12
"421",12
"422",11
"423",10
"424",14
"425",10
"426",14
"427",8
"428",16
"429",8
"430",10
"431",10
"432",10
"433",11
"434",11
"435",6
"436",9
"437",9
"438",11
"439",8
"440",7
"441",8
"442",11
"443",8
"444",13
"445",7
"446",10
"447",8
"448",9
"449",12
"450",9
"451",7
"452",11
"453",14
"454",10
"455",11
"456",7
"457",8
"458",12
"459",7
"460",12
"461",9
"462",10
"463",12
"464",11
"465",12
"466",9
"467",10
"468",7
"469",8
"470",10
"471",7
"472",13
"473",11
"474",6
"475",10
"476",10
"477",15
"478",8
"479",13
"480",2
"481",10
"482",6
"483",15
"484",6
"485",11
"486",11
"487",10
"488",12
"489",10
"490",15
"491",11
"492",14
"493",8
"494",9
"495",8
"496",10
"497",12
"498",14
"499",10
"500",12
"501",12
"502",9
"503",12
"504",9
"505",7
"506",9
"507",8
"508",15
"509",12
"510",16
"511",12
"512",5
"513",12
"514",3
"515",8
"516",11
"517",6
"518",10
"519",7
"520",10
"521",6
"522",11
"523",10
"524",11
"525",14
"526",8
"527",15
"528",9
"529",12
"530",10
"531",9
"532",16
"533",12
"534",11
"535",8
"536",10
"537",12
"538",9
"539",11
"540",10
"541",5
"542",10
"543",12
"544",8
"545",6
"546",9
"547",10
"548",7
"549",9
"550",14
"551",11
"552",12
"553",12
"554",12
"555",8
"556",8
"557",12
"558",12
"559",11
"560",11
"561",9
"562",7
"563",7
"564",9
"565",8
"566",7
"567",15
"568",13
"569",14
"570",9
"571",13
"572",12
"573",15
"574",13
"575",14
"576",7
"577",11
"578",11
"579",10
"580",10
"581",8
"582",4
"583",12
"584",7
"585",9
"586",11
"587",13
"588",8
"589",11
"590",12
"591",9
"592",11
"593",9
"594",8
"595",7
"596",5
"597",14
"598",10
"599",7
"600",15
"601",14
"602",10
"603",9
"604",15
"605",8
"606",11
"607",10
"608",11
"609",12
"610",7
"611",8
"612",9
"613",6
"614",10
"615",15
"616",13
"617",14
"618",11
"619",9
"620",10
"621",8
"622",8
"623",10
"624",16
"625",6
"626",14
"627",11
"628",9
"629",10
"630",13
"631",14
"632",11
"633",8
"634",11
"635",10
"636",12
"637",11
"638",9
"639",13
"640",8
"641",9
"642",9
"643",5
"644",7
"645",11
"646",6
"647",9
"648",9
"649",8
"650",5
"651",12
"652",5
"653",13
"654",7
"655",10
"656",15
"657",9
"658",11
"659",8
"660",11
"661",9
"662",13
"663",10
"664",8
"665",7
"666",12
"667",10
"668",10
"669",7
"670",12
"671",10
"672",13
"673",14
"674",9
"675",8
"676",9
"677",13
"678",10
"679",6
"680",7
"681",12
"682",10
"683",10
"684",8
"685",14
"686",10
"687",11
"688",19
"689",8
"690",11
"691",7
"692",14
"693",11
"694",8
"695",12
"696",12
"697",12
"698",9
"699",14
"700",5
"701",14
"702",10
"703",8
"704",7
"705",13
"706",8
"707",12
"708",9
"709",6
"710",11
"711",10
"712",7
"713",10
"714",12
"715",8
"716",18
"717",6
"718",11
"719",7
"720",10
"721",13
"722",8
"723",14
"724",10
"725",10
"726",4
"727",10
"728",12
"729",15
"730",9
"731",9
"732",12
"733",14
"734",7
"735",5
"736",11
"737",12
"738",6
"739",11
"740",9
"741",10
"742",7
"743",7
"744",11
"745",8
"746",11
"747",7
"748",8
"749",9
"750",18
"751",12
"752",8
"753",13
"754",8
"755",9
"756",6
"757",14
"758",10
"759",8
"760",14
"761",15
"762",8
"763",11
"764",10
"765",10
"766",11
"767",7
"768",13
"769",12
"770",7
"771",13
"772",16
"773",16
"774",7
"775",12
"776",10
"777",16
"778",12
"779",12
"780",14
"781",12
"782",7
"783",10
"784",7
"785",12
"786",10
"787",10
"788",10
"789",13
"790",8
"791",9
"792",14
"793",12
"794",7
"795",9
"796",13
"797",16
"798",7
"799",9
"800",8
"801",5
"802",13
"803",14
"804",5
"805",9
"806",9
"807",10
"808",13
"809",8
"810",12
"811",11
"812",7
"813",12
"814",12
"815",14
"816",11
"817",4
"818",9
"819",11
"820",13
"821",6
"822",10
"823",9
"824",9
"825",8
"826",9
"827",8
"828",11
"829",11
"830",9
"831",14
"832",14
"833",8
"834",9
"835",10
"836",8
"837",11
"838",12
"839",10
"840",10
"841",11
"842",11
"843",9
"844",13
"845",5
"846",8
"847",8
"848",10
"849",13
"850",13
"851",9
"852",11
"853",7
"854",11
"855",13
"856",9
"857",6
"858",10
"859",10
"860",5
"861",9
"862",10
"863",14
"864",12
"865",15
"866",11
"867",6
"868",12
"869",10
"870",6
"871",10
"872",14
"873",8
"874",6
"875",8
"876",9
"877",11
"878",10
"879",13
"880",10
"881",12
"882",7
"883",10
"884",11
"885",13
"886",7
"887",10
"888",12
"889",14
"890",16
"891",6
"892",8
"893",5
"894",14
"895",10
"896",10
"897",8
"898",6
"899",10
"900",13
"901",12
"902",8
"903",11
"904",13
"905",13
"906",7
"907",14
"908",9
"909",12
"910",9
"911",6
"912",12
"913",13
"914",12
"915",11
"916",9
"917",10
"918",8
"919",9
"920",14
"921",10
"922",12
"923",12
"924",11
"925",10
"926",6
"927",11
"928",12
"929",16
"930",10
"931",8
"932",14
"933",8
"934",11
"935",15
"936",9
"937",15
"938",8
"939",14
"940",6
"941",17
"942",3
"943",7
"944",9
"945",7
"946",6
"947",10
"948",9
"949",12
"950",8
"951",11
"952",9
"953",7
"954",9
"955",20
"956",9
"957",8
"958",12
"959",7
"960",11
"961",15
"962",8
"963",9
"964",8
"965",11
"966",12
"967",13
"968",10
"969",9
"970",16
"971",9
"972",7
"973",8
"974",16
"975",14
"976",15
"977",12
"978",12
"979",8
"980",11
"981",10
"982",10
"983",12
"984",9
"985",12
"986",10
"987",10
"988",9
"989",12
"990",9
"991",10
"992",7
"993",14
"994",12
"995",10
"996",5
"997",8
"998",9
"999",8
"1000",15
"1001",11
"1002",10
"1003",8
"1004",5
"1005",10
"1006",12
"1007",12
"1008",8
"1009",8
"1010",12
"1011",8
"1012",14
"1013",8
"1014",6
"1015",6
"1016",14
"1017",10
"1018",13
"1019",10
"1020",7
"1021",14
"1022",8
"1023",12
"1024",11
"1025",14
"1026",10
"1027",8
"1028",14
"1029",5
"1030",11
"1031",9
"1032",12
"1033",11
"1034",5
"1035",11
"1036",9
"1037",8
"1038",6
"1039",6
"1040",9
"1041",12
"1042",11
"1043",8
"1044",14
"1045",10
"1046",9
"1047",8
"1048",12
"1049",9
"1050",12
"1051",8
"1052",12
"1053",14
"1054",9
"1055",10
"1056",10
"1057",6
"1058",10
"1059",12
"1060",9
"1061",14
"1062",11
"1063",7
"1064",10
"1065",12
"1066",10
"1067",9
"1068",14
"1069",9
"1070",17
"1071",11
"1072",11
"1073",7
"1074",10
"1075",17
"1076",10
"1077",8
"1078",10
"1079",12
"1080",11
"1081",7
"1082",9
"1083",6
"1084",10
"1085",4
"1086",9
"1087",11
"1088",7
"1089",7
"1090",7
"1091",12
"1092",15
"1093",9
"1094",8
"1095",5
"1096",17
"1097",7
"1098",12
"1099",7
"1100",13
"1101",8
"1102",14
"1103",6
"1104",14
"1105",14
"1106",15
"1107",6
"1108",9
"1109",10
"1110",11
"1111",7
"1112",11
"1113",8
"1114",9
"1115",7
"1116",9
"1117",11
"1118",10
"1119",8
"1120",9
"1121",11
"1122",12
"1123",10
"1124",13
"1125",12
"1126",17
"1127",13
"1128",10
"1129",6
"1130",9
"1131",11
"1132",13
"1133",11
"1134",11
"1135",15
"1136",10
"1137",13
"1138",12
"1139",5
"1140",7
"1141",10
