"","x"
"1",2
"2",4
"3",3
"4",5
"5",4
"6",5
"7",3
"8",6
"9",6
"10",4
"11",4
"12",7
"13",7
"14",3
"15",5
"16",5
"17",7
"18",5
"19",6
"20",4
"21",4
"22",6
"23",7
"24",3
"25",3
"26",7
"27",5
"28",3
"29",4
"30",5
"31",5
"32",4
"33",5
"34",5
"35",4
"36",4
"37",2
"38",5
"39",5
"40",3
"41",5
"42",4
"43",6
"44",5
"45",5
"46",4
"47",6
"48",5
"49",3
"50",2
"51",4
"52",4
"53",2
"54",3
"55",5
"56",3
"57",6
"58",4
"59",5
"60",2
"61",5
"62",3
"63",3
"64",4
"65",7
"66",5
"67",3
"68",2
"69",6
"70",2
"71",6
"72",5
"73",4
"74",6
"75",3
"76",3
"77",4
"78",3
"79",5
"80",7
"81",7
"82",5
"83",3
"84",5
"85",5
"86",1
"87",2
"88",3
"89",2
"90",4
"91",4
"92",8
"93",2
"94",5
"95",7
"96",4
"97",5
"98",5
"99",5
"100",5
"101",6
"102",3
"103",5
"104",3
"105",4
"106",3
"107",6
"108",6
"109",6
"110",5
"111",2
"112",7
"113",2
"114",5
"115",3
"116",4
"117",5
"118",4
"119",5
"120",6
"121",4
"122",6
"123",2
"124",4
"125",3
"126",6
"127",5
"128",4
"129",5
"130",5
"131",4
"132",4
"133",8
"134",4
"135",4
"136",5
"137",4
"138",5
"139",6
"140",4
"141",2
"142",2
"143",3
"144",6
"145",4
"146",7
"147",1
"148",5
"149",5
"150",2
"151",5
"152",6
"153",3
"154",4
"155",4
"156",5
"157",2
"158",4
"159",6
"160",2
"161",8
"162",5
"163",4
"164",5
"165",3
"166",5
"167",6
"168",5
"169",4
"170",5
"171",2
"172",3
"173",5
"174",5
"175",5
"176",3
"177",3
"178",5
"179",3
"180",3
"181",4
"182",3
"183",5
"184",3
"185",3
"186",4
"187",5
"188",4
"189",4
"190",5
"191",3
"192",2
"193",2
"194",4
"195",3
"196",7
"197",6
"198",7
"199",7
"200",5
"201",4
"202",5
"203",4
"204",6
"205",4
"206",4
"207",3
"208",3
"209",5
"210",7
"211",8
"212",5
"213",7
"214",10
"215",4
"216",5
"217",3
"218",5
"219",7
"220",5
"221",4
"222",4
"223",5
"224",5
"225",4
"226",3
"227",4
"228",4
"229",4
"230",3
"231",4
"232",4
"233",5
"234",6
"235",5
"236",5
"237",3
"238",3
"239",5
"240",4
"241",2
"242",6
"243",3
"244",5
"245",3
"246",5
"247",2
"248",6
"249",4
"250",6
"251",4
"252",4
"253",5
"254",5
"255",6
"256",4
"257",5
"258",4
"259",6
"260",7
"261",3
"262",7
"263",7
"264",6
"265",5
"266",2
"267",4
"268",4
"269",4
"270",4
"271",4
"272",5
"273",7
"274",5
"275",4
"276",5
"277",6
"278",3
"279",4
"280",5
"281",7
"282",5
"283",6
"284",4
"285",3
"286",1
"287",7
"288",7
"289",6
"290",2
"291",4
"292",3
"293",4
"294",5
"295",3
"296",6
"297",6
"298",4
"299",5
"300",4
"301",6
"302",5
"303",5
"304",6
"305",4
"306",7
"307",6
"308",3
"309",7
"310",4
"311",6
"312",4
"313",2
"314",6
"315",5
"316",4
"317",3
"318",4
"319",5
"320",6
"321",1
"322",4
"323",5
"324",2
"325",5
"326",4
"327",4
"328",6
"329",6
"330",3
"331",6
"332",4
"333",4
"334",7
"335",5
"336",3
"337",5
"338",6
"339",4
"340",5
"341",5
"342",7
"343",3
"344",4
"345",5
"346",5
"347",5
"348",4
"349",4
"350",3
"351",3
"352",6
"353",2
"354",3
"355",5
"356",4
"357",4
"358",5
"359",1
"360",4
"361",6
"362",3
"363",3
"364",6
"365",4
"366",5
"367",4
"368",3
"369",4
"370",6
"371",4
"372",4
"373",2
"374",5
"375",3
"376",3
"377",5
"378",5
"379",2
"380",5
"381",5
"382",7
"383",5
"384",5
"385",7
"386",3
"387",4
"388",3
"389",6
"390",6
"391",3
"392",4
"393",4
"394",5
"395",6
"396",2
"397",4
"398",6
"399",5
"400",6
"401",6
"402",6
"403",6
"404",4
"405",4
"406",3
"407",3
"408",6
"409",3
"410",5
"411",3
"412",3
"413",6
"414",5
"415",3
"416",5
"417",4
"418",4
"419",6
"420",5
"421",7
"422",4
"423",6
"424",6
"425",4
"426",5
"427",5
"428",5
"429",4
"430",6
"431",6
"432",6
"433",6
"434",5
"435",4
"436",3
"437",5
"438",3
"439",5
"440",7
"441",2
"442",4
"443",4
"444",3
"445",5
"446",6
"447",4
"448",3
"449",4
"450",5
"451",5
"452",3
"453",6
"454",6
"455",2
"456",3
"457",5
"458",5
"459",4
"460",7
"461",5
"462",3
"463",5
"464",4
"465",6
"466",4
"467",7
"468",7
"469",5
"470",4
"471",2
"472",2
"473",5
"474",6
"475",4
"476",7
"477",6
"478",5
"479",4
"480",6
"481",7
"482",5
"483",8
"484",5
"485",2
"486",3
"487",5
"488",5
"489",7
"490",6
"491",3
"492",4
"493",6
"494",1
"495",4
"496",7
"497",2
"498",6
"499",2
"500",4
"501",4
"502",5
"503",4
"504",5
"505",4
"506",7
"507",3
"508",8
"509",6
"510",4
"511",7
"512",4
"513",4
"514",3
"515",4
"516",3
"517",4
"518",7
"519",4
"520",5
"521",2
"522",4
"523",6
"524",4
"525",4
"526",6
"527",3
"528",3
"529",2
"530",3
"531",4
"532",2
"533",2
"534",6
"535",4
"536",3
"537",2
"538",6
"539",6
"540",5
"541",8
"542",6
"543",7
"544",5
"545",2
"546",4
"547",3
"548",5
"549",3
"550",10
"551",8
"552",3
"553",6
"554",3
"555",5
"556",3
"557",4
"558",2
"559",1
"560",6
"561",4
"562",9
"563",7
"564",4
"565",5
"566",4
"567",6
"568",6
"569",6
"570",5
"571",5
"572",8
"573",5
"574",4
"575",4
"576",5
"577",1
"578",6
"579",5
"580",2
"581",5
"582",6
"583",2
"584",7
"585",5
"586",4
"587",5
"588",4
"589",3
"590",2
"591",6
"592",6
"593",6
"594",5
"595",5
"596",7
"597",5
"598",7
"599",6
"600",4
"601",9
"602",2
"603",3
"604",3
"605",5
"606",4
"607",4
"608",5
"609",6
"610",6
"611",5
"612",5
"613",7
"614",5
"615",3
"616",2
"617",7
"618",4
"619",3
"620",1
"621",4
"622",4
"623",5
"624",4
"625",4
"626",4
"627",7
"628",5
"629",5
"630",6
"631",4
"632",2
"633",6
"634",6
"635",3
"636",4
"637",2
"638",3
"639",4
"640",5
"641",4
"642",3
"643",8
"644",5
"645",4
"646",4
"647",5
"648",4
"649",3
"650",5
"651",3
"652",4
"653",4
"654",2
"655",5
"656",6
"657",4
"658",6
"659",5
"660",3
"661",5
"662",5
"663",3
"664",6
"665",6
"666",4
"667",5
"668",4
"669",6
"670",3
"671",6
"672",4
"673",4
"674",5
"675",6
"676",6
"677",6
"678",4
"679",5
"680",6
"681",3
"682",4
"683",5
"684",2
"685",4
"686",2
"687",1
"688",6
"689",4
"690",2
"691",2
"692",4
"693",3
"694",1
"695",5
"696",3
"697",3
"698",4
"699",5
"700",5
"701",3
"702",6
"703",2
"704",6
"705",6
"706",3
"707",6
"708",6
"709",4
"710",2
"711",5
"712",3
"713",3
"714",4
"715",8
"716",4
"717",4
"718",4
"719",7
"720",4
"721",4
"722",4
"723",2
"724",4
"725",6
"726",4
"727",4
"728",8
"729",5
"730",6
"731",4
"732",3
"733",3
"734",6
"735",6
"736",8
"737",5
"738",4
"739",4
"740",6
"741",2
"742",4
"743",4
"744",3
"745",7
"746",4
"747",4
"748",3
"749",2
"750",2
"751",2
"752",4
"753",6
"754",3
"755",5
"756",2
