"","V1","V2","V3","V4","V5"
"1",39,0,0,0,0
"2",39,0,0,0,0
"3",27,12,0,0,0
"4",21,12,6,0,0
"5",30,9,0,0,0
"6",33,6,0,0,0
"7",36,3,0,0,0
"8",30,9,0,0,0
"9",36,3,0,0,0
"10",39,0,0,0,0
"11",39,0,0,0,0
"12",33,6,0,0,0
"13",39,0,0,0,0
"14",33,6,0,0,0
"15",30,9,0,0,0
"16",33,6,0,0,0
"17",18,21,0,0,0
"18",36,3,0,0,0
"19",39,0,0,0,0
"20",27,12,0,0,0
"21",15,24,0,0,0
"22",12,27,0,0,0
"23",27,12,0,0,0
"24",33,6,0,0,0
"25",36,3,0,0,0
"26",30,9,0,0,0
"27",30,9,0,0,0
"28",39,0,0,0,0
"29",36,3,0,0,0
"30",9,27,3,0,0
"31",36,3,0,0,0
"32",36,3,0,0,0
"33",33,6,0,0,0
"34",36,3,0,0,0
"35",36,3,0,0,0
"36",36,3,0,0,0
"37",39,0,0,0,0
"38",33,6,0,0,0
"39",30,9,0,0,0
"40",33,6,0,0,0
"41",27,12,0,0,0
"42",39,0,0,0,0
"43",18,15,6,0,0
"44",39,0,0,0,0
"45",33,6,0,0,0
"46",33,6,0,0,0
"47",33,6,0,0,0
"48",39,0,0,0,0
"49",36,3,0,0,0
"50",33,6,0,0,0
"51",27,12,0,0,0
"52",12,27,0,0,0
"53",12,27,0,0,0
"54",36,3,0,0,0
"55",39,0,0,0,0
"56",36,3,0,0,0
"57",27,12,0,0,0
"58",39,0,0,0,0
"59",33,6,0,0,0
"60",9,30,0,0,0
"61",21,18,0,0,0
"62",30,6,3,0,0
"63",30,9,0,0,0
"64",30,9,0,0,0
"65",36,3,0,0,0
"66",27,12,0,0,0
"67",30,9,0,0,0
"68",9,30,0,0,0
"69",15,24,0,0,0
"70",39,0,0,0,0
"71",39,0,0,0,0
"72",39,0,0,0,0
"73",39,0,0,0,0
"74",33,6,0,0,0
"75",36,3,0,0,0
"76",39,0,0,0,0
"77",39,0,0,0,0
"78",36,3,0,0,0
"79",36,3,0,0,0
"80",9,30,0,0,0
"81",39,0,0,0,0
"82",36,3,0,0,0
"83",36,3,0,0,0
"84",27,12,0,0,0
"85",33,6,0,0,0
"86",39,0,0,0,0
"87",36,3,0,0,0
"88",21,18,0,0,0
"89",39,0,0,0,0
"90",27,12,0,0,0
"91",36,3,0,0,0
"92",3,33,3,0,0
"93",33,6,0,0,0
"94",39,0,0,0,0
"95",36,3,0,0,0
"96",36,3,0,0,0
"97",36,3,0,0,0
"98",39,0,0,0,0
"99",18,15,6,0,0
"100",21,18,0,0,0
"101",39,0,0,0,0
"102",15,24,0,0,0
"103",30,9,0,0,0
"104",39,0,0,0,0
"105",36,3,0,0,0
"106",30,9,0,0,0
"107",33,6,0,0,0
"108",6,33,0,0,0
"109",39,0,0,0,0
"110",30,6,3,0,0
"111",36,3,0,0,0
"112",39,0,0,0,0
"113",39,0,0,0,0
"114",36,3,0,0,0
"115",30,9,0,0,0
"116",39,0,0,0,0
"117",24,15,0,0,0
"118",15,18,6,0,0
"119",36,3,0,0,0
"120",39,0,0,0,0
"121",27,12,0,0,0
"122",33,6,0,0,0
"123",27,12,0,0,0
"124",9,30,0,0,0
"125",39,0,0,0,0
"126",30,9,0,0,0
"127",39,0,0,0,0
"128",21,18,0,0,0
"129",39,0,0,0,0
"130",36,3,0,0,0
"131",24,15,0,0,0
"132",27,12,0,0,0
"133",15,24,0,0,0
"134",21,18,0,0,0
"135",36,3,0,0,0
"136",27,12,0,0,0
"137",21,18,0,0,0
"138",39,0,0,0,0
"139",33,6,0,0,0
"140",21,18,0,0,0
"141",39,0,0,0,0
"142",15,15,9,0,0
"143",33,6,0,0,0
"144",21,15,3,0,0
"145",30,6,3,0,0
"146",9,27,3,0,0
"147",27,6,6,0,0
"148",39,0,0,0,0
"149",21,12,6,0,0
"150",33,6,0,0,0
"151",36,3,0,0,0
"152",15,24,0,0,0
"153",3,36,0,0,0
"154",36,3,0,0,0
"155",33,6,0,0,0
"156",36,3,0,0,0
"157",21,18,0,0,0
"158",39,0,0,0,0
"159",24,15,0,0,0
"160",30,9,0,0,0
"161",36,3,0,0,0
"162",33,6,0,0,0
"163",27,6,6,0,0
"164",33,6,0,0,0
"165",18,21,0,0,0
"166",39,0,0,0,0
"167",24,12,3,0,0
"168",27,12,0,0,0
"169",39,0,0,0,0
"170",24,15,0,0,0
"171",36,3,0,0,0
"172",9,30,0,0,0
"173",36,3,0,0,0
"174",30,9,0,0,0
"175",39,0,0,0,0
"176",36,3,0,0,0
"177",36,3,0,0,0
"178",24,12,3,0,0
"179",27,12,0,0,0
"180",30,9,0,0,0
"181",36,3,0,0,0
"182",36,3,0,0,0
"183",39,0,0,0,0
"184",30,9,0,0,0
"185",39,0,0,0,0
"186",9,30,0,0,0
"187",36,3,0,0,0
"188",3,27,9,0,0
"189",30,9,0,0,0
"190",39,0,0,0,0
"191",18,21,0,0,0
"192",15,18,6,0,0
"193",39,0,0,0,0
"194",12,27,0,0,0
"195",21,15,3,0,0
"196",24,15,0,0,0
"197",12,27,0,0,0
"198",30,9,0,0,0
"199",39,0,0,0,0
"200",39,0,0,0,0
"201",36,3,0,0,0
"202",39,0,0,0,0
"203",39,0,0,0,0
"204",36,3,0,0,0
"205",36,3,0,0,0
"206",24,15,0,0,0
"207",33,6,0,0,0
"208",33,6,0,0,0
"209",21,18,0,0,0
"210",12,27,0,0,0
"211",33,6,0,0,0
"212",39,0,0,0,0
"213",27,12,0,0,0
"214",39,0,0,0,0
"215",15,24,0,0,0
"216",6,33,0,0,0
"217",39,0,0,0,0
"218",36,3,0,0,0
"219",39,0,0,0,0
"220",36,3,0,0,0
"221",9,30,0,0,0
"222",33,6,0,0,0
"223",15,24,0,0,0
"224",6,33,0,0,0
"225",3,36,0,0,0
"226",15,21,3,0,0
"227",9,30,0,0,0
"228",33,6,0,0,0
"229",36,3,0,0,0
"230",36,3,0,0,0
"231",36,3,0,0,0
"232",18,12,9,0,0
"233",39,0,0,0,0
"234",3,27,9,0,0
"235",30,9,0,0,0
"236",27,12,0,0,0
"237",39,0,0,0,0
"238",30,9,0,0,0
"239",24,12,3,0,0
"240",39,0,0,0,0
"241",39,0,0,0,0
"242",18,21,0,0,0
"243",9,24,6,0,0
"244",27,9,3,0,0
"245",24,15,0,0,0
"246",9,30,0,0,0
"247",39,0,0,0,0
"248",30,9,0,0,0
"249",30,9,0,0,0
"250",27,6,6,0,0
"251",30,9,0,0,0
"252",36,3,0,0,0
"253",39,0,0,0,0
"254",36,3,0,0,0
"255",39,0,0,0,0
"256",33,6,0,0,0
"257",18,21,0,0,0
"258",15,24,0,0,0
"259",24,9,6,0,0
"260",24,9,6,0,0
"261",39,0,0,0,0
"262",30,9,0,0,0
"263",24,15,0,0,0
"264",36,3,0,0,0
"265",36,3,0,0,0
"266",39,0,0,0,0
"267",39,0,0,0,0
"268",39,0,0,0,0
"269",27,12,0,0,0
"270",24,15,0,0,0
"271",39,0,0,0,0
"272",36,3,0,0,0
"273",21,15,3,0,0
"274",12,27,0,0,0
"275",36,3,0,0,0
"276",9,30,0,0,0
"277",36,3,0,0,0
"278",27,12,0,0,0
"279",18,21,0,0,0
"280",33,6,0,0,0
"281",33,6,0,0,0
"282",30,9,0,0,0
"283",39,0,0,0,0
"284",33,6,0,0,0
"285",39,0,0,0,0
"286",39,0,0,0,0
"287",33,6,0,0,0
"288",15,24,0,0,0
"289",30,9,0,0,0
"290",39,0,0,0,0
"291",21,15,3,0,0
"292",39,0,0,0,0
"293",39,0,0,0,0
"294",12,27,0,0,0
"295",39,0,0,0,0
"296",3,30,6,0,0
"297",39,0,0,0,0
"298",36,3,0,0,0
"299",39,0,0,0,0
"300",30,9,0,0,0
"301",6,27,6,0,0
"302",39,0,0,0,0
"303",30,9,0,0,0
"304",39,0,0,0,0
"305",33,6,0,0,0
"306",36,3,0,0,0
"307",24,12,3,0,0
"308",3,27,9,0,0
"309",33,3,3,0,0
"310",36,3,0,0,0
"311",33,6,0,0,0
"312",9,27,3,0,0
"313",9,27,3,0,0
"314",39,0,0,0,0
"315",36,3,0,0,0
"316",36,3,0,0,0
"317",12,27,0,0,0
"318",39,0,0,0,0
"319",39,0,0,0,0
"320",24,15,0,0,0
"321",39,0,0,0,0
"322",27,12,0,0,0
"323",39,0,0,0,0
"324",33,6,0,0,0
"325",30,9,0,0,0
"326",18,21,0,0,0
"327",15,18,6,0,0
"328",27,12,0,0,0
"329",3,36,0,0,0
"330",39,0,0,0,0
"331",24,15,0,0,0
"332",21,18,0,0,0
"333",39,0,0,0,0
"334",39,0,0,0,0
"335",39,0,0,0,0
"336",30,9,0,0,0
"337",6,33,0,0,0
"338",15,24,0,0,0
"339",36,3,0,0,0
"340",30,9,0,0,0
"341",36,3,0,0,0
"342",39,0,0,0,0
"343",36,3,0,0,0
"344",39,0,0,0,0
"345",30,9,0,0,0
"346",24,15,0,0,0
"347",30,9,0,0,0
"348",36,3,0,0,0
"349",27,12,0,0,0
"350",18,21,0,0,0
"351",39,0,0,0,0
"352",3,36,0,0,0
"353",6,33,0,0,0
"354",33,6,0,0,0
"355",39,0,0,0,0
"356",27,12,0,0,0
"357",15,24,0,0,0
"358",39,0,0,0,0
"359",36,3,0,0,0
"360",33,6,0,0,0
"361",33,6,0,0,0
"362",36,3,0,0,0
"363",30,9,0,0,0
"364",3,24,12,0,0
"365",39,0,0,0,0
"366",21,18,0,0,0
"367",39,0,0,0,0
"368",36,3,0,0,0
"369",36,3,0,0,0
"370",27,12,0,0,0
"371",12,27,0,0,0
"372",36,3,0,0,0
"373",24,15,0,0,0
"374",24,15,0,0,0
"375",39,0,0,0,0
"376",21,18,0,0,0
"377",33,6,0,0,0
"378",9,30,0,0,0
"379",39,0,0,0,0
"380",39,0,0,0,0
"381",3,24,12,0,0
"382",30,9,0,0,0
"383",30,9,0,0,0
"384",36,3,0,0,0
"385",36,3,0,0,0
"386",3,36,0,0,0
"387",18,21,0,0,0
"388",33,6,0,0,0
"389",27,12,0,0,0
"390",36,3,0,0,0
"391",39,0,0,0,0
"392",30,9,0,0,0
"393",33,6,0,0,0
"394",3,24,12,0,0
"395",30,9,0,0,0
"396",18,15,6,0,0
"397",36,3,0,0,0
"398",36,3,0,0,0
"399",39,0,0,0,0
"400",33,6,0,0,0
"401",39,0,0,0,0
"402",24,15,0,0,0
"403",36,3,0,0,0
"404",36,3,0,0,0
"405",15,24,0,0,0
"406",9,30,0,0,0
"407",18,21,0,0,0
"408",12,27,0,0,0
"409",39,0,0,0,0
"410",33,6,0,0,0
"411",36,3,0,0,0
"412",15,15,9,0,0
"413",36,3,0,0,0
"414",33,6,0,0,0
"415",36,3,0,0,0
"416",36,3,0,0,0
"417",24,15,0,0,0
"418",36,3,0,0,0
"419",33,6,0,0,0
"420",30,9,0,0,0
"421",27,12,0,0,0
"422",33,6,0,0,0
"423",27,9,3,0,0
"424",33,6,0,0,0
"425",39,0,0,0,0
"426",27,12,0,0,0
"427",12,27,0,0,0
"428",24,12,3,0,0
"429",9,27,3,0,0
"430",36,3,0,0,0
"431",39,0,0,0,0
"432",36,3,0,0,0
"433",36,3,0,0,0
"434",30,9,0,0,0
"435",39,0,0,0,0
"436",36,3,0,0,0
"437",30,9,0,0,0
"438",39,0,0,0,0
"439",3,27,6,3,0
"440",24,15,0,0,0
"441",15,21,3,0,0
"442",24,12,3,0,0
"443",36,3,0,0,0
"444",39,0,0,0,0
"445",21,18,0,0,0
"446",3,36,0,0,0
"447",24,15,0,0,0
"448",39,0,0,0,0
"449",39,0,0,0,0
"450",9,30,0,0,0
"451",33,6,0,0,0
"452",36,3,0,0,0
"453",36,3,0,0,0
"454",39,0,0,0,0
"455",9,27,3,0,0
"456",6,27,6,0,0
"457",39,0,0,0,0
