"","V1","V2","V3","V4","V5"
"1",39,0,0,0,0
"2",36,3,0,0,0
"3",6,33,0,0,0
"4",36,3,0,0,0
"5",12,24,3,0,0
"6",3,33,3,0,0
"7",3,30,6,0,0
"8",3,27,9,0,0
"9",33,6,0,0,0
"10",6,27,6,0,0
"11",39,0,0,0,0
"12",39,0,0,0,0
"13",39,0,0,0,0
"14",30,9,0,0,0
"15",33,6,0,0,0
"16",15,24,0,0,0
"17",3,36,0,0,0
"18",39,0,0,0,0
"19",39,0,0,0,0
"20",18,21,0,0,0
"21",36,3,0,0,0
"22",3,33,3,0,0
"23",24,15,0,0,0
"24",36,3,0,0,0
"25",33,6,0,0,0
"26",12,27,0,0,0
"27",36,3,0,0,0
"28",18,21,0,0,0
"29",3,30,6,0,0
"30",3,33,3,0,0
"31",12,27,0,0,0
"32",33,6,0,0,0
"33",3,21,15,0,0
"34",9,27,3,0,0
"35",3,30,6,0,0
"36",9,27,3,0,0
"37",6,33,0,0,0
"38",39,0,0,0,0
"39",3,36,0,0,0
"40",36,3,0,0,0
"41",9,30,0,0,0
"42",3,9,27,0,0
"43",36,3,0,0,0
"44",39,0,0,0,0
"45",30,9,0,0,0
"46",24,15,0,0,0
"47",27,6,6,0,0
"48",3,30,6,0,0
"49",39,0,0,0,0
"50",3,33,3,0,0
"51",24,15,0,0,0
"52",27,12,0,0,0
"53",21,18,0,0,0
"54",33,6,0,0,0
"55",27,12,0,0,0
"56",15,15,9,0,0
"57",3,33,3,0,0
"58",39,0,0,0,0
"59",21,18,0,0,0
"60",3,30,6,0,0
"61",36,3,0,0,0
"62",3,30,6,0,0
"63",18,21,0,0,0
"64",3,21,15,0,0
"65",30,9,0,0,0
"66",9,30,0,0,0
"67",15,24,0,0,0
"68",18,21,0,0,0
"69",36,3,0,0,0
"70",33,6,0,0,0
"71",18,21,0,0,0
"72",39,0,0,0,0
"73",12,27,0,0,0
"74",36,3,0,0,0
"75",27,12,0,0,0
"76",30,9,0,0,0
"77",12,27,0,0,0
"78",36,3,0,0,0
"79",15,24,0,0,0
"80",9,30,0,0,0
"81",18,9,12,0,0
"82",15,24,0,0,0
"83",6,30,3,0,0
"84",18,15,6,0,0
"85",3,33,3,0,0
"86",6,24,9,0,0
"87",12,27,0,0,0
"88",30,9,0,0,0
"89",36,3,0,0,0
"90",6,33,0,0,0
"91",3,36,0,0,0
"92",21,18,0,0,0
"93",24,15,0,0,0
"94",12,27,0,0,0
"95",30,9,0,0,0
"96",36,3,0,0,0
"97",24,12,3,0,0
"98",30,9,0,0,0
"99",39,0,0,0,0
"100",12,27,0,0,0
"101",27,12,0,0,0
"102",33,6,0,0,0
"103",21,9,9,0,0
"104",24,15,0,0,0
"105",15,9,12,3,0
"106",39,0,0,0,0
"107",36,3,0,0,0
"108",15,18,6,0,0
"109",21,18,0,0,0
"110",18,15,6,0,0
"111",27,12,0,0,0
"112",30,9,0,0,0
"113",6,30,3,0,0
"114",18,21,0,0,0
"115",30,9,0,0,0
"116",6,15,9,9,0
"117",39,0,0,0,0
"118",12,24,3,0,0
"119",36,3,0,0,0
"120",39,0,0,0,0
"121",3,33,3,0,0
"122",39,0,0,0,0
"123",27,9,3,0,0
"124",18,21,0,0,0
"125",24,12,3,0,0
"126",27,6,6,0,0
"127",36,3,0,0,0
"128",15,24,0,0,0
"129",3,30,6,0,0
"130",36,3,0,0,0
"131",36,3,0,0,0
"132",27,6,6,0,0
"133",18,21,0,0,0
"134",36,3,0,0,0
"135",3,33,3,0,0
"136",30,9,0,0,0
"137",3,36,0,0,0
"138",36,3,0,0,0
"139",39,0,0,0,0
"140",39,0,0,0,0
"141",39,0,0,0,0
"142",3,27,9,0,0
"143",21,12,6,0,0
"144",6,24,9,0,0
"145",30,9,0,0,0
"146",21,12,6,0,0
"147",15,24,0,0,0
"148",21,18,0,0,0
"149",3,18,15,3,0
"150",3,24,12,0,0
"151",39,0,0,0,0
"152",9,24,6,0,0
"153",15,18,6,0,0
"154",39,0,0,0,0
"155",15,24,0,0,0
"156",3,21,15,0,0
"157",36,3,0,0,0
"158",18,21,0,0,0
"159",27,12,0,0,0
"160",39,0,0,0,0
"161",18,21,0,0,0
"162",9,15,15,0,0
"163",39,0,0,0,0
"164",3,21,12,3,0
"165",15,24,0,0,0
"166",3,33,3,0,0
"167",27,12,0,0,0
"168",15,18,6,0,0
"169",15,24,0,0,0
"170",39,0,0,0,0
"171",27,12,0,0,0
"172",15,24,0,0,0
"173",24,15,0,0,0
"174",12,27,0,0,0
"175",30,9,0,0,0
"176",15,24,0,0,0
"177",33,6,0,0,0
"178",24,15,0,0,0
"179",15,24,0,0,0
"180",12,12,15,0,0
"181",33,6,0,0,0
"182",24,15,0,0,0
"183",27,12,0,0,0
"184",15,24,0,0,0
"185",30,9,0,0,0
"186",39,0,0,0,0
"187",36,3,0,0,0
"188",24,15,0,0,0
"189",36,3,0,0,0
"190",24,15,0,0,0
"191",30,9,0,0,0
"192",36,3,0,0,0
"193",24,15,0,0,0
"194",36,3,0,0,0
"195",27,12,0,0,0
"196",3,33,3,0,0
"197",3,36,0,0,0
"198",24,15,0,0,0
"199",39,0,0,0,0
"200",6,27,6,0,0
"201",39,0,0,0,0
"202",15,24,0,0,0
"203",3,36,0,0,0
"204",39,0,0,0,0
"205",36,3,0,0,0
"206",18,21,0,0,0
"207",3,24,12,0,0
"208",30,6,3,0,0
"209",39,0,0,0,0
"210",27,12,0,0,0
"211",24,12,3,0,0
"212",15,12,12,0,0
"213",6,33,0,0,0
"214",18,18,3,0,0
"215",36,3,0,0,0
"216",18,18,3,0,0
