"","x"
"1",7
"2",8
"3",10
"4",13
"5",10
"6",7
"7",12
"8",9
"9",13
"10",11
"11",9
"12",14
"13",10
"14",4
"15",13
"16",11
"17",13
"18",11
"19",8
"20",12
"21",13
"22",7
"23",10
"24",13
"25",11
"26",12
"27",12
"28",10
"29",6
"30",10
"31",12
"32",9
"33",10
"34",13
"35",11
"36",13
"37",10
"38",10
"39",9
"40",14
"41",15
"42",13
"43",16
"44",14
"45",16
"46",11
"47",11
"48",14
"49",11
"50",16
"51",13
"52",8
"53",12
"54",14
"55",10
"56",9
"57",11
"58",14
"59",10
"60",13
"61",6
"62",10
"63",12
"64",9
"65",13
"66",14
"67",13
"68",12
"69",11
"70",10
"71",9
"72",13
"73",11
"74",12
"75",12
"76",16
"77",8
"78",5
"79",11
"80",12
"81",11
"82",12
"83",6
"84",10
"85",13
"86",11
"87",7
"88",11
"89",10
"90",11
"91",11
"92",11
"93",12
"94",12
"95",12
"96",12
"97",8
"98",9
"99",13
"100",11
"101",10
"102",8
"103",6
"104",14
"105",8
"106",6
"107",11
"108",11
"109",14
"110",15
"111",12
"112",14
"113",6
"114",11
"115",11
"116",12
"117",12
"118",16
"119",12
"120",11
"121",12
"122",15
"123",11
"124",11
"125",13
"126",10
"127",10
"128",13
"129",14
"130",14
"131",12
"132",12
"133",12
"134",13
"135",11
"136",14
"137",10
"138",9
"139",12
"140",8
"141",11
"142",9
"143",14
"144",14
"145",15
"146",9
"147",13
"148",8
"149",16
"150",10
"151",12
"152",7
"153",11
"154",13
"155",11
"156",12
"157",10
"158",9
"159",9
"160",9
"161",12
"162",13
"163",14
"164",13
"165",8
"166",14
"167",11
"168",10
"169",11
"170",14
"171",18
"172",13
"173",10
"174",16
"175",11
"176",10
"177",12
"178",15
"179",14
"180",12
"181",9
"182",10
"183",17
"184",11
"185",11
"186",11
"187",10
"188",8
"189",12
"190",7
"191",14
"192",9
"193",7
"194",13
"195",7
"196",10
"197",10
"198",8
"199",12
"200",12
"201",13
"202",12
"203",12
"204",12
"205",10
"206",10
"207",9
"208",13
"209",10
"210",13
"211",12
"212",17
"213",10
"214",12
"215",15
"216",15
"217",11
"218",15
"219",11
"220",16
"221",12
"222",11
"223",10
"224",7
"225",7
"226",8
"227",16
"228",10
"229",12
"230",10
"231",12
"232",13
"233",12
"234",13
"235",11
"236",7
"237",10
"238",13
"239",9
"240",12
"241",11
"242",11
"243",9
"244",8
"245",10
"246",10
"247",14
"248",12
"249",6
"250",13
"251",10
"252",14
"253",12
"254",17
"255",13
"256",12
"257",11
"258",10
"259",9
"260",13
"261",10
"262",11
"263",14
"264",7
"265",14
"266",12
"267",15
"268",13
"269",12
"270",9
"271",17
"272",8
"273",10
"274",9
"275",7
"276",10
"277",11
"278",15
"279",13
"280",12
"281",12
"282",7
"283",14
"284",10
"285",10
"286",10
"287",10
"288",9
"289",8
"290",5
"291",11
"292",10
"293",14
"294",15
"295",11
"296",8
"297",11
"298",11
"299",11
"300",7
"301",10
"302",8
"303",11
"304",11
"305",9
"306",12
"307",11
"308",8
"309",11
"310",9
"311",12
"312",12
"313",10
"314",11
"315",11
"316",9
"317",13
"318",13
"319",11
"320",13
"321",10
"322",11
"323",7
"324",13
"325",12
"326",11
"327",12
"328",7
"329",8
"330",13
"331",11
"332",11
"333",10
"334",13
"335",12
"336",12
"337",11
"338",12
"339",11
"340",11
"341",11
"342",11
"343",10
"344",16
"345",9
"346",9
"347",6
"348",6
"349",11
"350",12
"351",13
"352",11
"353",11
"354",11
"355",8
"356",9
"357",9
"358",9
"359",11
"360",7
"361",10
"362",11
"363",12
"364",15
"365",9
"366",13
"367",12
"368",7
"369",7
"370",12
"371",11
"372",15
"373",18
"374",9
"375",10
"376",11
"377",15
"378",10
"379",11
"380",6
"381",12
"382",15
"383",11
"384",11
"385",11
"386",14
"387",12
"388",11
"389",10
"390",13
"391",12
"392",7
"393",12
"394",10
"395",9
"396",10
"397",13
"398",14
"399",13
"400",12
"401",13
"402",9
"403",8
"404",11
"405",9
"406",13
"407",5
"408",12
"409",16
"410",12
"411",10
"412",8
"413",13
"414",12
"415",10
"416",13
"417",15
"418",14
"419",10
"420",12
"421",12
"422",5
"423",12
"424",13
"425",13
"426",14
"427",14
"428",12
"429",10
"430",12
"431",8
"432",10
"433",10
"434",13
"435",12
"436",13
"437",10
"438",13
"439",13
"440",9
"441",11
"442",12
"443",11
"444",11
"445",17
"446",9
"447",10
"448",6
"449",12
"450",10
"451",11
"452",6
"453",14
"454",15
"455",7
"456",12
"457",8
"458",14
"459",11
