"","x"
"1",0
"2",6
"3",10
"4",7
"5",12
"6",8
"7",4
"8",6
"9",6
"10",8
"11",6
"12",2
"13",10
"14",5
"15",0
"16",5
"17",9
"18",5
"19",1
"20",3
"21",7
"22",7
"23",6
"24",8
"25",6
"26",7
"27",7
"28",7
"29",4
"30",5
"31",4
"32",7
"33",4
"34",5
"35",5
"36",9
"37",9
"38",7
"39",6
"40",6
"41",9
"42",3
"43",10
"44",8
"45",5
"46",8
"47",8
"48",5
"49",7
"50",7
"51",4
"52",6
"53",8
"54",5
"55",4
"56",8
"57",10
"58",8
"59",7
"60",7
"61",8
"62",5
"63",7
"64",4
"65",5
"66",10
"67",5
"68",11
"69",4
"70",8
"71",4
"72",5
"73",5
"74",6
"75",12
"76",7
"77",5
"78",4
"79",6
"80",13
"81",3
"82",6
"83",4
"84",9
"85",7
"86",6
"87",4
"88",7
"89",8
"90",5
"91",5
"92",7
"93",4
"94",8
"95",2
"96",7
"97",7
"98",7
"99",6
"100",3
"101",8
"102",5
"103",6
"104",6
"105",1
"106",9
"107",6
"108",5
"109",6
"110",6
"111",3
"112",5
"113",7
"114",4
"115",5
"116",5
"117",6
"118",6
"119",4
"120",7
"121",9
"122",5
"123",2
"124",9
"125",6
"126",6
"127",6
"128",10
"129",9
"130",7
"131",11
"132",10
"133",9
"134",7
"135",3
"136",5
"137",9
"138",4
"139",10
"140",7
"141",9
"142",8
"143",5
"144",12
"145",7
"146",6
"147",7
"148",4
"149",7
"150",5
"151",5
"152",8
"153",5
"154",10
"155",3
"156",5
"157",5
"158",5
"159",6
"160",10
"161",9
"162",6
"163",8
"164",6
"165",5
"166",8
"167",4
"168",3
"169",5
"170",10
"171",7
"172",4
"173",6
"174",8
"175",4
"176",9
"177",6
"178",7
"179",5
"180",4
"181",6
"182",8
"183",8
"184",6
"185",6
"186",6
"187",6
"188",7
"189",8
"190",7
"191",8
"192",5
"193",5
"194",4
"195",5
"196",9
"197",14
"198",11
"199",5
"200",4
"201",5
"202",6
"203",2
"204",8
"205",9
"206",7
"207",9
"208",8
"209",7
"210",7
"211",10
"212",8
"213",2
"214",7
"215",6
"216",6
"217",6
"218",6
"219",5
"220",4
"221",8
"222",5
"223",10
"224",4
"225",9
"226",10
"227",7
"228",6
"229",5
"230",6
"231",8
"232",7
"233",4
"234",5
"235",8
"236",3
"237",5
"238",6
"239",7
"240",8
"241",5
"242",6
"243",6
"244",1
"245",6
"246",4
"247",7
"248",2
"249",5
"250",6
"251",6
"252",2
"253",9
"254",5
"255",4
"256",6
"257",10
"258",8
"259",7
"260",12
"261",5
"262",8
"263",5
"264",8
"265",11
"266",10
"267",9
"268",11
"269",7
"270",7
"271",7
"272",4
"273",5
"274",6
"275",2
"276",12
"277",7
"278",7
"279",5
"280",5
"281",11
"282",8
"283",6
"284",7
"285",5
"286",4
"287",7
"288",6
"289",5
"290",3
"291",9
"292",2
"293",8
"294",6
"295",6
"296",12
"297",8
"298",4
"299",11
"300",6
"301",6
"302",6
"303",6
"304",8
"305",3
"306",5
"307",9
"308",8
"309",8
"310",7
"311",6
"312",6
"313",6
"314",5
"315",9
"316",5
"317",13
"318",10
"319",4
"320",7
"321",5
"322",8
"323",8
"324",5
"325",8
"326",5
"327",9
"328",9
"329",12
"330",6
"331",12
"332",3
"333",5
"334",10
"335",8
"336",8
"337",5
"338",9
"339",6
"340",4
"341",6
"342",7
"343",10
"344",7
"345",4
"346",3
"347",7
"348",7
"349",7
"350",6
"351",2
"352",7
"353",5
"354",5
"355",10
"356",6
"357",9
"358",6
"359",4
"360",6
"361",6
"362",7
"363",9
"364",10
"365",9
"366",4
"367",7
"368",7
"369",4
"370",4
"371",8
"372",6
"373",5
"374",4
"375",6
"376",8
"377",9
"378",10
"379",4
"380",5
"381",9
"382",4
"383",6
"384",4
"385",9
"386",7
"387",6
"388",5
"389",7
"390",6
"391",6
"392",6
"393",3
"394",9
"395",9
"396",10
"397",7
"398",3
"399",10
"400",8
"401",6
"402",6
"403",6
"404",4
"405",7
"406",8
"407",6
"408",9
"409",10
"410",4
"411",6
"412",7
"413",10
"414",7
"415",5
"416",8
"417",8
"418",11
"419",2
"420",11
"421",9
"422",4
"423",6
"424",7
"425",5
"426",3
"427",10
"428",6
"429",4
"430",6
"431",5
"432",11
"433",6
"434",8
"435",11
"436",1
"437",8
"438",7
"439",6
"440",3
"441",9
"442",8
"443",8
"444",4
"445",7
"446",9
"447",5
"448",4
"449",6
"450",6
"451",9
"452",4
"453",5
"454",4
"455",7
"456",4
"457",5
"458",5
"459",9
"460",3
"461",10
"462",5
"463",9
"464",4
"465",12
"466",5
"467",9
"468",4
"469",6
"470",8
"471",4
"472",7
"473",5
"474",11
"475",5
"476",5
"477",7
"478",10
"479",7
"480",3
"481",10
"482",9
"483",4
"484",9
