"","V1","V2","V3","V4","V5"
"1",3,30,6,0,0
"2",3,3,3,27,3
"3",3,9,27,0,0
"4",3,6,12,18,0
"5",3,3,12,21,0
"6",3,3,3,30,0
"7",3,3,3,12,18
"8",3,9,27,0,0
"9",3,3,3,15,15
"10",3,33,3,0,0
"11",3,3,9,24,0
"12",15,24,0,0,0
"13",3,3,30,3,0
"14",3,3,27,6,0
"15",3,6,6,24,0
"16",3,3,24,9,0
"17",3,3,33,0,0
"18",3,3,6,27,0
"19",3,3,18,15,0
"20",3,12,24,0,0
"21",3,3,9,24,0
"22",3,6,30,0,0
"23",3,3,12,21,0
"24",3,3,15,18,0
"25",3,3,18,15,0
"26",3,3,6,12,15
"27",3,3,3,21,9
"28",3,3,21,12,0
"29",6,33,0,0,0
"30",3,15,21,0,0
"31",3,12,24,0,0
"32",3,3,18,15,0
"33",3,3,3,15,15
"34",21,18,0,0,0
"35",3,30,6,0,0
"36",6,6,12,15,0
"37",3,3,18,15,0
"38",3,15,21,0,0
"39",3,3,33,0,0
"40",3,3,24,9,0
"41",3,3,3,30,0
"42",3,3,33,0,0
"43",6,33,0,0,0
"44",3,3,3,12,18
"45",3,3,12,21,0
"46",3,6,18,12,0
"47",3,9,27,0,0
"48",3,3,9,24,0
"49",3,6,30,0,0
"50",3,3,9,24,0
"51",3,6,27,3,0
"52",6,21,12,0,0
"53",3,3,3,30,0
"54",3,3,24,9,0
"55",3,15,21,0,0
"56",3,3,27,6,0
"57",3,3,30,3,0
"58",3,3,6,6,21
"59",3,3,3,27,3
"60",3,3,30,3,0
"61",3,6,12,18,0
"62",24,15,0,0,0
"63",3,3,33,0,0
"64",3,3,33,0,0
"65",3,6,30,0,0
"66",3,3,3,30,0
"67",9,30,0,0,0
"68",6,9,15,9,0
"69",3,3,3,3,27
"70",3,6,30,0,0
"71",3,3,30,3,0
"72",3,6,9,21,0
"73",3,6,21,9,0
"74",3,3,6,24,3
"75",3,3,6,24,3
"76",3,3,27,6,0
"77",3,15,21,0,0
"78",39,0,0,0,0
"79",3,6,6,24,0
"80",3,3,3,6,24
"81",6,21,12,0,0
"82",3,3,3,21,9
"83",3,9,27,0,0
"84",6,33,0,0,0
"85",3,6,12,18,0
"86",9,15,15,0,0
"87",3,3,12,21,0
"88",3,12,18,6,0
"89",3,3,3,30,0
"90",3,3,6,27,0
"91",3,3,33,0,0
"92",3,3,6,24,3
"93",3,6,30,0,0
"94",3,3,6,27,0
"95",3,6,27,3,0
"96",3,3,33,0,0
"97",18,21,0,0,0
"98",3,3,33,0,0
"99",3,3,30,3,0
"100",12,27,0,0,0
"101",3,3,24,9,0
"102",3,6,27,3,0
"103",9,15,15,0,0
"104",3,12,24,0,0
"105",36,3,0,0,0
"106",3,3,6,27,0
"107",3,3,18,15,0
"108",3,3,3,3,27
"109",3,3,3,30,0
"110",3,12,24,0,0
"111",3,3,9,24,0
"112",3,3,21,12,0
"113",6,21,12,0,0
"114",3,6,30,0,0
"115",3,6,6,21,3
"116",3,9,27,0,0
"117",3,6,30,0,0
"118",3,9,27,0,0
"119",3,18,18,0,0
"120",3,18,18,0,0
"121",3,6,30,0,0
"122",3,3,15,18,0
"123",3,6,30,0,0
"124",3,3,33,0,0
"125",6,12,21,0,0
"126",3,3,3,30,0
"127",27,12,0,0,0
"128",3,3,3,15,15
"129",3,3,6,27,0
"130",3,3,33,0,0
