"","x"
"1",15
"2",11
"3",8
"4",10
"5",10
"6",17
"7",8
"8",6
"9",10
"10",8
"11",5
"12",14
"13",11
"14",9
"15",13
"16",9
"17",11
"18",12
"19",7
"20",11
"21",11
"22",8
"23",7
"24",9
"25",12
"26",4
"27",10
"28",10
"29",14
"30",10
"31",11
"32",11
"33",11
"34",6
"35",10
"36",10
"37",6
"38",10
"39",12
"40",8
"41",10
"42",9
"43",10
"44",9
"45",8
"46",9
"47",14
"48",6
"49",9
"50",10
"51",10
"52",10
"53",10
"54",9
"55",7
"56",12
"57",8
"58",8
"59",9
"60",8
"61",11
"62",9
"63",10
"64",10
"65",10
"66",12
"67",14
"68",12
"69",14
"70",8
"71",12
"72",11
"73",7
"74",7
"75",5
"76",4
"77",12
"78",13
"79",5
"80",14
"81",7
"82",9
"83",12
"84",7
"85",10
"86",9
"87",9
"88",11
"89",11
"90",8
"91",14
"92",11
"93",6
"94",9
"95",13
"96",11
"97",7
"98",12
"99",13
"100",4
"101",12
"102",9
"103",10
"104",9
"105",10
"106",4
"107",11
"108",9
"109",13
"110",7
"111",10
"112",9
"113",7
"114",6
"115",13
"116",9
"117",11
"118",8
"119",11
"120",7
"121",11
"122",7
"123",7
"124",8
"125",13
"126",10
"127",12
"128",15
"129",7
"130",8
"131",13
"132",8
"133",9
"134",9
"135",14
"136",12
"137",13
"138",6
"139",9
"140",12
"141",12
"142",6
"143",13
"144",9
"145",8
"146",10
"147",10
"148",7
"149",3
"150",13
"151",9
"152",12
"153",11
"154",14
"155",12
"156",12
"157",9
"158",6
"159",15
"160",9
"161",9
"162",9
"163",9
"164",8
"165",10
"166",7
"167",10
"168",13
"169",11
"170",13
"171",7
"172",11
"173",8
"174",10
"175",11
"176",10
"177",9
"178",15
"179",10
"180",14
"181",10
"182",9
"183",11
"184",7
"185",15
"186",12
"187",10
"188",8
"189",5
"190",7
"191",11
"192",13
"193",9
"194",10
"195",12
"196",13
"197",8
"198",12
"199",13
"200",10
"201",8
"202",11
"203",9
"204",10
"205",10
"206",12
"207",15
"208",14
"209",11
"210",13
"211",11
"212",13
"213",10
"214",5
"215",9
"216",12
"217",9
"218",11
"219",8
"220",8
"221",4
"222",10
"223",15
"224",11
"225",10
"226",11
"227",8
"228",9
"229",10
"230",8
"231",8
"232",8
"233",10
"234",7
"235",11
"236",11
"237",6
"238",6
"239",10
"240",14
"241",11
"242",5
"243",10
"244",9
"245",9
"246",17
"247",18
"248",12
"249",10
"250",13
"251",5
"252",10
"253",8
"254",8
"255",7
"256",10
"257",10
"258",7
"259",9
"260",9
"261",10
"262",13
"263",8
"264",12
"265",9
"266",10
"267",8
"268",9
"269",16
"270",10
"271",14
"272",5
"273",10
"274",10
"275",10
"276",12
"277",15
"278",11
"279",11
"280",12
"281",7
"282",10
"283",12
"284",11
"285",9
"286",7
"287",12
"288",12
"289",15
"290",14
"291",10
"292",11
"293",13
"294",10
"295",14
"296",8
"297",9
"298",8
"299",11
"300",7
"301",10
"302",12
"303",12
"304",12
"305",11
"306",8
"307",8
"308",14
"309",9
"310",9
"311",8
"312",7
"313",7
"314",10
"315",11
"316",9
"317",8
"318",9
"319",7
"320",7
"321",11
"322",8
"323",12
"324",9
"325",11
"326",15
"327",10
"328",9
"329",11
"330",14
"331",8
"332",9
"333",10
"334",11
"335",11
"336",11
"337",10
"338",12
"339",14
"340",8
"341",7
"342",7
"343",10
"344",12
"345",13
"346",13
"347",5
"348",9
"349",16
"350",14
"351",10
"352",5
"353",16
"354",9
"355",8
"356",10
"357",4
"358",12
"359",11
"360",8
"361",11
"362",12
"363",12
"364",10
"365",10
"366",11
"367",10
"368",4
"369",10
"370",13
"371",11
"372",13
"373",14
"374",7
"375",11
"376",17
"377",8
"378",3
"379",10
"380",11
"381",5
"382",9
"383",7
"384",12
"385",17
"386",12
"387",10
"388",10
"389",6
"390",9
"391",8
"392",10
"393",11
"394",7
"395",9
"396",10
"397",11
"398",9
"399",13
"400",14
"401",13
"402",6
"403",10
"404",18
"405",11
"406",9
"407",9
"408",4
"409",13
"410",15
"411",13
"412",8
"413",12
"414",9
"415",9
"416",10
"417",5
"418",11
"419",13
"420",13
"421",14
"422",9
"423",8
"424",15
"425",13
"426",15
"427",16
"428",13
"429",9
"430",12
"431",8
"432",15
"433",6
"434",14
"435",8
"436",11
"437",4
"438",10
"439",10
"440",15
"441",12
"442",10
"443",12
"444",9
"445",5
"446",9
"447",10
"448",12
"449",12
"450",10
"451",10
"452",7
"453",11
"454",11
"455",15
"456",11
"457",10
"458",14
"459",11
"460",14
"461",11
"462",4
"463",9
"464",12
"465",11
"466",10
"467",9
"468",4
"469",6
"470",8
"471",4
"472",9
"473",7
"474",15
"475",8
"476",13
"477",12
"478",14
"479",7
"480",9
"481",16
"482",7
"483",10
"484",11
"485",7
"486",8
"487",15
"488",14
"489",9
"490",10
"491",13
"492",10
"493",8
"494",4
"495",8
"496",12
"497",9
"498",4
"499",11
"500",10
"501",9
"502",12
"503",6
"504",8
"505",10
"506",13
"507",6
"508",11
"509",16
"510",4
"511",12
"512",8
"513",10
"514",10
"515",13
"516",12
"517",8
"518",14
"519",8
"520",10
"521",4
"522",13
"523",12
"524",11
"525",14
"526",12
"527",12
"528",10
"529",12
"530",11
"531",5
"532",12
"533",8
"534",17
"535",10
"536",12
"537",11
"538",7
"539",13
"540",14
"541",12
"542",9
"543",8
"544",13
"545",3
"546",7
"547",17
"548",9
"549",13
"550",8
"551",10
"552",9
"553",8
"554",10
"555",14
"556",9
"557",8
"558",11
"559",11
"560",8
"561",13
"562",10
"563",8
"564",10
"565",9
"566",11
"567",5
"568",14
"569",8
"570",13
"571",10
"572",12
"573",8
"574",9
"575",9
"576",7
"577",13
"578",13
"579",11
"580",9
"581",10
"582",6
"583",13
"584",4
"585",7
"586",4
"587",13
"588",12
"589",7
"590",14
"591",11
"592",12
"593",10
"594",9
"595",5
"596",11
"597",12
"598",13
"599",7
"600",14
"601",11
"602",12
"603",12
"604",14
"605",11
"606",12
"607",10
"608",8
"609",7
"610",7
"611",9
"612",12
"613",14
"614",12
"615",8
"616",7
"617",11
"618",11
"619",6
"620",10
"621",9
"622",10
"623",8
"624",14
"625",14
"626",10
"627",12
"628",11
"629",7
"630",12
"631",8
"632",3
"633",8
"634",14
"635",9
"636",9
"637",14
"638",6
"639",9
"640",11
"641",13
"642",13
"643",7
"644",10
"645",14
"646",9
"647",12
"648",13
"649",14
"650",12
"651",10
"652",6
"653",11
"654",11
"655",11
"656",9
"657",8
"658",12
"659",3
"660",6
"661",13
"662",11
"663",10
"664",9
"665",8
"666",10
"667",8
"668",10
"669",9
"670",14
"671",15
"672",13
"673",6
"674",5
"675",11
"676",6
"677",12
"678",6
"679",15
"680",9
"681",8
"682",19
"683",8
"684",9
"685",6
"686",9
"687",5
"688",6
"689",10
"690",16
"691",9
"692",11
"693",7
"694",12
"695",9
"696",12
"697",11
"698",16
"699",11
"700",5
"701",10
"702",12
"703",9
"704",9
"705",10
"706",3
"707",6
"708",7
"709",10
"710",15
"711",13
"712",11
"713",14
"714",12
"715",7
"716",10
"717",13
"718",12
"719",12
"720",10
"721",14
"722",10
"723",8
"724",9
"725",7
"726",12
"727",11
"728",12
"729",10
"730",10
"731",11
"732",8
"733",13
"734",6
"735",11
"736",9
"737",10
"738",6
"739",10
"740",11
"741",13
"742",8
"743",9
"744",9
"745",9
"746",5
"747",8
"748",10
"749",13
"750",12
"751",14
"752",9
"753",12
"754",12
"755",14
"756",16
"757",11
"758",5
"759",11
"760",9
"761",4
"762",13
"763",9
"764",7
"765",4
"766",14
"767",12
"768",9
"769",8
"770",9
"771",7
"772",12
"773",10
"774",10
"775",12
"776",6
"777",8
"778",11
"779",12
"780",9
"781",12
"782",14
"783",8
"784",13
"785",9
"786",7
"787",12
"788",7
"789",13
"790",11
"791",9
"792",7
"793",11
"794",10
"795",14
"796",13
"797",5
"798",11
"799",10
"800",15
"801",9
"802",17
"803",10
"804",8
"805",8
"806",16
"807",15
"808",14
"809",9
"810",13
"811",12
"812",7
"813",14
"814",12
"815",9
"816",12
"817",14
"818",9
"819",11
"820",7
"821",11
"822",12
"823",8
"824",11
"825",9
"826",10
"827",10
"828",12
"829",8
"830",12
"831",10
"832",10
"833",6
"834",8
"835",9
"836",5
"837",11
"838",6
"839",10
"840",10
"841",8
"842",8
"843",12
"844",11
"845",9
"846",5
"847",14
"848",7
"849",11
"850",8
"851",10
"852",11
"853",10
"854",9
"855",7
"856",12
"857",12
"858",10
"859",9
"860",13
"861",12
"862",11
"863",9
"864",16
"865",13
"866",5
"867",10
"868",8
"869",11
"870",8
"871",15
"872",11
"873",9
"874",12
"875",14
"876",9
"877",13
"878",7
"879",15
"880",8
"881",11
"882",8
"883",17
"884",5
"885",12
"886",10
"887",11
"888",16
"889",11
"890",10
"891",9
"892",13
"893",4
"894",14
"895",7
"896",13
"897",13
"898",14
"899",11
"900",5
"901",8
"902",7
"903",11
"904",13
"905",12
"906",11
"907",11
"908",9
"909",4
"910",9
"911",11
"912",15
"913",8
"914",12
"915",9
"916",14
"917",13
"918",11
"919",13
"920",10
"921",9
"922",12
"923",9
"924",6
"925",9
"926",11
"927",8
"928",12
"929",8
"930",11
"931",7
"932",14
"933",7
"934",14
"935",13
"936",6
"937",7
"938",11
"939",9
"940",15
"941",9
"942",10
"943",10
"944",8
"945",13
"946",12
"947",11
"948",14
"949",15
"950",15
"951",16
"952",11
"953",13
"954",11
"955",7
"956",11
"957",12
"958",10
"959",8
"960",14
"961",10
"962",11
"963",10
"964",7
"965",8
"966",9
"967",7
"968",11
"969",11
"970",12
"971",9
"972",11
"973",9
"974",15
"975",10
"976",8
"977",10
"978",13
"979",11
"980",10
"981",9
"982",17
"983",10
"984",16
"985",11
"986",13
"987",15
"988",12
"989",5
"990",12
"991",11
"992",15
"993",10
"994",10
"995",7
"996",15
"997",7
"998",11
"999",8
"1000",10
"1001",6
"1002",6
"1003",9
"1004",15
"1005",9
"1006",7
"1007",14
"1008",10
"1009",7
"1010",16
"1011",9
"1012",13
"1013",7
"1014",11
"1015",12
"1016",12
"1017",5
"1018",6
"1019",13
"1020",10
"1021",8
"1022",14
"1023",13
"1024",11
"1025",11
"1026",12
"1027",6
"1028",10
"1029",9
"1030",5
"1031",12
"1032",11
"1033",15
"1034",8
"1035",12
"1036",11
"1037",11
"1038",14
"1039",5
"1040",12
"1041",12
"1042",14
"1043",7
"1044",14
"1045",8
"1046",8
"1047",12
"1048",8
"1049",9
"1050",9
"1051",18
"1052",6
"1053",7
"1054",7
"1055",14
"1056",15
"1057",15
"1058",9
"1059",10
"1060",8
"1061",10
"1062",11
"1063",11
"1064",13
"1065",7
"1066",10
"1067",13
"1068",7
"1069",11
"1070",10
"1071",9
"1072",11
"1073",11
"1074",14
"1075",14
"1076",13
"1077",8
"1078",10
"1079",11
"1080",12
"1081",9
"1082",5
"1083",8
"1084",7
"1085",13
"1086",10
"1087",11
"1088",9
"1089",7
"1090",4
"1091",11
"1092",7
"1093",8
"1094",10
"1095",9
"1096",11
"1097",12
"1098",13
"1099",15
"1100",9
"1101",9
"1102",12
"1103",10
"1104",12
"1105",8
"1106",4
"1107",8
"1108",7
"1109",11
"1110",6
"1111",13
"1112",9
"1113",9
"1114",8
"1115",12
"1116",12
"1117",10
"1118",15
"1119",8
"1120",10
"1121",9
"1122",10
"1123",7
"1124",11
"1125",9
"1126",9
"1127",10
"1128",6
"1129",10
"1130",10
"1131",11
"1132",13
"1133",13
"1134",9
"1135",8
"1136",10
"1137",8
"1138",11
"1139",6
"1140",10
"1141",7
"1142",13
"1143",8
"1144",6
"1145",9
"1146",14
"1147",8
"1148",8
"1149",11
"1150",11
"1151",11
"1152",9
"1153",11
"1154",8
"1155",9
"1156",11
"1157",12
"1158",14
"1159",12
"1160",3
"1161",11
"1162",12
"1163",10
"1164",7
"1165",7
"1166",10
"1167",7
"1168",11
"1169",7
"1170",11
"1171",6
"1172",9
"1173",7
"1174",8
"1175",9
"1176",12
"1177",8
"1178",9
"1179",11
"1180",7
"1181",9
"1182",17
"1183",5
"1184",12
"1185",10
"1186",10
"1187",10
"1188",8
"1189",10
"1190",8
"1191",15
"1192",13
"1193",10
"1194",12
"1195",16
"1196",4
"1197",13
"1198",9
"1199",6
"1200",7
"1201",8
"1202",8
"1203",6
"1204",12
"1205",10
"1206",16
"1207",10
"1208",6
"1209",7
"1210",10
"1211",11
"1212",11
"1213",12
"1214",7
"1215",10
"1216",10
"1217",7
"1218",10
"1219",8
"1220",9
