"","x"
"1",23
"2",26
"3",18
"4",16
"5",16
"6",23
"7",16
"8",13
"9",17
"10",18
"11",21
"12",15
"13",21
"14",19
"15",22
"16",23
"17",21
"18",23
"19",20
"20",18
"21",24
"22",18
"23",23
"24",18
"25",21
"26",15
"27",25
"28",18
"29",17
"30",20
"31",20
"32",21
"33",17
"34",21
"35",18
"36",21
"37",20
"38",19
"39",14
"40",22
"41",25
"42",18
"43",17
"44",20
"45",18
"46",20
"47",21
"48",16
"49",24
"50",17
"51",20
"52",20
"53",16
"54",20
"55",19
"56",24
"57",17
"58",17
"59",15
"60",18
"61",19
"62",24
"63",21
"64",20
"65",22
"66",17
"67",22
"68",15
"69",19
"70",15
"71",25
"72",18
"73",21
"74",23
"75",17
"76",16
"77",21
"78",18
"79",20
"80",21
"81",23
"82",23
"83",16
"84",22
"85",17
"86",21
"87",14
"88",18
"89",14
"90",19
"91",19
"92",20
"93",17
"94",22
"95",22
"96",21
"97",19
"98",18
"99",21
"100",19
"101",24
"102",16
"103",16
"104",24
"105",17
"106",18
"107",20
"108",20
"109",23
"110",21
"111",22
"112",24
"113",23
"114",15
"115",21
"116",22
"117",21
"118",18
"119",21
"120",20
"121",20
"122",22
"123",23
"124",21
"125",23
"126",24
"127",22
"128",22
"129",22
"130",17
"131",23
"132",19
"133",23
"134",18
"135",24
"136",21
"137",21
"138",16
"139",18
"140",18
"141",20
"142",22
"143",20
"144",21
"145",16
"146",22
"147",19
"148",22
"149",21
"150",23
"151",15
"152",19
"153",17
"154",20
"155",17
"156",24
"157",14
"158",18
"159",19
"160",20
"161",13
"162",22
"163",19
"164",17
"165",23
"166",19
"167",22
"168",23
"169",21
"170",23
"171",19
"172",18
"173",20
"174",24
"175",22
"176",17
"177",24
"178",19
"179",16
"180",19
"181",16
"182",21
"183",17
"184",22
"185",26
"186",19
"187",21
"188",18
"189",19
"190",19
"191",17
"192",20
"193",20
"194",24
"195",19
"196",18
"197",19
"198",25
"199",19
"200",23
"201",24
"202",19
"203",21
"204",23
"205",22
"206",22
"207",21
"208",18
"209",20
"210",21
"211",21
"212",22
"213",19
"214",20
"215",15
"216",20
"217",17
"218",24
"219",19
"220",22
"221",21
"222",21
"223",18
"224",19
"225",23
"226",22
"227",18
"228",21
"229",19
"230",18
"231",20
"232",20
"233",21
"234",22
"235",21
"236",17
"237",20
"238",19
"239",17
"240",21
"241",23
"242",19
"243",17
"244",19
"245",24
"246",23
"247",21
"248",17
"249",17
"250",24
"251",24
"252",23
"253",16
"254",22
"255",16
"256",16
"257",23
"258",20
"259",18
"260",19
"261",25
"262",23
"263",18
"264",19
"265",20
"266",21
"267",13
"268",16
"269",21
"270",21
"271",22
"272",17
"273",20
"274",21
"275",20
"276",23
"277",15
"278",24
"279",20
"280",22
"281",22
"282",22
"283",21
"284",24
"285",16
"286",22
"287",19
"288",24
"289",18
"290",15
"291",19
"292",18
"293",18
"294",23
"295",18
"296",18
"297",23
"298",19
"299",18
"300",19
"301",21
"302",22
"303",17
"304",19
"305",22
"306",18
"307",15
"308",16
"309",16
"310",20
"311",24
"312",17
"313",20
"314",21
"315",25
"316",19
"317",22
"318",21
"319",18
"320",16
"321",18
"322",22
"323",23
"324",22
"325",16
"326",18
"327",19
"328",17
"329",22
"330",20
"331",18
"332",20
"333",18
"334",17
"335",19
"336",18
"337",23
"338",22
"339",22
"340",15
"341",24
"342",18
"343",14
"344",22
"345",19
"346",20
"347",16
"348",21
"349",22
"350",20
"351",16
"352",21
"353",19
"354",21
"355",18
"356",20
"357",20
"358",20
"359",21
"360",17
"361",16
"362",21
"363",20
"364",19
"365",20
"366",22
"367",19
"368",23
"369",18
"370",23
"371",16
"372",19
"373",19
"374",23
"375",19
"376",22
"377",20
"378",18
"379",15
"380",20
"381",18
"382",19
"383",22
"384",20
"385",22
"386",21
"387",17
"388",16
"389",20
"390",19
"391",20
"392",20
"393",23
"394",19
"395",18
"396",16
"397",17
"398",22
"399",22
"400",22
"401",20
"402",19
"403",20
"404",25
"405",21
"406",18
"407",17
"408",21
"409",20
"410",12
"411",16
"412",19
"413",21
"414",19
"415",21
"416",18
"417",18
"418",21
"419",20
"420",19
"421",14
"422",20
"423",21
"424",22
"425",19
"426",15
"427",20
"428",22
"429",17
"430",17
"431",21
"432",24
"433",20
"434",19
"435",17
"436",18
"437",17
