"","x"
"1",6
"2",4
"3",1
"4",2
"5",2
"6",3
"7",2
"8",4
"9",2
"10",4
"11",2
"12",3
"13",0
"14",2
"15",2
"16",3
"17",2
"18",2
"19",4
"20",1
"21",2
"22",2
"23",1
"24",2
"25",4
"26",4
"27",1
"28",0
"29",4
"30",2
"31",2
"32",1
"33",0
"34",2
"35",2
"36",5
"37",5
"38",4
"39",2
"40",3
"41",5
"42",3
"43",1
"44",1
"45",1
"46",1
"47",2
"48",3
"49",2
"50",0
"51",4
"52",1
"53",0
"54",5
"55",4
"56",1
"57",0
"58",1
"59",5
"60",1
"61",3
"62",3
"63",5
"64",0
"65",4
"66",4
"67",1
"68",2
"69",1
"70",2
"71",1
"72",3
"73",1
"74",4
"75",1
"76",2
"77",0
"78",3
"79",4
"80",1
"81",3
"82",2
"83",3
"84",2
"85",3
"86",3
"87",3
"88",2
"89",1
"90",0
"91",3
"92",1
"93",3
"94",5
"95",1
"96",3
"97",1
"98",3
"99",2
"100",3
"101",1
"102",2
"103",3
"104",1
"105",4
"106",1
"107",2
"108",1
"109",1
"110",2
"111",1
"112",3
"113",3
"114",3
"115",2
"116",0
"117",3
"118",4
"119",2
"120",1
"121",1
"122",3
"123",0
"124",3
"125",3
"126",5
"127",0
"128",2
"129",1
"130",2
"131",1
"132",3
"133",1
"134",2
"135",1
"136",1
"137",3
"138",2
"139",4
"140",0
"141",7
"142",1
"143",2
"144",0
"145",1
"146",1
"147",5
"148",3
"149",5
"150",3
"151",1
"152",1
"153",3
"154",1
"155",0
"156",4
"157",4
"158",1
"159",4
"160",4
"161",2
"162",0
"163",1
"164",2
"165",4
"166",1
"167",4
"168",2
"169",1
"170",2
"171",1
"172",2
"173",4
"174",3
"175",1
"176",0
"177",3
"178",0
"179",1
"180",1
"181",0
"182",2
"183",4
"184",0
"185",2
"186",3
"187",3
"188",3
"189",3
"190",2
"191",0
"192",1
"193",1
"194",0
"195",0
"196",1
"197",3
"198",0
"199",1
"200",2
"201",3
"202",1
"203",2
"204",0
"205",2
"206",2
"207",2
"208",0
"209",3
"210",2
"211",1
"212",2
"213",2
"214",2
"215",3
"216",3
"217",2
"218",5
"219",5
"220",2
"221",1
"222",2
"223",4
"224",2
"225",2
"226",4
"227",3
"228",2
"229",1
"230",1
"231",7
"232",1
"233",3
"234",4
"235",1
"236",2
"237",1
"238",1
"239",1
"240",3
"241",3
"242",4
"243",2
"244",1
"245",1
"246",2
"247",2
"248",0
"249",2
"250",2
"251",1
"252",2
"253",1
"254",2
"255",4
"256",4
"257",1
"258",2
"259",2
"260",0
"261",3
"262",4
"263",2
"264",6
"265",3
"266",3
"267",0
"268",4
"269",1
"270",2
"271",5
"272",0
"273",1
"274",1
"275",1
"276",2
"277",2
"278",1
"279",3
"280",0
"281",2
"282",4
"283",4
"284",1
"285",1
"286",1
"287",3
"288",1
"289",1
"290",1
"291",2
"292",1
"293",3
"294",3
"295",2
"296",2
"297",0
"298",1
"299",1
"300",5
"301",3
"302",1
"303",2
"304",1
"305",3
"306",3
"307",2
"308",4
"309",3
"310",3
"311",0
"312",3
"313",4
"314",3
"315",3
"316",1
"317",7
"318",1
"319",2
"320",2
"321",3
"322",2
"323",4
"324",0
"325",1
"326",3
"327",2
"328",3
"329",3
"330",2
"331",3
"332",1
"333",3
"334",1
"335",3
"336",0
"337",1
"338",0
"339",3
"340",0
"341",2
"342",0
"343",4
"344",2
"345",3
"346",3
"347",2
"348",4
"349",1
"350",0
"351",0
"352",2
"353",6
"354",3
"355",4
"356",2
"357",2
"358",6
"359",1
"360",0
"361",3
"362",1
"363",2
"364",2
"365",2
"366",3
"367",2
"368",1
"369",5
"370",1
"371",2
"372",1
"373",4
"374",3
"375",7
"376",2
"377",4
"378",2
"379",0
"380",2
"381",2
"382",3
"383",3
"384",1
"385",3
"386",4
"387",2
"388",1
"389",2
"390",1
"391",5
"392",5
"393",3
"394",2
"395",1
"396",1
"397",5
"398",3
"399",2
"400",3
"401",2
"402",0
"403",1
"404",2
"405",4
"406",0
"407",3
"408",3
"409",2
"410",3
"411",2
"412",4
"413",1
"414",1
"415",2
"416",3
"417",0
"418",4
"419",1
"420",6
"421",2
"422",2
"423",0
"424",3
"425",2
"426",3
"427",2
"428",3
"429",2
"430",4
"431",3
"432",4
"433",5
"434",3
"435",1
"436",0
"437",1
"438",0
"439",3
"440",1
"441",6
"442",2
"443",4
"444",2
"445",3
"446",1
"447",1
"448",3
"449",2
"450",3
"451",4
"452",3
"453",3
"454",0
"455",1
"456",3
"457",2
"458",3
"459",2
"460",2
"461",1
"462",1
"463",2
"464",3
"465",0
"466",2
"467",0
"468",2
"469",4
"470",2
"471",4
"472",1
"473",4
"474",4
"475",2
"476",2
"477",3
"478",7
"479",2
"480",0
"481",1
"482",1
"483",1
"484",2
"485",4
"486",1
"487",0
"488",2
"489",1
"490",4
"491",2
"492",5
"493",4
"494",3
"495",5
"496",4
"497",2
"498",3
"499",2
"500",2
"501",2
"502",4
"503",4
"504",1
"505",3
"506",2
"507",4
"508",0
"509",2
"510",2
"511",3
"512",3
"513",3
"514",0
"515",3
"516",5
"517",2
"518",3
"519",2
"520",1
"521",1
"522",3
"523",1
"524",2
"525",2
"526",3
"527",3
"528",1
"529",1
"530",3
"531",2
"532",0
"533",3
"534",3
"535",2
"536",1
"537",3
"538",5
"539",1
"540",2
"541",1
"542",4
"543",4
"544",1
"545",2
"546",4
"547",3
"548",2
"549",0
"550",3
"551",4
"552",1
"553",1
"554",2
"555",1
"556",1
"557",3
"558",4
"559",2
"560",2
"561",2
"562",1
"563",1
"564",1
"565",1
"566",4
"567",4
"568",3
"569",4
"570",2
"571",1
"572",1
"573",3
"574",4
"575",1
"576",1
"577",1
"578",0
"579",4
"580",5
"581",4
"582",2
"583",2
"584",3
"585",5
"586",0
"587",1
"588",3
"589",2
"590",5
"591",3
"592",6
"593",1
"594",2
"595",2
"596",1
"597",4
"598",4
"599",0
"600",3
"601",1
"602",5
"603",4
"604",1
"605",3
"606",1
"607",3
"608",1
"609",1
"610",1
"611",2
"612",2
"613",1
"614",2
"615",2
"616",3
"617",5
"618",3
"619",3
"620",4
"621",0
"622",2
"623",1
"624",0
"625",1
"626",2
"627",4
"628",1
"629",3
"630",1
"631",1
"632",3
"633",4
"634",3
"635",4
"636",4
"637",2
"638",1
"639",1
"640",2
"641",3
"642",1
"643",2
"644",0
"645",2
"646",3
"647",4
"648",2
"649",1
"650",3
"651",6
"652",1
"653",4
"654",0
"655",2
"656",2
"657",3
"658",0
"659",5
"660",3
"661",2
"662",2
"663",7
"664",2
"665",5
"666",2
"667",5
"668",4
"669",2
"670",1
"671",2
"672",5
"673",2
"674",3
"675",1
"676",1
"677",1
"678",5
"679",5
"680",1
"681",3
"682",2
"683",2
"684",2
"685",1
"686",2
"687",4
"688",1
"689",4
"690",1
"691",3
"692",4
"693",0
"694",1
"695",2
"696",1
"697",2
"698",2
"699",4
"700",2
"701",0
"702",2
"703",2
"704",1
"705",0
"706",2
"707",0
"708",3
"709",1
"710",1
"711",1
"712",2
"713",1
"714",1
"715",1
"716",1
"717",2
"718",2
"719",1
"720",4
"721",2
"722",3
"723",3
"724",0
"725",2
"726",0
"727",2
"728",2
"729",3
"730",3
"731",4
"732",1
"733",2
"734",4
"735",0
"736",1
"737",4
"738",2
"739",1
"740",2
"741",4
"742",2
"743",3
"744",4
"745",3
"746",1
"747",1
"748",2
"749",1
"750",2
"751",2
"752",4
"753",2
"754",3
"755",1
"756",2
"757",2
"758",3
"759",3
"760",4
"761",2
"762",2
"763",1
"764",4
"765",3
"766",3
"767",1
"768",2
"769",3
"770",3
"771",1
"772",1
"773",2
"774",4
"775",3
"776",3
"777",3
"778",6
"779",3
"780",2
"781",2
"782",3
"783",5
"784",0
"785",4
"786",5
"787",1
"788",2
"789",0
"790",0
"791",4
"792",2
"793",3
"794",1
"795",3
"796",4
"797",2
"798",1
"799",0
"800",3
"801",0
"802",3
"803",4
"804",2
"805",3
"806",0
"807",5
"808",2
"809",0
"810",0
"811",3
"812",1
"813",0
"814",3
"815",1
"816",3
"817",3
"818",2
"819",1
"820",3
"821",2
"822",3
"823",2
"824",3
"825",1
"826",1
"827",5
"828",5
"829",4
"830",3
"831",4
"832",1
"833",1
"834",5
"835",3
"836",0
"837",2
"838",2
"839",2
"840",2
"841",3
"842",6
"843",3
"844",2
"845",4
"846",0
"847",1
"848",3
"849",4
"850",3
"851",3
"852",4
"853",1
"854",4
"855",1
"856",3
"857",2
"858",2
"859",0
"860",1
"861",2
"862",0
"863",0
"864",6
"865",3
"866",4
"867",1
"868",4
"869",1
"870",7
"871",1
"872",4
"873",1
"874",2
"875",1
"876",1
"877",2
"878",5
"879",1
"880",1
"881",4
"882",2
"883",1
"884",2
"885",2
"886",3
"887",3
"888",1
"889",1
"890",3
"891",1
"892",4
"893",2
"894",0
"895",4
"896",1
"897",1
"898",4
"899",1
"900",2
"901",4
"902",1
"903",2
"904",3
"905",1
"906",3
"907",2
"908",1
"909",2
"910",2
"911",3
"912",3
"913",1
"914",3
"915",3
"916",1
"917",1
"918",2
"919",3
"920",5
"921",4
"922",4
"923",0
"924",4
"925",5
"926",1
"927",5
"928",2
"929",2
"930",5
"931",1
"932",0
"933",2
"934",3
"935",1
"936",2
"937",1
"938",3
"939",3
"940",2
"941",0
"942",1
"943",4
"944",4
"945",1
"946",0
"947",3
"948",7
"949",4
"950",2
"951",4
"952",6
"953",3
"954",3
"955",4
"956",1
"957",0
"958",2
"959",1
"960",3
"961",1
"962",0
"963",2
"964",2
"965",0
"966",2
"967",2
"968",2
"969",1
"970",2
"971",3
"972",2
"973",1
"974",5
"975",1
"976",2
"977",2
"978",0
"979",3
"980",2
"981",0
"982",2
"983",3
"984",4
"985",4
"986",2
"987",2
"988",3
"989",4
"990",2
"991",4
"992",3
"993",2
"994",2
"995",2
"996",1
"997",4
"998",4
"999",2
"1000",2
"1001",4
"1002",4
"1003",1
"1004",5
"1005",2
"1006",1
"1007",2
"1008",4
"1009",0
"1010",2
"1011",5
"1012",1
"1013",4
"1014",1
"1015",6
"1016",3
"1017",0
"1018",3
"1019",1
"1020",2
"1021",1
"1022",1
"1023",4
"1024",1
"1025",1
"1026",1
"1027",2
"1028",4
"1029",3
"1030",1
"1031",3
"1032",1
"1033",1
"1034",4
"1035",0
"1036",1
"1037",2
"1038",1
"1039",2
"1040",3
"1041",2
"1042",5
"1043",0
"1044",1
"1045",1
"1046",3
"1047",3
"1048",2
"1049",1
"1050",2
"1051",4
"1052",0
"1053",3
"1054",5
"1055",2
"1056",2
"1057",1
"1058",2
"1059",3
"1060",2
"1061",4
"1062",0
"1063",3
"1064",3
"1065",4
"1066",4
"1067",0
"1068",4
"1069",4
"1070",5
"1071",4
"1072",0
"1073",3
"1074",1
"1075",1
"1076",2
"1077",1
"1078",5
"1079",1
"1080",1
"1081",2
"1082",1
"1083",0
"1084",4
"1085",3
"1086",0
"1087",2
"1088",1
"1089",2
"1090",2
"1091",0
"1092",2
"1093",2
"1094",1
"1095",0
"1096",4
"1097",5
"1098",0
"1099",2
"1100",0
"1101",2
"1102",1
"1103",3
"1104",4
"1105",2
"1106",2
"1107",3
"1108",0
"1109",2
"1110",0
"1111",5
"1112",3
"1113",0
"1114",1
"1115",3
"1116",2
"1117",3
"1118",3
"1119",5
"1120",4
"1121",2
"1122",0
"1123",1
"1124",3
"1125",2
"1126",2
"1127",1
"1128",3
"1129",2
"1130",3
"1131",3
"1132",1
"1133",4
"1134",4
"1135",1
"1136",1
"1137",0
"1138",2
"1139",0
"1140",0
"1141",4
"1142",2
"1143",5
"1144",4
"1145",2
"1146",2
"1147",1
"1148",2
"1149",4
"1150",2
"1151",2
"1152",1
"1153",0
"1154",3
"1155",2
"1156",4
"1157",7
"1158",3
"1159",1
"1160",1
"1161",5
"1162",2
"1163",3
"1164",3
"1165",5
"1166",2
"1167",2
"1168",0
"1169",2
"1170",2
"1171",1
"1172",3
"1173",4
"1174",0
"1175",4
"1176",1
"1177",4
"1178",3
"1179",0
"1180",6
"1181",2
"1182",0
"1183",1
"1184",3
"1185",3
"1186",2
"1187",5
"1188",1
"1189",2
"1190",0
"1191",2
"1192",1
"1193",4
"1194",1
"1195",1
"1196",3
"1197",1
"1198",2
"1199",0
"1200",0
"1201",3
"1202",2
"1203",3
"1204",1
"1205",5
"1206",3
"1207",2
"1208",1
"1209",2
"1210",4
"1211",1
"1212",0
"1213",2
"1214",2
"1215",0
"1216",6
"1217",2
"1218",0
"1219",2
"1220",2
"1221",4
"1222",5
"1223",0
"1224",4
"1225",1
"1226",2
"1227",0
"1228",4
"1229",3
"1230",5
"1231",1
"1232",2
"1233",2
"1234",1
"1235",2
"1236",5
"1237",4
"1238",1
"1239",4
"1240",4
"1241",4
"1242",1
"1243",5
"1244",2
"1245",1
"1246",3
"1247",4
"1248",1
"1249",1
"1250",3
