"","V1","V2","V3","V4","V5"
"1",3,3,15,18,0
"2",3,3,3,15,15
"3",3,3,15,15,3
"4",3,6,30,0,0
"5",3,3,3,24,6
"6",3,9,24,3,0
"7",3,3,3,30,0
"8",3,3,12,18,3
"9",3,3,3,30,0
"10",3,3,33,0,0
"11",3,3,6,24,3
"12",3,3,6,12,15
"13",3,3,6,21,6
"14",3,3,18,15,0
"15",3,3,6,6,21
"16",3,6,30,0,0
"17",3,3,3,30,0
"18",3,3,21,12,0
"19",6,9,9,15,0
"20",3,3,6,27,0
"21",3,3,3,24,6
"22",3,3,9,24,0
"23",3,3,12,21,0
"24",3,3,3,24,6
"25",3,3,6,15,12
"26",3,3,3,27,3
"27",3,3,12,9,12
"28",3,3,3,24,6
"29",3,3,6,27,0
"30",3,3,6,27,0
"31",3,3,3,3,27
"32",3,6,30,0,0
"33",3,3,9,24,0
"34",3,3,15,18,0
"35",3,3,9,24,0
"36",3,6,27,3,0
"37",3,3,3,24,6
"38",3,3,6,27,0
"39",3,3,21,12,0
"40",3,3,3,21,9
"41",3,3,6,12,15
"42",3,3,6,15,12
"43",3,12,24,0,0
"44",3,3,12,21,0
"45",3,3,15,18,0
"46",3,3,3,12,18
"47",3,3,3,18,12
"48",3,3,9,24,0
"49",3,3,15,18,0
"50",3,6,15,15,0
"51",3,3,6,27,0
"52",3,3,15,18,0
"53",3,3,33,0,0
"54",3,3,3,27,3
"55",3,3,6,24,3
"56",3,3,6,27,0
"57",3,3,30,3,0
"58",3,3,6,27,0
"59",3,3,6,18,9
"60",3,3,33,0,0
"61",3,3,6,27,0
"62",3,3,33,0,0
"63",3,3,3,24,6
"64",3,3,12,21,0
"65",3,3,12,21,0
"66",3,6,12,18,0
"67",3,3,9,24,0
"68",3,3,24,9,0
"69",3,3,18,15,0
"70",3,3,12,18,3
"71",3,3,6,21,6
"72",3,3,3,27,3
"73",3,3,9,24,0
"74",3,3,3,6,24
"75",3,6,15,15,0
"76",3,3,33,0,0
"77",3,3,6,15,12
"78",3,3,15,18,0
"79",3,6,15,15,0
"80",3,3,30,3,0
"81",3,3,12,21,0
"82",3,3,6,24,3
"83",3,3,3,30,0
"84",3,3,9,18,6
"85",3,3,9,24,0
"86",3,3,3,12,18
"87",3,3,12,21,0
"88",3,3,21,12,0
"89",3,3,3,30,0
"90",3,3,3,30,0
"91",3,3,6,27,0
"92",3,3,18,15,0
"93",3,3,3,9,21
"94",3,3,9,24,0
"95",3,3,9,24,0
"96",3,3,6,21,6
"97",3,3,18,15,0
"98",3,3,3,9,21
"99",3,3,6,27,0
"100",3,3,21,12,0
"101",3,3,30,3,0
"102",3,3,12,21,0
"103",3,3,3,30,0
"104",3,3,3,12,18
"105",3,3,6,18,9
"106",3,3,3,30,0
"107",3,3,3,30,0
"108",3,3,6,27,0
"109",3,6,30,0,0
"110",3,3,27,6,0
"111",3,3,9,24,0
"112",3,3,6,27,0
"113",3,3,9,24,0
"114",3,3,6,21,6
"115",3,3,6,27,0
"116",3,3,33,0,0
"117",3,3,6,12,15
"118",3,3,3,15,15
"119",3,3,6,27,0
"120",3,3,3,30,0
"121",3,3,3,24,6
"122",3,3,3,24,6
"123",3,3,30,3,0
"124",3,3,6,27,0
"125",3,3,21,12,0
"126",3,6,30,0,0
"127",3,12,24,0,0
"128",3,3,12,21,0
"129",3,3,6,24,3
"130",3,3,6,27,0
"131",3,3,6,27,0
"132",3,3,27,6,0
"133",3,3,33,0,0
"134",3,3,6,27,0
"135",3,3,12,21,0
"136",3,3,12,21,0
"137",3,3,12,21,0
"138",3,3,3,21,9
"139",3,6,30,0,0
"140",3,3,3,30,0
"141",3,3,6,21,6
"142",3,3,3,30,0
"143",3,3,21,12,0
"144",3,3,3,27,3
"145",3,3,12,21,0
"146",3,3,3,21,9
"147",3,3,3,27,3
"148",3,3,3,12,18
"149",3,3,6,27,0
"150",3,6,15,15,0
"151",3,3,12,21,0
"152",3,3,3,21,9
"153",3,3,3,24,6
"154",3,3,3,30,0
"155",3,3,6,18,9
"156",3,3,9,24,0
"157",3,3,21,12,0
"158",3,3,3,3,27
"159",3,3,6,27,0
"160",3,3,21,12,0
"161",3,3,6,15,12
"162",3,3,12,18,3
"163",3,3,30,3,0
"164",3,3,15,18,0
"165",3,3,33,0,0
"166",3,6,18,12,0
"167",3,3,6,27,0
"168",3,3,6,24,3
"169",3,6,9,21,0
"170",3,3,21,12,0
"171",3,3,3,18,12
"172",3,3,6,27,0
"173",3,3,12,21,0
"174",3,3,15,18,0
"175",3,3,12,21,0
"176",3,3,3,15,15
"177",3,3,12,21,0
"178",3,3,6,27,0
"179",3,3,6,27,0
"180",3,3,21,12,0
"181",3,3,6,21,6
"182",3,3,6,27,0
"183",3,3,9,21,3
"184",3,12,21,3,0
"185",3,3,3,3,27
"186",3,12,15,9,0
"187",3,3,21,12,0
"188",3,3,12,21,0
"189",3,6,21,9,0
"190",3,3,6,27,0
"191",3,3,3,18,12
"192",3,3,12,21,0
"193",3,3,6,27,0
"194",3,3,9,24,0
"195",3,3,6,27,0
"196",3,3,6,27,0
"197",3,3,3,12,18
"198",3,3,6,24,3
"199",3,12,9,15,0
"200",3,3,9,24,0
"201",3,3,6,18,9
"202",3,3,6,27,0
"203",3,3,9,24,0
"204",3,3,27,6,0
"205",3,6,27,3,0
"206",3,3,18,15,0
"207",3,3,12,21,0
"208",3,3,6,27,0
"209",3,3,6,21,6
"210",3,6,30,0,0
"211",3,3,18,15,0
"212",3,3,3,27,3
"213",3,3,30,3,0
"214",3,3,6,27,0
"215",3,3,18,15,0
"216",3,3,6,6,21
"217",3,3,3,9,21
"218",3,3,6,15,12
"219",3,3,3,6,24
"220",3,3,27,6,0
"221",3,3,6,21,6
"222",3,3,12,21,0
"223",3,3,15,18,0
"224",3,3,3,27,3
"225",3,3,27,6,0
"226",3,3,6,27,0
"227",3,3,12,21,0
"228",3,3,6,27,0
"229",3,3,15,18,0
"230",3,15,21,0,0
"231",3,3,18,15,0
"232",3,9,27,0,0
"233",3,9,21,6,0
"234",3,3,21,12,0
"235",3,3,15,18,0
"236",3,3,3,15,15
"237",3,3,18,15,0
"238",3,9,9,18,0
"239",3,3,15,18,0
"240",3,15,21,0,0
"241",3,3,3,27,3
"242",3,3,3,15,15
"243",3,3,3,30,0
"244",3,3,6,6,21
"245",3,3,15,18,0
"246",3,3,15,18,0
"247",3,6,18,12,0
"248",3,3,30,3,0
"249",3,3,9,24,0
"250",3,3,24,9,0
"251",3,3,3,30,0
"252",3,3,3,27,3
"253",3,3,9,24,0
"254",3,3,3,12,18
"255",3,3,3,3,27
"256",6,9,18,6,0
"257",3,3,3,30,0
"258",3,3,3,30,0
"259",3,3,15,18,0
"260",3,3,30,3,0
"261",3,6,21,9,0
"262",3,3,6,27,0
"263",3,3,3,15,15
"264",3,3,3,6,24
"265",3,3,21,12,0
"266",3,3,3,24,6
"267",3,3,18,15,0
"268",3,3,24,9,0
"269",3,3,21,12,0
"270",3,3,30,3,0
"271",3,6,30,0,0
"272",3,3,3,6,24
"273",3,3,18,15,0
"274",3,3,24,9,0
"275",3,6,21,9,0
"276",3,3,21,12,0
"277",3,6,21,9,0
"278",3,3,3,27,3
"279",3,3,6,27,0
"280",3,3,3,30,0
"281",3,3,15,18,0
"282",3,3,6,6,21
"283",3,3,3,30,0
"284",6,15,18,0,0
"285",3,3,15,18,0
"286",3,3,3,30,0
"287",3,3,3,24,6
"288",3,3,3,24,6
"289",3,3,9,18,6
"290",3,3,3,30,0
"291",3,3,18,15,0
"292",3,15,21,0,0
"293",3,3,3,9,21
"294",3,3,9,24,0
"295",3,3,3,9,21
"296",3,3,3,15,15
"297",3,3,9,24,0
"298",3,18,18,0,0
"299",6,9,24,0,0
"300",3,3,3,27,3
"301",3,3,24,9,0
"302",3,3,6,27,0
"303",3,3,3,27,3
"304",3,3,6,27,0
"305",3,3,9,24,0
"306",3,15,21,0,0
"307",3,3,3,21,9
"308",3,12,24,0,0
"309",3,3,12,12,9
"310",3,3,18,15,0
