"","1","2","3","4","5"
"Probability of clinician DLT",0.01,0.02,0.05,0.1,0.2
"Probability of patient DLT",0.04,0.09,0.17,0.2,0.25
"Probability recommended as MTD",0,0,0.0392,0.3568,0.604
"Probability of clinician DLT1",0.01,0.02,0.05,0.1,0.2
"Probability of patient DLT1",0.09,0.17,0.2,0.25,0.35
"Probability recommended as MTD1",0,0.0136,0.1616,0.488,0.3368
"Probability of clinician DLT2",0.01,0.02,0.05,0.1,0.2
"Probability of patient DLT2",0.17,0.2,0.25,0.35,0.5
"Probability recommended as MTD2",0.004,0.0768,0.3904,0.4736,0.0552
"Probability of clinician DLT3",0.01,0.02,0.05,0.1,0.2
"Probability of patient DLT3",0.2,0.25,0.35,0.5,0.65
"Probability recommended as MTD3",0.032,0.2592,0.608,0.0992,0.0016
"Probability of clinician DLT4",0.01,0.02,0.05,0.1,0.2
"Probability of patient DLT4",0.25,0.35,0.5,0.65,0.8
"Probability recommended as MTD4",0.1736,0.6544,0.172,0,0
"Probability of clinician DLT5",0.01,0.02,0.05,0.1,0.2
"Probability of patient DLT5",0.35,0.5,0.65,0.8,0.85
"Probability recommended as MTD5",0.7424,0.2544,0.0032,0,0
"Probability of clinician DLT6",0.02,0.05,0.1,0.2,0.25
"Probability of patient DLT6",0.04,0.09,0.17,0.2,0.25
"Probability recommended as MTD6",0,0,0.1224,0.5784,0.2992
"Probability of clinician DLT7",0.02,0.05,0.1,0.2,0.25
"Probability of patient DLT7",0.09,0.17,0.2,0.25,0.35
"Probability recommended as MTD7",0,0.008,0.1936,0.6312,0.1672
"Probability of clinician DLT8",0.02,0.05,0.1,0.2,0.25
"Probability of patient DLT8",0.17,0.2,0.25,0.35,0.5
"Probability recommended as MTD8",0.0056,0.0784,0.4168,0.4728,0.0264
"Probability of clinician DLT9",0.02,0.05,0.1,0.2,0.25
"Probability of patient DLT9",0.2,0.25,0.35,0.5,0.65
"Probability recommended as MTD9",0.0232,0.26,0.6136,0.1024,8e-04
"Probability of clinician DLT10",0.02,0.05,0.1,0.2,0.25
"Probability of patient DLT10",0.25,0.35,0.5,0.65,0.8
"Probability recommended as MTD10",0.1856,0.6432,0.1672,0.004,0
"Probability of clinician DLT11",0.02,0.05,0.1,0.2,0.25
"Probability of patient DLT11",0.35,0.5,0.65,0.8,0.85
"Probability recommended as MTD11",0.776,0.2208,0.0032,0,0
"Probability of clinician DLT12",0.05,0.1,0.2,0.25,0.4
"Probability of patient DLT12",0.04,0.09,0.17,0.2,0.25
"Probability recommended as MTD12",8e-04,0.044,0.4568,0.4432,0.0552
"Probability of clinician DLT13",0.05,0.1,0.2,0.25,0.4
"Probability of patient DLT13",0.09,0.17,0.2,0.25,0.35
"Probability recommended as MTD13",8e-04,0.0568,0.5288,0.38,0.0336
"Probability of clinician DLT14",0.05,0.1,0.2,0.25,0.4
"Probability of patient DLT14",0.17,0.2,0.25,0.35,0.5
"Probability recommended as MTD14",0.0056,0.1312,0.6144,0.2472,0.0016
"Probability of clinician DLT15",0.05,0.1,0.2,0.25,0.4
"Probability of patient DLT15",0.2,0.25,0.35,0.5,0.65
"Probability recommended as MTD15",0.0312,0.316,0.5888,0.064,0
"Probability of clinician DLT16",0.05,0.1,0.2,0.25,0.4
"Probability of patient DLT16",0.25,0.35,0.5,0.65,0.8
"Probability recommended as MTD16",0.1776,0.6648,0.1568,8e-04,0
"Probability of clinician DLT17",0.05,0.1,0.2,0.25,0.4
"Probability of patient DLT17",0.35,0.5,0.65,0.8,0.85
"Probability recommended as MTD17",0.7688,0.2256,0.0048,0,0
"Probability of clinician DLT18",0.1,0.2,0.25,0.4,0.55
"Probability of patient DLT18",0.04,0.09,0.17,0.2,0.25
"Probability recommended as MTD18",0.0248,0.316,0.54,0.1176,0.0016
"Probability of clinician DLT19",0.1,0.2,0.25,0.4,0.55
"Probability of patient DLT19",0.09,0.17,0.2,0.25,0.35
"Probability recommended as MTD19",0.0296,0.3416,0.5288,0.0984,0.0016
"Probability of clinician DLT20",0.1,0.2,0.25,0.4,0.55
"Probability of patient DLT20",0.17,0.2,0.25,0.35,0.5
"Probability recommended as MTD20",0.0272,0.3816,0.532,0.0592,0
"Probability of clinician DLT21",0.1,0.2,0.25,0.4,0.55
"Probability of patient DLT21",0.2,0.25,0.35,0.5,0.65
"Probability recommended as MTD21",0.0584,0.5016,0.4264,0.0136,0
"Probability of clinician DLT22",0.1,0.2,0.25,0.4,0.55
"Probability of patient DLT22",0.25,0.35,0.5,0.65,0.8
"Probability recommended as MTD22",0.2208,0.6696,0.1088,8e-04,0
"Probability of clinician DLT23",0.1,0.2,0.25,0.4,0.55
"Probability of patient DLT23",0.35,0.5,0.65,0.8,0.85
"Probability recommended as MTD23",0.7808,0.2184,8e-04,0,0
"Probability of clinician DLT24",0.2,0.25,0.4,0.55,0.7
"Probability of patient DLT24",0.04,0.09,0.17,0.2,0.25
"Probability recommended as MTD24",0.2408,0.6032,0.1544,0.0016,0
"Probability of clinician DLT25",0.2,0.25,0.4,0.55,0.7
"Probability of patient DLT25",0.09,0.17,0.2,0.25,0.35
"Probability recommended as MTD25",0.2424,0.596,0.16,0.0016,0
"Probability of clinician DLT26",0.2,0.25,0.4,0.55,0.7
"Probability of patient DLT26",0.17,0.2,0.25,0.35,0.5
"Probability recommended as MTD26",0.2704,0.5992,0.128,0.0024,0
"Probability of clinician DLT27",0.2,0.25,0.4,0.55,0.7
"Probability of patient DLT27",0.2,0.25,0.35,0.5,0.65
"Probability recommended as MTD27",0.3008,0.5864,0.1128,0,0
"Probability of clinician DLT28",0.2,0.25,0.4,0.55,0.7
"Probability of patient DLT28",0.25,0.35,0.5,0.65,0.8
"Probability recommended as MTD28",0.4264,0.5424,0.0312,0,0
"Probability of clinician DLT29",0.2,0.25,0.4,0.55,0.7
"Probability of patient DLT29",0.35,0.5,0.65,0.8,0.85
"Probability recommended as MTD29",0.8296,0.1688,8e-04,0,0
"Probability of clinician DLT30",0.25,0.4,0.55,0.7,0.8
"Probability of patient DLT30",0.04,0.09,0.17,0.2,0.25
"Probability recommended as MTD30",0.7888,0.2088,0.0016,0,0
"Probability of clinician DLT31",0.25,0.4,0.55,0.7,0.8
"Probability of patient DLT31",0.09,0.17,0.2,0.25,0.35
"Probability recommended as MTD31",0.7816,0.2168,0.0016,0,0
"Probability of clinician DLT32",0.25,0.4,0.55,0.7,0.8
"Probability of patient DLT32",0.17,0.2,0.25,0.35,0.5
"Probability recommended as MTD32",0.7824,0.2152,0.0024,0,0
"Probability of clinician DLT33",0.25,0.4,0.55,0.7,0.8
"Probability of patient DLT33",0.2,0.25,0.35,0.5,0.65
"Probability recommended as MTD33",0.7856,0.2112,0.0016,0,0
"Probability of clinician DLT34",0.25,0.4,0.55,0.7,0.8
"Probability of patient DLT34",0.25,0.35,0.5,0.65,0.8
"Probability recommended as MTD34",0.8152,0.1824,0.0024,0,0
"Probability of clinician DLT35",0.25,0.4,0.55,0.7,0.8
"Probability of patient DLT35",0.35,0.5,0.65,0.8,0.85
"Probability recommended as MTD35",0.9464,0.0528,0,0,0
