"","V1","V2","V3","V4","V5"
"1",6,21,12,0,0
"2",3,3,9,24,0
"3",3,6,18,12,0
"4",12,15,12,0,0
"5",3,6,27,3,0
"6",3,9,27,0,0
"7",3,3,6,27,0
"8",3,21,15,0,0
"9",3,3,3,6,24
"10",24,15,0,0,0
"11",3,3,33,0,0
"12",6,18,15,0,0
"13",6,18,15,0,0
"14",3,3,18,15,0
"15",6,12,21,0,0
"16",3,9,21,6,0
"17",3,3,15,18,0
"18",3,9,27,0,0
"19",6,27,6,0,0
"20",3,18,18,0,0
"21",3,3,33,0,0
"22",3,9,24,3,0
"23",3,6,12,18,0
"24",6,9,24,0,0
"25",3,3,9,24,0
"26",3,12,24,0,0
"27",3,3,12,21,0
"28",3,3,21,12,0
"29",6,33,0,0,0
"30",3,12,24,0,0
"31",3,6,27,3,0
"32",3,6,21,9,0
"33",3,3,33,0,0
"34",3,9,27,0,0
"35",3,30,6,0,0
"36",3,6,6,24,0
"37",3,18,18,0,0
"38",3,6,27,3,0
"39",3,12,24,0,0
"40",3,3,33,0,0
"41",3,3,3,12,18
"42",3,3,21,12,0
"43",6,30,3,0,0
"44",3,3,3,30,0
"45",3,3,27,6,0
"46",3,3,3,18,12
"47",3,3,18,15,0
"48",3,3,6,27,0
"49",3,18,18,0,0
"50",3,6,12,18,0
"51",12,27,0,0,0
"52",12,27,0,0,0
"53",3,12,24,0,0
"54",3,6,30,0,0
"55",3,33,3,0,0
"56",3,3,21,12,0
"57",3,3,24,9,0
"58",3,6,6,18,6
"59",3,3,6,12,15
"60",3,6,30,0,0
"61",9,30,0,0,0
"62",15,24,0,0,0
"63",3,6,30,0,0
"64",3,3,27,6,0
"65",3,6,30,0,0
"66",3,3,9,24,0
"67",6,30,3,0,0
"68",3,12,21,3,0
"69",3,3,3,6,24
"70",3,3,24,9,0
"71",3,15,21,0,0
"72",9,18,12,0,0
"73",3,3,33,0,0
"74",3,6,30,0,0
"75",3,3,30,3,0
"76",3,36,0,0,0
"77",3,3,24,9,0
"78",33,6,0,0,0
"79",3,3,33,0,0
"80",3,3,30,3,0
"81",3,6,30,0,0
"82",3,3,30,3,0
"83",3,12,24,0,0
"84",3,6,30,0,0
"85",9,27,3,0,0
"86",6,18,15,0,0
"87",18,18,3,0,0
"88",3,12,24,0,0
"89",3,3,3,24,6
"90",3,3,6,27,0
"91",3,3,33,0,0
"92",3,21,15,0,0
"93",3,3,21,12,0
"94",3,3,12,21,0
"95",3,12,24,0,0
"96",3,3,15,18,0
"97",3,15,21,0,0
"98",3,18,18,0,0
"99",3,3,15,18,0
"100",3,12,24,0,0
"101",3,9,27,0,0
"102",3,15,21,0,0
"103",3,21,15,0,0
"104",3,3,21,12,0
"105",3,3,33,0,0
"106",3,15,21,0,0
"107",3,3,6,27,0
"108",3,3,21,12,0
"109",3,3,33,0,0
"110",3,15,21,0,0
"111",3,3,6,27,0
"112",3,3,6,27,0
"113",3,3,33,0,0
"114",3,6,6,24,0
"115",3,33,3,0,0
"116",3,6,30,0,0
"117",3,3,15,18,0
