"","x"
"1",2
"2",3
"3",3
"4",0
"5",1
"6",2
"7",3
"8",3
"9",3
"10",2
"11",2
"12",3
"13",2
"14",1
"15",1
"16",0
"17",4
"18",1
"19",3
"20",2
"21",7
"22",2
"23",3
"24",3
"25",0
"26",3
"27",4
"28",6
"29",4
"30",5
"31",4
"32",3
"33",2
"34",4
"35",1
"36",4
"37",2
"38",2
"39",1
"40",3
"41",2
"42",1
"43",1
"44",4
"45",2
"46",6
"47",2
"48",2
"49",4
"50",1
"51",4
"52",0
"53",4
"54",1
"55",2
"56",8
"57",2
"58",2
"59",2
"60",4
"61",4
"62",3
"63",3
"64",4
"65",1
"66",2
"67",3
"68",3
"69",2
"70",2
"71",1
"72",6
"73",2
"74",3
"75",4
"76",2
"77",3
"78",3
"79",2
"80",3
"81",2
"82",5
"83",5
"84",1
"85",3
"86",1
"87",4
"88",3
"89",4
"90",0
"91",3
"92",3
"93",3
"94",1
"95",3
"96",2
"97",5
"98",1
"99",0
"100",5
"101",2
"102",1
"103",3
"104",3
"105",3
"106",3
"107",2
"108",8
"109",3
"110",5
"111",3
"112",2
"113",3
"114",2
"115",4
"116",1
"117",2
"118",2
"119",1
"120",3
"121",3
"122",1
"123",0
"124",2
"125",1
"126",1
"127",2
"128",6
"129",0
"130",8
"131",1
"132",2
"133",3
"134",3
"135",2
"136",3
"137",3
"138",2
"139",3
"140",0
"141",3
"142",2
"143",6
"144",2
"145",1
"146",5
"147",3
"148",1
"149",3
"150",2
"151",5
"152",2
"153",4
"154",4
"155",5
"156",3
"157",1
"158",5
"159",3
"160",2
"161",3
"162",1
"163",3
"164",4
"165",3
"166",2
"167",3
"168",1
"169",2
"170",1
"171",4
"172",2
"173",5
"174",2
"175",3
"176",6
"177",4
"178",4
"179",1
"180",1
"181",1
"182",1
"183",2
"184",1
"185",6
"186",1
"187",1
"188",3
"189",2
"190",2
"191",1
"192",2
"193",1
"194",0
"195",4
"196",3
"197",1
"198",1
"199",5
"200",2
"201",3
"202",2
"203",3
"204",4
"205",1
"206",2
"207",1
"208",1
"209",4
"210",4
"211",5
"212",1
"213",2
"214",3
"215",3
"216",1
"217",2
"218",1
"219",4
"220",2
"221",2
"222",1
"223",2
"224",2
"225",3
"226",4
"227",0
"228",3
"229",3
"230",4
"231",2
"232",5
"233",2
"234",0
"235",2
"236",3
"237",2
"238",3
"239",1
"240",5
"241",4
"242",2
"243",4
"244",2
"245",3
"246",3
"247",0
"248",4
"249",3
"250",3
"251",2
"252",4
"253",4
"254",2
"255",3
"256",3
"257",2
"258",1
"259",2
"260",4
"261",3
"262",3
"263",5
"264",3
"265",2
"266",3
"267",4
"268",1
"269",2
"270",3
"271",2
"272",7
"273",3
"274",1
"275",3
"276",2
"277",2
"278",3
"279",0
"280",5
"281",2
"282",5
"283",2
"284",1
"285",2
"286",2
"287",3
"288",4
"289",5
"290",3
"291",4
"292",2
"293",2
"294",3
"295",3
"296",4
"297",1
"298",6
"299",4
"300",2
"301",2
"302",6
"303",3
"304",6
"305",4
"306",2
"307",5
"308",3
"309",1
"310",1
"311",4
"312",3
"313",5
"314",3
"315",1
"316",6
"317",5
"318",2
"319",4
"320",3
"321",1
"322",2
"323",3
"324",4
"325",3
"326",4
"327",4
"328",2
"329",3
"330",1
"331",1
"332",3
"333",1
"334",3
"335",3
"336",1
"337",3
"338",4
"339",4
"340",1
"341",4
"342",4
"343",1
"344",4
"345",3
"346",1
"347",5
"348",2
"349",0
"350",6
"351",1
"352",6
"353",3
"354",5
"355",5
"356",4
"357",0
"358",3
"359",5
"360",0
"361",4
"362",4
"363",1
"364",5
"365",5
"366",2
"367",3
"368",5
"369",2
"370",2
"371",3
"372",0
"373",3
"374",5
"375",3
"376",1
"377",0
"378",3
"379",4
"380",4
"381",2
"382",0
"383",0
"384",2
"385",2
"386",2
"387",1
"388",4
"389",4
"390",1
"391",2
"392",2
"393",3
"394",1
"395",3
"396",3
"397",3
"398",8
"399",3
"400",1
"401",5
"402",1
"403",5
"404",4
"405",1
"406",1
"407",6
"408",3
"409",1
"410",6
"411",2
"412",4
"413",2
"414",3
"415",2
"416",2
"417",3
"418",2
"419",0
"420",4
"421",2
"422",4
"423",2
"424",7
"425",3
"426",1
"427",1
"428",3
"429",7
"430",0
"431",4
"432",0
"433",4
"434",0
"435",3
"436",1
"437",3
"438",1
"439",3
"440",2
"441",6
"442",3
"443",5
"444",3
"445",3
"446",1
"447",3
"448",3
"449",0
"450",1
"451",4
"452",4
"453",1
"454",2
"455",3
"456",1
"457",6
"458",3
"459",1
"460",0
"461",5
"462",2
"463",3
"464",3
"465",2
"466",2
"467",3
"468",1
"469",3
"470",4
"471",5
"472",4
"473",3
"474",4
"475",3
"476",2
"477",4
"478",3
"479",3
"480",5
"481",6
"482",5
"483",1
"484",3
"485",4
"486",4
"487",5
"488",1
"489",5
"490",1
"491",5
"492",2
"493",3
"494",2
"495",7
"496",5
"497",4
"498",1
"499",2
"500",0
"501",1
"502",2
"503",2
"504",1
"505",3
"506",2
"507",1
"508",2
"509",1
"510",3
"511",6
"512",6
"513",1
"514",7
"515",2
"516",3
"517",2
"518",3
"519",7
"520",0
"521",3
"522",2
"523",0
"524",4
"525",2
"526",2
"527",3
"528",2
"529",5
"530",5
"531",2
"532",5
"533",1
"534",4
"535",2
"536",2
"537",4
"538",2
"539",1
"540",1
"541",5
"542",6
"543",6
"544",1
"545",4
"546",4
"547",2
"548",3
"549",3
"550",1
"551",1
"552",4
"553",0
"554",9
"555",2
"556",2
"557",7
"558",1
"559",5
"560",3
"561",1
"562",1
"563",4
"564",1
"565",2
"566",4
"567",2
"568",1
"569",2
"570",6
"571",4
"572",1
"573",3
"574",6
"575",3
"576",1
"577",3
"578",5
"579",0
"580",2
"581",1
"582",4
"583",7
"584",7
"585",3
"586",4
"587",1
"588",2
"589",4
"590",2
"591",3
"592",4
"593",5
"594",3
"595",3
"596",3
"597",0
"598",4
"599",3
"600",6
"601",2
"602",6
"603",2
"604",5
"605",5
"606",1
"607",3
"608",2
"609",0
"610",2
"611",5
"612",0
"613",1
"614",3
"615",3
"616",0
"617",8
"618",1
"619",2
"620",1
"621",2
"622",3
"623",1
"624",0
"625",2
"626",4
"627",4
"628",6
"629",2
"630",4
"631",0
"632",2
"633",3
"634",4
"635",4
"636",3
"637",3
"638",1
"639",3
"640",4
"641",4
"642",2
"643",3
"644",3
"645",1
"646",5
"647",5
"648",2
"649",3
"650",1
"651",2
"652",4
"653",3
"654",2
"655",3
"656",6
"657",3
"658",2
"659",5
"660",3
"661",1
"662",0
"663",4
"664",1
"665",2
"666",1
"667",2
"668",1
"669",1
"670",3
"671",6
"672",3
"673",0
"674",0
"675",2
"676",4
"677",2
"678",3
"679",1
"680",0
"681",0
"682",0
"683",1
"684",3
"685",2
"686",6
"687",3
"688",3
"689",5
"690",6
"691",3
"692",7
"693",2
"694",1
"695",1
"696",2
"697",4
"698",2
"699",2
"700",2
"701",1
"702",4
"703",0
"704",4
"705",2
"706",3
"707",2
"708",4
"709",4
"710",4
"711",3
"712",2
"713",4
"714",1
"715",3
"716",4
"717",2
"718",3
"719",2
"720",3
"721",2
"722",1
"723",1
"724",0
"725",2
"726",2
"727",1
"728",2
"729",4
"730",4
"731",6
"732",5
"733",4
"734",4
"735",1
"736",1
"737",1
"738",4
"739",0
"740",1
"741",4
"742",1
"743",2
"744",1
"745",1
"746",3
"747",1
"748",0
"749",4
"750",2
"751",3
"752",3
"753",3
"754",3
"755",6
"756",0
"757",4
"758",5
