"","x"
"1",6
"2",6
"3",7
"4",9
"5",6
"6",3
"7",4
"8",2
"9",7
"10",8
"11",10
"12",2
"13",5
"14",5
"15",2
"16",9
"17",8
"18",3
"19",4
"20",2
"21",8
"22",5
"23",4
"24",5
"25",4
"26",10
"27",4
"28",9
"29",4
"30",6
"31",7
"32",10
"33",5
"34",5
"35",5
"36",5
"37",6
"38",1
"39",5
"40",2
"41",0
"42",2
"43",3
"44",3
"45",5
"46",4
"47",1
"48",3
"49",6
"50",1
"51",4
"52",0
"53",3
"54",5
"55",3
"56",7
"57",6
"58",9
"59",4
"60",10
"61",4
"62",8
"63",6
"64",5
"65",2
"66",7
"67",4
"68",8
"69",3
"70",2
"71",1
"72",4
"73",8
"74",5
"75",3
"76",5
"77",4
"78",6
"79",7
"80",5
"81",4
"82",4
"83",4
"84",2
"85",4
"86",3
"87",8
"88",4
"89",6
"90",0
"91",3
"92",6
"93",3
"94",4
"95",6
"96",7
"97",6
"98",5
"99",0
"100",6
"101",6
"102",2
"103",6
"104",7
"105",3
"106",6
"107",4
"108",9
"109",3
"110",2
"111",5
"112",5
"113",3
"114",3
"115",4
"116",5
"117",9
"118",10
"119",2
"120",10
"121",8
"122",7
"123",10
"124",6
"125",4
"126",7
"127",2
"128",2
"129",3
"130",2
"131",3
"132",8
"133",3
"134",6
"135",6
"136",5
"137",2
"138",3
"139",4
"140",8
"141",5
"142",2
"143",6
"144",5
"145",0
"146",7
"147",4
"148",9
"149",8
"150",6
"151",2
"152",2
"153",3
"154",6
"155",5
"156",9
"157",7
"158",3
"159",0
"160",2
"161",3
"162",4
"163",8
"164",3
"165",2
"166",3
"167",2
"168",3
"169",4
"170",7
"171",4
"172",6
"173",9
"174",6
"175",3
"176",5
"177",9
"178",6
"179",5
"180",5
"181",4
"182",7
"183",8
"184",3
"185",4
"186",4
"187",7
"188",5
"189",7
"190",4
"191",10
"192",14
"193",6
"194",5
"195",3
"196",3
"197",3
"198",1
"199",3
"200",3
"201",0
"202",10
"203",4
"204",2
"205",3
"206",3
"207",2
"208",7
"209",4
"210",8
"211",0
"212",6
"213",8
"214",8
"215",8
"216",3
"217",2
"218",4
"219",7
"220",4
"221",4
"222",2
"223",4
"224",3
"225",8
"226",6
"227",4
"228",5
"229",3
"230",4
"231",4
"232",9
"233",6
"234",4
"235",4
"236",7
"237",5
"238",3
"239",3
"240",4
"241",3
"242",7
"243",7
"244",1
"245",9
"246",4
"247",3
"248",4
"249",8
"250",4
"251",8
"252",3
"253",3
"254",8
"255",6
"256",6
"257",6
"258",5
"259",4
"260",8
"261",3
"262",8
"263",6
"264",5
"265",6
"266",4
"267",3
"268",3
"269",4
"270",7
"271",5
"272",4
"273",1
"274",1
"275",3
"276",6
"277",3
"278",4
"279",6
"280",2
"281",4
"282",0
"283",1
"284",4
"285",5
"286",6
"287",1
"288",4
"289",2
"290",5
"291",5
"292",5
"293",7
"294",4
"295",8
"296",5
"297",5
"298",1
"299",5
"300",5
"301",7
"302",4
"303",7
"304",1
"305",2
"306",4
"307",3
"308",4
"309",7
"310",7
"311",3
"312",1
"313",1
"314",2
"315",6
"316",1
"317",4
"318",2
"319",6
"320",7
"321",2
"322",4
"323",7
"324",2
"325",5
"326",6
"327",4
"328",0
"329",0
"330",6
"331",4
"332",7
"333",6
"334",5
"335",11
"336",4
"337",4
"338",1
"339",1
"340",7
"341",0
"342",7
"343",3
"344",2
"345",5
"346",5
"347",4
"348",9
"349",2
"350",3
"351",5
"352",5
"353",2
"354",8
"355",5
"356",8
"357",4
"358",7
"359",2
"360",2
"361",9
"362",1
"363",4
"364",5
"365",7
"366",8
"367",2
"368",0
"369",3
"370",7
"371",4
"372",5
"373",2
"374",3
"375",3
"376",3
"377",3
"378",9
"379",5
"380",7
"381",1
"382",2
"383",2
"384",6
"385",6
"386",5
"387",5
"388",8
"389",3
"390",3
"391",5
"392",3
"393",3
"394",6
"395",2
"396",6
"397",2
"398",3
"399",10
"400",2
"401",7
"402",3
"403",6
"404",2
"405",7
"406",6
"407",4
"408",2
"409",6
"410",3
"411",4
"412",6
"413",6
"414",0
"415",5
"416",10
"417",3
"418",1
"419",4
"420",5
