"","X1","X2","X3","X4","X5"
"1",0.05,0.1,0.12,0.15,0.2
"2",0.04,0.09,0.17,0.2,0.25
"3",0,0.0072,0.0944,0.4,0.4984
"10",0.05,0.1,0.12,0.15,0.2
"11",0.2,0.25,0.35,0.5,0.65
"12",0.0168,0.2224,0.6248,0.1352,8e-04
"31",0.1,0.12,0.15,0.2,0.25
"32",0.25,0.35,0.5,0.65,0.8
"33",0.1472,0.6272,0.2208,0.0048,0
"40",0.12,0.15,0.2,0.25,0.4
"41",0.09,0.17,0.2,0.25,0.35
"42",0.0088,0.112,0.3992,0.4224,0.0576
"52",0.12,0.15,0.2,0.25,0.4
"53",0.35,0.5,0.65,0.8,0.85
"54",0.7528,0.2432,0.0032,0,0
"55",0.15,0.2,0.25,0.4,0.55
"56",0.04,0.09,0.17,0.2,0.25
"57",0.0448,0.2752,0.5624,0.116,0.0016
"61",0.15,0.2,0.25,0.4,0.55
"62",0.17,0.2,0.25,0.35,0.5
"63",0.0496,0.2864,0.5464,0.116,0.0016
"67",0.15,0.2,0.25,0.4,0.55
"68",0.25,0.35,0.5,0.65,0.8
"69",0.1896,0.608,0.2008,0.0016,0
"76",0.2,0.25,0.4,0.55,0.6
"77",0.09,0.17,0.2,0.25,0.35
"78",0.216,0.6016,0.1792,0.0024,0
"79",0.2,0.25,0.4,0.55,0.6
"80",0.17,0.2,0.25,0.35,0.5
"81",0.1968,0.6248,0.1744,0.004,0
"100",0.25,0.4,0.55,0.6,0.7
"101",0.2,0.25,0.35,0.5,0.65
"102",0.7512,0.2424,0.0064,0,0
"103",0.25,0.4,0.55,0.6,0.7
"104",0.25,0.35,0.5,0.65,0.8
"105",0.744,0.248,0.0072,0,0
