"","X1","X2","X3","X4","X5"
"1",0.05,0.1,0.12,0.15,0.2
"2",0.63,0.63,0.63,0.63,0.63
"3",0.6692,0.1242,0.0954,0.0284,0.0828
"10",0.05,0.1,0.12,0.15,0.2
"11",0.5,0.63,0.5,0.38,0.25
"12",0.396,0.4216,0.1342,0.033,0.0152
"40",0.1,0.12,0.15,0.2,0.25
"41",0.38,0.5,0.63,0.63,0.63
"42",0.1018,0.2244,0.3964,0.1246,0.1526
"52",0.1,0.12,0.15,0.2,0.25
"53",0.13,0.25,0.38,0.5,0.63
"54",0.0052,0.0188,0.1426,0.3074,0.526
"61",0.12,0.15,0.2,0.25,0.4
"62",0.5,0.63,0.63,0.63,0.63
"63",0.3742,0.3278,0.197,0.081,0.0198
"67",0.12,0.15,0.2,0.25,0.4
"68",0.38,0.5,0.63,0.63,0.63
"69",0.1122,0.2676,0.4246,0.1598,0.0358
"97",0.15,0.2,0.25,0.4,0.55
"98",0.38,0.5,0.63,0.5,0.38
"99",0.1694,0.3902,0.411,0.025,2e-04
"100",0.15,0.2,0.25,0.4,0.55
"101",0.25,0.38,0.5,0.63,0.63
"102",0.0628,0.2818,0.546,0.1016,0.0036
"115",0.2,0.25,0.4,0.55,0.6
"116",0.5,0.63,0.63,0.63,0.63
"117",0.5184,0.397,0.0436,0.0016,0
"124",0.2,0.25,0.4,0.55,0.6
"125",0.38,0.5,0.63,0.5,0.38
"126",0.3136,0.5374,0.1106,6e-04,0
"127",0.2,0.25,0.4,0.55,0.6
"128",0.25,0.38,0.5,0.63,0.63
"129",0.2066,0.5794,0.1728,0.0078,0
"133",0.2,0.25,0.4,0.55,0.6
"134",0.13,0.25,0.38,0.5,0.63
"135",0.1716,0.6054,0.1918,0.0064,4e-04
