"","X1","X2","X3","X4","X5"
"1",0.05,0.1,0.12,0.15,0.2
"2",0.63,0.63,0.63,0.63,0.63
"3",0.259,0.3406,0.2308,0.0734,0.0808
"10",0.05,0.1,0.12,0.15,0.2
"11",0.5,0.63,0.5,0.38,0.25
"12",0.1378,0.5706,0.1864,0.064,0.021
"40",0.1,0.12,0.15,0.2,0.25
"41",0.38,0.5,0.63,0.63,0.63
"42",0.0404,0.2618,0.4464,0.1194,0.0846
"52",0.1,0.12,0.15,0.2,0.25
"53",0.13,0.25,0.38,0.5,0.63
"54",0.0132,0.0894,0.285,0.3274,0.2408
"61",0.12,0.15,0.2,0.25,0.4
"62",0.5,0.63,0.63,0.63,0.63
"63",0.1386,0.4902,0.2308,0.0574,0.0054
"67",0.12,0.15,0.2,0.25,0.4
"68",0.38,0.5,0.63,0.63,0.63
"69",0.0686,0.3582,0.3966,0.0844,0.0094
"97",0.15,0.2,0.25,0.4,0.55
"98",0.38,0.5,0.63,0.5,0.38
"99",0.1512,0.426,0.2486,0.007,0
"100",0.15,0.2,0.25,0.4,0.55
"101",0.25,0.38,0.5,0.63,0.63
"102",0.1264,0.3674,0.3162,0.0246,0
"115",0.2,0.25,0.4,0.55,0.6
"116",0.5,0.63,0.63,0.63,0.63
"117",0.2812,0.3208,0.0108,0,0
"124",0.2,0.25,0.4,0.55,0.6
"125",0.38,0.5,0.63,0.5,0.38
"126",0.2572,0.337,0.0306,0,0
"127",0.2,0.25,0.4,0.55,0.6
"128",0.25,0.38,0.5,0.63,0.63
"129",0.2376,0.3474,0.0452,6e-04,0
"133",0.2,0.25,0.4,0.55,0.6
"134",0.13,0.25,0.38,0.5,0.63
"135",0.2206,0.3424,0.0516,2e-04,0
