"","X1","X2","X3","X4","X5"
"1",0.05,0.1,0.12,0.15,0.2
"2",0.63,0.63,0.63,0.63,0.63
"3",0.5568,0.2602,0.143,0.0326,0.003
"10",0.05,0.1,0.12,0.15,0.2
"11",0.5,0.63,0.5,0.38,0.25
"12",0.274,0.535,0.1474,0.0322,0.0046
"40",0.1,0.12,0.15,0.2,0.25
"41",0.38,0.5,0.63,0.63,0.63
"42",0.0938,0.371,0.441,0.0674,0.0032
"52",0.1,0.12,0.15,0.2,0.25
"53",0.13,0.25,0.38,0.5,0.63
"54",0.022,0.1656,0.447,0.295,0.048
"61",0.12,0.15,0.2,0.25,0.4
"62",0.5,0.63,0.63,0.63,0.63
"63",0.2958,0.507,0.1422,0.012,0
"67",0.12,0.15,0.2,0.25,0.4
"68",0.38,0.5,0.63,0.63,0.63
"69",0.1222,0.4426,0.3538,0.0324,4e-04
"97",0.15,0.2,0.25,0.4,0.55
"98",0.38,0.5,0.63,0.5,0.38
"99",0.2212,0.479,0.1912,0.002,0
"100",0.15,0.2,0.25,0.4,0.55
"101",0.25,0.38,0.5,0.63,0.63
"102",0.1726,0.4416,0.2808,0.0104,0
"115",0.2,0.25,0.4,0.55,0.6
"116",0.5,0.63,0.63,0.63,0.63
"117",0.415,0.2778,0.009,0,0
"124",0.2,0.25,0.4,0.55,0.6
"125",0.38,0.5,0.63,0.5,0.38
"126",0.3472,0.33,0.025,0,0
"127",0.2,0.25,0.4,0.55,0.6
"128",0.25,0.38,0.5,0.63,0.63
"129",0.3012,0.382,0.0324,2e-04,0
"133",0.2,0.25,0.4,0.55,0.6
"134",0.13,0.25,0.38,0.5,0.63
"135",0.2808,0.3932,0.0384,0,0
