"","X1","X2","X3","X4","X5"
"1",0.05,0.1,0.12,0.15,0.2
"2",0.04,0.09,0.17,0.2,0.25
"3",0,0.0064,0.1,0.4712,0.4224
"10",0.05,0.1,0.12,0.15,0.2
"11",0.2,0.25,0.35,0.5,0.65
"12",0.0184,0.2528,0.6024,0.1256,8e-04
"31",0.1,0.12,0.15,0.2,0.25
"32",0.25,0.35,0.5,0.65,0.8
"33",0.156,0.6376,0.204,0.0024,0
"40",0.12,0.15,0.2,0.25,0.4
"41",0.09,0.17,0.2,0.25,0.35
"42",0.0112,0.1312,0.4408,0.384,0.0328
"52",0.12,0.15,0.2,0.25,0.4
"53",0.35,0.5,0.65,0.8,0.85
"54",0.7352,0.26,0.004,0,0
"55",0.15,0.2,0.25,0.4,0.55
"56",0.04,0.09,0.17,0.2,0.25
"57",0.0448,0.3024,0.532,0.12,8e-04
"61",0.15,0.2,0.25,0.4,0.55
"62",0.17,0.2,0.25,0.35,0.5
"63",0.0512,0.3424,0.5176,0.0888,0
"67",0.15,0.2,0.25,0.4,0.55
"68",0.25,0.35,0.5,0.65,0.8
"69",0.1952,0.6584,0.1464,0,0
"76",0.2,0.25,0.4,0.55,0.6
"77",0.09,0.17,0.2,0.25,0.35
"78",0.2296,0.5816,0.1864,0.0024,0
"79",0.2,0.25,0.4,0.55,0.6
"80",0.17,0.2,0.25,0.35,0.5
"81",0.2248,0.5968,0.1784,0,0
"100",0.25,0.4,0.55,0.6,0.7
"101",0.2,0.25,0.35,0.5,0.65
"102",0.7472,0.2504,0.0016,0,0
"103",0.25,0.4,0.55,0.6,0.7
"104",0.25,0.35,0.5,0.65,0.8
"105",0.7744,0.2216,8e-04,0,0
